"","Reference","Date","Region","Quadrat","month","year","Latitude","Longitude","Latitude_Actual","Longitude_Actual","Depth_m","Secchi_m","Epiphite_Blade_Load","Epiphite_Shoot_Load","Seagrass_Health","SAV_Cover","Seagrass_Landscape","Thalassia testudinum","Syringodium filiforme","Halodule wrightii","Halophila decipens","Halophila engelmanni","Ruppia maritima","Acanthophora spicifera","Caulerpa verticillata","Halimeda incrassata","Penicillus capitatus","Sargassum","Udotea flabellum","Mean_Seagrass_Canopy_Height_cm","Mean_Macroalgae_Canopy_Height_cm","Thalassia_testudinum_CH","Syringodium_filiforme_CH","Halodule_wrighti_CH","Dist_To_River","Dist_To_Shore","Chlorophyll.Max","Chlorophyll.Mean","Chlorophyll.Min","Current.Velocity.Max","Current.Velocity.Mean","Current.Velocity.Min","Dissolved.oxygen.Max","Dissolved.oxygen.Mean","Dissolved.oxygen.Min","Light.bottom.Max","Light.bottom.Mean","Light.bottom.Min","Nitrate.Max","Nitrate.Mean","Nitrate.Min","Phosphate.Max","Phosphate.Mean","Phosphate.Min","Primary.productivity.Max","Primary.productivity.Mean","Primary.productivity.Min","Salinity.Max","Salinity.Mean","Salinity.Min","Temperature.Max","Temperature.Mean","Temperature.Min","Diffuse.attenuation.Max","Diffuse.attenuation.Mean","Diffuse.attenuation.Min","Par.Max","Par.Mean","pH","Gravel_Percent","Mud_Percent","Rock_Percent","Sand_Percent"
"1","6/25/2019_Steinhatchee_STCH06_1","6/25/2019","Steinhatchee",1,6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,0,0,100,60,"continuous vegetated",0,100,0,0,0,0,0,0,0,0,0,0,3.66666666666667,0,0,22,0,2.86228513717651,1.04900932312012,0.695411562919617,0.14682799577713,0.0425387062132359,0.0684084594249725,0.0229460224509239,0.0647405385971069,257.746948242188,218.457717895508,191.511566162109,22.4957332611084,19.1613330841064,12.4993104934692,11.1786251068115,5.01534986495972,1.20059633255005,0.00303333601914346,0.000503026647493243,4.22301018261351e-05,0.0180875118821859,0.00541690364480019,0.00110396498348564,34.3174209594727,32.973316192627,31.5248260498047,30.8611946105957,23.6009712219238,14.3741550445557,7.75598192214966,8.12176513671875,8.51891994476318,56.6266174316406,41.4161643981934,8.01799964904785,NA,NA,NA,NA
"2","6/25/2019_Steinhatchee_STCH06_2","6/25/2019","Steinhatchee",2,6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,0,0,100,75,"continuous vegetated",0,99,0,1,0,0,0,0,0,0,0,0,6.16666666666667,0,0,37,0,2.86228513717651,1.04900932312012,0.695411562919617,0.14682799577713,0.0425387062132359,0.0684084594249725,0.0229460224509239,0.0647405385971069,257.746948242188,218.457717895508,191.511566162109,22.4957332611084,19.1613330841064,12.4993104934692,11.1786251068115,5.01534986495972,1.20059633255005,0.00303333601914346,0.000503026647493243,4.22301018261351e-05,0.0180875118821859,0.00541690364480019,0.00110396498348564,34.3174209594727,32.973316192627,31.5248260498047,30.8611946105957,23.6009712219238,14.3741550445557,7.75598192214966,8.12176513671875,8.51891994476318,56.6266174316406,41.4161643981934,8.01799964904785,NA,NA,NA,NA
"3","6/25/2019_Steinhatchee_STCH06_3","6/25/2019","Steinhatchee",3,6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,0,0,100,70,"continuous vegetated",5,10,0,10,0,0,75,0,0,0,0,0,8.66666666666667,0.666666666666667,37,10,0,2.86228513717651,1.04900932312012,0.695411562919617,0.14682799577713,0.0425387062132359,0.0684084594249725,0.0229460224509239,0.0647405385971069,257.746948242188,218.457717895508,191.511566162109,22.4957332611084,19.1613330841064,12.4993104934692,11.1786251068115,5.01534986495972,1.20059633255005,0.00303333601914346,0.000503026647493243,4.22301018261351e-05,0.0180875118821859,0.00541690364480019,0.00110396498348564,34.3174209594727,32.973316192627,31.5248260498047,30.8611946105957,23.6009712219238,14.3741550445557,7.75598192214966,8.12176513671875,8.51891994476318,56.6266174316406,41.4161643981934,8.01799964904785,NA,NA,NA,NA
"4","6/25/2019_Steinhatchee_STCH06_4","6/25/2019","Steinhatchee",4,6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,0,0,100,60,"continuous vegetated",0,75,0,25,0,0,0,0,0,0,0,0,9.66666666666667,0,0,43,0,2.86228513717651,1.04900932312012,0.695411562919617,0.14682799577713,0.0425387062132359,0.0684084594249725,0.0229460224509239,0.0647405385971069,257.746948242188,218.457717895508,191.511566162109,22.4957332611084,19.1613330841064,12.4993104934692,11.1786251068115,5.01534986495972,1.20059633255005,0.00303333601914346,0.000503026647493243,4.22301018261351e-05,0.0180875118821859,0.00541690364480019,0.00110396498348564,34.3174209594727,32.973316192627,31.5248260498047,30.8611946105957,23.6009712219238,14.3741550445557,7.75598192214966,8.12176513671875,8.51891994476318,56.6266174316406,41.4161643981934,8.01799964904785,NA,NA,NA,NA
"5","6/25/2019_Steinhatchee_STCH06_5","6/25/2019","Steinhatchee",5,6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,0,0,100,80,"continuous vegetated",50,50,0,0,0,0,0,0,0,0,0,0,14,0,39,45,0,2.86228513717651,1.04900932312012,0.695411562919617,0.14682799577713,0.0425387062132359,0.0684084594249725,0.0229460224509239,0.0647405385971069,257.746948242188,218.457717895508,191.511566162109,22.4957332611084,19.1613330841064,12.4993104934692,11.1786251068115,5.01534986495972,1.20059633255005,0.00303333601914346,0.000503026647493243,4.22301018261351e-05,0.0180875118821859,0.00541690364480019,0.00110396498348564,34.3174209594727,32.973316192627,31.5248260498047,30.8611946105957,23.6009712219238,14.3741550445557,7.75598192214966,8.12176513671875,8.51891994476318,56.6266174316406,41.4161643981934,8.01799964904785,NA,NA,NA,NA
"6","6/25/2019_Steinhatchee_STCH06_6","6/25/2019","Steinhatchee",6,6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,0,0,100,75,"continuous vegetated",0,75,0,0,0,0,25,0,0,0,0,0,6,4.33333333333333,0,36,0,2.86228513717651,1.04900932312012,0.695411562919617,0.14682799577713,0.0425387062132359,0.0684084594249725,0.0229460224509239,0.0647405385971069,257.746948242188,218.457717895508,191.511566162109,22.4957332611084,19.1613330841064,12.4993104934692,11.1786251068115,5.01534986495972,1.20059633255005,0.00303333601914346,0.000503026647493243,4.22301018261351e-05,0.0180875118821859,0.00541690364480019,0.00110396498348564,34.3174209594727,32.973316192627,31.5248260498047,30.8611946105957,23.6009712219238,14.3741550445557,7.75598192214966,8.12176513671875,8.51891994476318,56.6266174316406,41.4161643981934,8.01799964904785,NA,NA,NA,NA
"7","6/25/2019_Steinhatchee_STCH06_7","6/25/2019","Steinhatchee",7,6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,0,0,100,80,"continuous vegetated",0,90,0,1,0,0,9,0,0,0,0,0,6.83333333333333,1.66666666666667,0,41,0,2.86228513717651,1.04900932312012,0.695411562919617,0.14682799577713,0.0425387062132359,0.0684084594249725,0.0229460224509239,0.0647405385971069,257.746948242188,218.457717895508,191.511566162109,22.4957332611084,19.1613330841064,12.4993104934692,11.1786251068115,5.01534986495972,1.20059633255005,0.00303333601914346,0.000503026647493243,4.22301018261351e-05,0.0180875118821859,0.00541690364480019,0.00110396498348564,34.3174209594727,32.973316192627,31.5248260498047,30.8611946105957,23.6009712219238,14.3741550445557,7.75598192214966,8.12176513671875,8.51891994476318,56.6266174316406,41.4161643981934,8.01799964904785,NA,NA,NA,NA
"8","6/25/2019_Steinhatchee_STCH06_8","6/25/2019","Steinhatchee",8,6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,0,0,100,80,"continuous vegetated",0,95,0,0,0,0,5,0,0,0,0,0,9.16666666666667,0.833333333333333,0,55,0,2.86228513717651,1.04900932312012,0.695411562919617,0.14682799577713,0.0425387062132359,0.0684084594249725,0.0229460224509239,0.0647405385971069,257.746948242188,218.457717895508,191.511566162109,22.4957332611084,19.1613330841064,12.4993104934692,11.1786251068115,5.01534986495972,1.20059633255005,0.00303333601914346,0.000503026647493243,4.22301018261351e-05,0.0180875118821859,0.00541690364480019,0.00110396498348564,34.3174209594727,32.973316192627,31.5248260498047,30.8611946105957,23.6009712219238,14.3741550445557,7.75598192214966,8.12176513671875,8.51891994476318,56.6266174316406,41.4161643981934,8.01799964904785,NA,NA,NA,NA
"9","6/25/2019_Steinhatchee_STCH06_9","6/25/2019","Steinhatchee",9,6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,0,0,100,45,"continuous vegetated",0,95,0,0,0,0,5,0,0,0,0,0,6.33333333333333,0.833333333333333,0,38,0,2.86228513717651,1.04900932312012,0.695411562919617,0.14682799577713,0.0425387062132359,0.0684084594249725,0.0229460224509239,0.0647405385971069,257.746948242188,218.457717895508,191.511566162109,22.4957332611084,19.1613330841064,12.4993104934692,11.1786251068115,5.01534986495972,1.20059633255005,0.00303333601914346,0.000503026647493243,4.22301018261351e-05,0.0180875118821859,0.00541690364480019,0.00110396498348564,34.3174209594727,32.973316192627,31.5248260498047,30.8611946105957,23.6009712219238,14.3741550445557,7.75598192214966,8.12176513671875,8.51891994476318,56.6266174316406,41.4161643981934,8.01799964904785,NA,NA,NA,NA
"10","6/25/2019_Steinhatchee_STCH06_10","6/25/2019","Steinhatchee",10,6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,0,0,100,60,"continuous vegetated",0,99,0,1,0,0,0,0,0,0,0,0,7.66666666666667,0,0,37,0,2.86228513717651,1.04900932312012,0.695411562919617,0.14682799577713,0.0425387062132359,0.0684084594249725,0.0229460224509239,0.0647405385971069,257.746948242188,218.457717895508,191.511566162109,22.4957332611084,19.1613330841064,12.4993104934692,11.1786251068115,5.01534986495972,1.20059633255005,0.00303333601914346,0.000503026647493243,4.22301018261351e-05,0.0180875118821859,0.00541690364480019,0.00110396498348564,34.3174209594727,32.973316192627,31.5248260498047,30.8611946105957,23.6009712219238,14.3741550445557,7.75598192214966,8.12176513671875,8.51891994476318,56.6266174316406,41.4161643981934,8.01799964904785,NA,NA,NA,NA
