Date,Region,Site,Diver Name,Quadrat,Insertion Depth (cm),Core Length (cm),Compaction_Ratio,Core Number (if different from quadrat number),Core_Number_Corrected,Notes
8/8/2019,Steinhatchee,STCH20,Jenn McHenry,11,33.5,30.5,0.910447761,1,1,
6/14/2019,Saint Marks,SMAR01,Jenn McHenry,10,41,28,0.682926829,,10,Core length on outside of bag
6/14/2019,Saint Marks,SMAR01,Jenn McHenry,10,41,28,0.682926829,,10,Core length on outside of bag
6/14/2019,Saint Marks,SMAR01,Jenn McHenry,9,50,46,0.92,,9,Core length on outside of bag
6/14/2019,Saint Marks,SMAR01,Jenn McHenry,9,50,46,0.92,,9,Core length on outside of bag
6/14/2019,Saint Marks,SMAR01,Jenn McHenry,8,50,36,0.72,,8,Core length on outside of bag
6/14/2019,Saint Marks,SMAR01,Jenn McHenry,8,50,36,0.72,,8,Core length on outside of bag
6/14/2019,Saint Marks,SMAR01,Jenn McHenry,8,50,36,0.72,,8,Core length on outside of bag
6/25/2019,Steinhatchee,STCH06,Jenn McHenry,8,50,43.8,0.876,1,1,
6/25/2019,Steinhatchee,STCH06,Jenn McHenry,8,50,43.8,0.876,1,1,
6/25/2019,Steinhatchee,STCH06,Jenn McHenry,7,50,45.5,0.91,2,2,
6/25/2019,Steinhatchee,STCH06,Jenn McHenry,7,50,45.5,0.91,2,2,
6/25/2019,Steinhatchee,STCH06,Jenn McHenry,7,50,45.5,0.91,2,2,
6/25/2019,Steinhatchee,STCH06,Jenn McHenry,6,40,22.2,0.555,3,3,
6/25/2019,Steinhatchee,STCH06,Jenn McHenry,6,40,22.2,0.555,3,3,
8/14/2019,Saint Marks,SMAR12,Jenn McHenry,4,50,43.9,0.878,,3,
8/8/2019,Steinhatchee,STCH20,Jenn McHenry,4,29,25,0.862068966,2,2,
7/25/2019,Saint Joe Bay,SJB02,Jenn McHenry,3,60,36.2,0.603333333,,3,Was supposed to be halodule
7/9/2019,Saint Joe Bay,SJB06,Jenn McHenry,3,36,32.5,0.902777778,,3,
7/9/2019,Saint Joe Bay,SJB07,Jenn McHenry,3,42,26.5,0.630952381,,3,Need to grab the core length from the bags.
7/9/2019,Saint Joe Bay,SJB07,Jenn McHenry,3,42,26.5,0.630952381,,3,Need to grab the core length from the bags.
7/10/2019,Saint Joe Bay,SJB10,Jenn McHenry,3,50,36.9,0.738,,3,
7/8/2019,Saint Joe Bay,SJB13,Jenn McHenry,3,45,35.7,0.793333333,,3,
7/8/2019,Saint Joe Bay,SJB13,Jenn McHenry,3,45,35.7,0.793333333,,3,
7/8/2019,Saint Joe Bay,SJB14,Jenn McHenry,3,48,32.5,0.677083333,,3,These measurements don’t make sense for some reason.
8/30/2019,Saint Joe Bay,SJB16,Jenn McHenry,3,40.3,29,0.719602978,,3,
7/10/2019,Saint Joe Bay,SJB17,Jenn McHenry,3,50,34.8,0.696,,3,
7/10/2019,Saint Joe Bay,SJB17,Jenn McHenry,3,50,34.8,0.696,,3,
7/25/2019,Saint Joe Bay,SJB24,Jenn McHenry,3,33.5,31.5,0.940298507,,3,
7/11/2019,Saint Joe Bay,SJBA,Jenn McHenry,3,36,30.6,0.85,,3,
7/11/2019,Saint Joe Bay,SJBB,Jenn McHenry,3,37,34,0.918918919,,3,
8/30/2019,Saint Joe Bay,SJBC,Jenn McHenry,3,40.1,37.5,0.935162095,,3,
8/13/2019,Saint Marks,SMAR03,Jenn McHenry,3,50,41.1,0.822,,3,
8/13/2019,Saint Marks,SMAR03,Jenn McHenry,3,50,41.1,0.822,,3,
8/13/2019,Saint Marks,SMAR04,Jenn McHenry,3,50,42.7,0.854,,3,
8/14/2019,Saint Marks,SMAR14,Jenn McHenry,3,50,26.5,0.53,,3,
8/14/2019,Saint Marks,SMAR14,Jenn McHenry,3,50,26.5,0.53,,3,
8/20/2019,Saint Marks,SMAR23,Jenn McHenry,3,33,32.6,0.987878788,,3,
8/20/2019,Saint Marks,SMAR23,Jenn McHenry,3,33,32.6,0.987878788,,3,
8/20/2019,Saint Marks,SMAR24,Jenn McHenry,3,50,43.7,0.874,,3,
8/20/2019,Saint Marks,SMAR24,Jenn McHenry,3,50,43.7,0.874,,3,
8/20/2019,Saint Marks,SMAR24,Jenn McHenry,3,50,43.7,0.874,,3,
8/14/2019,Saint Marks,SMAR25,Jenn McHenry,3,50,32.8,0.656,,3,
8/14/2019,Saint Marks,SMAR25,Jenn McHenry,3,50,32.8,0.656,,3,
