Prep Date,Site number,Quadrat,Bagged_Slice_Number,Slice_Number,Intended_Alysis,Rhizome_Slice_Y_N,Slice Height (cm; if bag says otherwise),Bella Container Weight (g),Initial Dry Sample Weight (in a tared container; includes bella container after April 1st 2020),Shell Weight (in a tared container),Belowground Biomass (in a tared container),Dried Sediment Weight (in a tared container; includes bella container after a April 1st 2020) ,LOI Crucible Number,LOI Crucible Weight (g),LOI Intial Sample Weigh (g),LOI Sample Weight Post LOI 450 (g),LOI Sample Weight Post LOI 950 (g),LOI_Notes_2,Corrected LOI Intial Sample Weigh (g),Corrected LOI Sample Weight Post LOI 450 (g),Corrected LOI Sample Weight Post LOI 950 (g),Fraction OLOI ,Fraction ILOI,% OLOI ,% ILOI,Corrected Sample Weight (g DW),Corrected Sediment Weight (g DW),Sample Bulk Density (g/cm^3),Sediment Bulk Density (g/cm^3),Organic Content (g DW),Inorganic Content (gDW),Organic Content Density (g/cm^3),Inorganic Content Density (g/cm^3),Estimated_Carbon,LOI_Notes_2
3/8/2021,STCH05,1,1,19,LOI analysis,N,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/12/2021,STCH04,1,21,1,LOI analysis ,Y,2,65.8885,111.4747,0.2076,0,111.2653,SC44,15.3326,31.2894,31.1364,29.9118,,15.957,15.804,14.579,0.01,0.077,0.959,7.749,45.586,45.377,1.125,1.119,0.435,3.516,0.011,0.087,0.17,
8/5/2020,SJB24,1,13,2,LOI alysis ,Y,2,66.9928,103.6232,1.0468,1.5469,101.0271,SC10,16.4327,27.5729,27.1822,27.0063,,11.14,10.75,10.574,0.035,0.016,3.507,1.636,36.63,34.034,0.904,0.84,1.194,0.557,0.029,0.014,1.192847346,
10/28/2020,SJB24,2,13,3,LOI analysis,Y,2,66.794,107.7991,0,1.0732,106.7453,SC42,16.4021,33.6244,33.2722,33.1799,,17.222,16.87,16.778,0.02,0.005,2.045,0.547,41.005,39.951,1.012,0.986,0.817,0.219,0.02,0.005,0.608009209,
2/1/2021,STCH02,1,12,2,LOI analysis ,Y,2,65.8177,103.0745,2.6706,0.8907,99.5946,SC34,16.279,30.1154,29.5735,28.3607,,13.836,13.295,12.082,0.039,0.091,3.916,9.123,37.257,33.777,0.919,0.833,1.323,3.081,0.033,0.076,1.36,
7/30/2020,SJB02,3,18,1,LOI alysis ,N,1.9,66.8936,119.7516,1.5097,0.7875,117.4461,SC35,15.4482,25.2845,25.0288,24.9305,,9.836,9.581,9.482,0.026,0.01,2.6,1.026,52.858,50.553,1.373,1.313,1.314,0.519,0.034,0.013,0.829821884,
10/28/2020,SJB24,2,11,5,LOI analysis,Y,2,66.7184,105.8407,0.1042,0.7504,104.9952,SC18,15.9572,33.8481,33.598,33.5233,,17.891,17.641,17.566,0.014,0.004,1.398,0.423,39.122,38.277,0.965,0.944,0.535,0.162,0.013,0.004,0.349166951,
10/28/2020,SJB24,2,10,6,LOI analysis,Y,2,65.9198,108.7173,0.0824,0.7162,107.9412,SC3,16.4671,33.7421,33.4356,33.3601,,17.275,16.969,16.893,0.018,0.004,1.774,0.445,42.798,42.021,1.056,1.037,0.746,0.187,0.018,0.005,0.499696093,
8/5/2020,SJB24,1,12,3,LOI alysis ,Y,2,66.8663,106.1886,0.0898,0.6748,105.3901,SC25,12.9721,27.1507,26.7522,26.6112,,14.179,13.78,13.639,0.028,0.01,2.811,1.023,39.322,38.524,0.97,0.95,1.083,0.394,0.027,0.01,0.914229473,
10/5/2020,SJB07,3,9,5,LOI analysis ,Y,2,66.6999,121.7972,1.8279,0.6381,119.2679,SC39,16.2056,32.4984,32.3282,31.6789,,16.293,16.123,15.473,0.01,0.04,1.045,4.027,55.097,52.568,1.359,1.297,0.549,2.117,0.014,0.052,0.207853285,
