"","Site","Quadrat","Bagged_Slice_Number","Slice_Number","Analysis","Rhizome_Removed","Slice_Height_cm","Shell_gDW","Rhizome_gDW","Frac_Shell","Shell_Density_g_per_ml","Frac_Rhizome","Rhizome_Density_g_per_ml","Frac_OLOI","Frac_ILOI","OLOI","ILOI","Sample_Weight_gDW","Sediment_Weight_gDW","Sample_Density_g_per_ml","Sediment_Densit_g_per_ml","Organic_Content_gDW","Inorganic_Content_gDW","Organic_Density_g_per_ml","Inorganic_Density_g_per_ml","Percent_Carbon","Factor"
"1","SJB02",2,15,NA,"LOI alysis ","Y",2,1.9218,0,0.0502799434880435,0.047413986709225,0,0,0.026,NA,2.565,NA,38.222,36.3,0.943,0.895,0.931,NA,0.023,NA,0.816021107,"Seagrass"
"2","SMAR01",10,1,14,"LOI alysis ","N",2,0,0,0,0,0,0,0.009,0.027,0.888,2.712,47.15,47.15,1.163,1.163,0.419,1.279,0.01,0.032,0.145257167,"Seagrass"
"3","SMAR01",10,5,10,"LOI alysis ","N",2,0,0,0,0,0,0,0.025,0.01,2.527,0.988,35,35.027,0.863,0.864,0.885,0.346,0.022,0.009,0.800942109,"Seagrass"
"4","SMAR01",10,8,7,"LOI alysis ","N",2,0,0,0,0,0,0,0.034,0.012,3.362,1.154,36.158,36.192,0.892,0.893,1.217,0.418,0.03,0.01,1.134885913,"Seagrass"
"5","SMAR01",10,9,6,"LOI alysis ","Y",2,0.2338,0,0.00640267280096396,0.00576880819366853,0,0,0.032,0.01,3.184,0.973,36.516,36.298,0.901,0.895,1.156,0.353,0.029,0.009,1.063783703,"Seagrass"
"6","SMAR01",10,10,5,"LOI alysis ","Y",2,0.1101,0.0227,0.00259559620915649,0.00271499363477769,0.000535150172096751,0.000559767080013202,0.014,0.006,1.41,0.598,42.418,42.319,1.046,1.044,0.597,0.253,0.015,0.006,0.353838506,"Seagrass"
"7","SMAR01",10,12,3,"LOI alysis ","Y",2,0.8854,0.0135,0.0258186801971248,0.0218426034467676,0.000393666345901496,0.000333041728632666,0.026,0.012,2.613,1.201,34.293,33.412,0.846,0.824,0.873,0.401,0.022,0.01,0.835234342,"Seagrass"
"8","SMAR01",10,13,2,"LOI alysis ","Y",2,0.3165,0.2328,0.00856192176594709,0.00780847265054374,0.00629767894822269,0.00574348320077909,0.022,0.007,2.199,0.697,36.966,36.452,0.912,0.899,0.801,0.254,0.02,0.006,0.669509419,"Seagrass"
"9","SMAR01",10,14,1,"LOI alysis ","Y",2,0.2812,0.0246,0.00696160225781695,0.00693375584878568,0.000609016413735053,0.000606580348080113,0.031,0.015,3.116,1.484,40.393,40.157,0.996,0.991,1.251,0.596,0.031,0.015,1.036342635,"Seagrass"
"10","SMAR23",3,1,16,"LOI alysis ","N",2,0.057,0.0114,0.00143518984792023,0.00140648605096183,0.000287037969584047,0.000281297210192366,0.015,0.054,1.537,5.366,39.716,45.816,0.98,1.13,0.704,2.459,0.017,0.061,0.404676734,"Seagrass"
"11","SMAR23",3,2,15,"LOI alysis ","N",2,0,0,0,0,0,0,0.051,0.052,5.113,5.204,37.074,37.089,0.915,0.915,1.896,1.93,0.047,0.048,1.835350743,"Seagrass"
"12","SMAR23",3,7,10,"LOI alysis ","N",2,0,0,0,0,0,0,0.042,0.044,4.16,4.39,45.184,45.197,1.115,1.115,1.88,1.984,0.046,0.049,1.453974464,"Seagrass"
"13","SMAR23",3,10,7,"LOI alysis ","N",2,0,0,0,0,0,0,0.06,0.039,6.026,3.925,40.537,40.537,1,1,2.443,1.591,0.06,0.039,2.200243782,"Seagrass"
"14","SMAR23",3,11,6,"LOI alysis ","Y",2,2.4524,0,0.0652424911543271,0.0604797893000612,0,0,0.046,0.043,4.617,4.327,37.589,35.141,0.927,0.867,1.622,1.521,0.04,0.038,1.63662756,"Seagrass"
"15","SMAR23",3,12,5,"LOI alysis ","Y",2,0.2783,0,0.00622748327328873,0.00686268656716418,0,0,0.064,0.036,6.371,3.585,44.689,44.399,1.102,1.095,2.829,1.592,0.07,0.039,2.338545478,"Seagrass"
"16","SMAR23",3,14,3,"LOI alysis ","Y",2,0,0.5206,0,0,0.0227019012733298,0.0128492761207047,0.056,0.044,5.637,4.371,22.932,22.198,0.566,0.548,1.251,0.97,0.031,0.024,2.044883908,"Seagrass"
