Start Date,Site Number,Quadrat,Species_Name,Common Name,Type,"Biomass Component (i.e., AGB, DT)",Weight Boat ID,Boat Weight (g),Wet Weight (g),Dry Start Date,Dry Start Time (EST),Dry Weight (g),End Date,End Time (EST),Processing Notes
10/4/2019,STCH05,8,Acanthophora_spicifera,massive branched red algae,Algae,AGB,NA,1.284,1.6442,,10:14,1.29,10/8/2019,10:17,
10/6/2019,STCH06,2,Acanthophora_spicifera,massive branched red algae,Algae,AGB,NA,1.2815,1.8084,,10:35,1.3056,10/12/2019,10:35,
10/6/2019,STCH05,2,Acanthophora_spicifera,massive branched red algae,Algae,AGB,NA,1.2763,2.4376,,12:15,1.3346,10/12/2019,10:35,
10/10/2019,STCH05,3,Acanthophora_spicifera,massive branched red algae,Algae,AGB,p1,6.3653,13.5385,,10:34,6.6916,10/16/2016,10:45,
10/18/2019,STCH06,3,Acanthophora_spicifera,massive branched red algae,Algae,AGB,SA3,2.5017,21.0089,,10:42,3.5212,10/25/2019,8:15,
10/18/2019,STCH06,6,Acanthophora_spicifera,massive branched red algae,Algae,AGB,P5,6.3633,25.914,,10:42,7.0405,10/25/2019,8:15,
10/22/2019,SJB14,2,Acanthophora_spicifera,massive branched red algae,Algae,AGB,SA9,2.5217,2.5934,,8:15,2.5258,10/29/2019,8:45,
11/8/2019,SJB06,3,Acanthophora_spicifera,massive branched red algae,Algae,AGB,SA18,2.4984,2.9567,,9:20,2.5105,11/16/2019,9:20,
1/13/2020,SMAR03,2,Acanthophora_spicifera,massive branched red algae,Algae,AGB,SA21,2.4947,2.7057,,10:00,2.5056,1/21/2020,8:35,
2/4/2020,SMAR01,10,Acanthophora_spicifera,massive branched red algae,Algae,AGB,P17,6.2887,42.2722,2/6/2020,9:00,9.1072,2/10/2020,9:15,
2/4/2020,SMAR14,2,Acanthophora_spicifera,massive branched red algae,Algae,AGB,P2,6.3058,83.441,2/6/2020,9:00,9.0193,2/10/2020,9:15,
2/11/2020,SMAR12,3,Acanthophora_spicifera,massive branched red algae,Algae,AGB,SA17,2.6769,2.765,2/13/2020,9:30,2.5123,2/17/2020,9:15,
2/11/2020,SMAR12,2,Acanthophora_spicifera,massive branched red algae,Algae,AGB,SA25,2.5178,6.7465,2/13/2020,9:30,2.7462,2/17/2020,9:15,
2/18/2020,SMAR23,2,Acanthophora_spicifera,massive branched red algae,Algae,AGB,SA18,2.53,5.1837,2/19/2020,5:00,2.6719,2/24/2020,3:40,
2/21/2020,SMAR14,1,Acanthophora_spicifera,massive branched red algae,Algae,AGB,SA12,2.5048,22.8749,2/24/2020,8:45,3.8735,2/28/2020,10:00,
3/3/2020,SMAR23,1,Acanthophora_spicifera,massive branched red algae,Algae,AGB,SA1,2.5254,6.8873,3/6/2020,12:13,2.7516,3/11/2020,9:00,
3/3/2020,SMAR04,2,Acanthophora_spicifera,massive branched red algae,Algae,AGB,SA12,6.5112,7.0703,3/6/2020,12:13,3.1067,3/11/2020,9:00,
3/6/2020,SMAR14,3,Acanthophora_spicifera,massive branched red algae,Algae,AGB,SA7,2.4954,21.1474,3/6/2020,12:13,3.8395,3/11/2020,9:00,
3/10/2020,SMAR24,1,Acanthophora_spicifera,massive branched red algae,Algae,AGB,SA24,2.5137,8.3956,3/12/2029,9:00,2.818,3/17/2020,9:00,
9/23/2020,SMAR23,3,Acanthophora_spicifera,massive branched red algae,Algae,AGB,SA3,2.503,28.553,9/23/2020,10:38,4.226,9/28/2020,9:30,
10/29/2020,STCH01,4,Acanthophora_spicifera,massive branched red algae,Algae,AGB,SA3,2.5046,2.7975,10/29/2020,10:26,2.5265,11/2/2020,12:30,
10/29/2020,SMAR25,3,Acanthophora_spicifera,massive branched red algae,Algae,AGB,SA17,2.496,4.4185,10/29/2020,1:10,2.638,11/2/2020,12:30,
10/10/2019,SJB02,2,Batillaria_minima_,black horned snail,Animal,AGB,sa6,2.5012,4.3687,,10:34,3.6724,10/16/2016,10:45,
10/10/2019,SJB02,2,Botryllus_planus_,Encrusted tunicate,Animal,AGB,sa5,2.5162,4.2822,,10:34,2.6853,10/16/2016,10:45,
10/15/2019,SJB02,3,Botryllus_planus_,Encrusted tunicate,Animal,AGB,SA7,2.4951,8.0147,,11:00,3.1749,10/20/2019,10:40,
10/15/2019,SJB02,3,Crepidula_sp,slipper snail,Animal,AGB,SA10,2.485,3.058,,11:00,2.6591,10/20/2019,10:40,
10/4/2019,STCH20,1,Detritus,Detritus,Detritus,DT,NA,3.7094,7.0772,,10:14,4.0725,10/8/2019,10:17,
10/4/2019,STCH20,2,Detritus,Detritus,Detritus,DT,NA,5.6961,14.6681,,10:14,6.6586,10/8/2019,10:17,
10/4/2019,STCH20,3,Detritus,Detritus,Detritus,DT,NA,4.4222,10.0111,,10:14,5.0498,10/8/2019,10:17,
10/4/2019,STCH05,8,Detritus,Detritus,Detritus,DT,NA,3.0119,11.203,,10:14,3.3865,10/8/2019,10:17,
10/6/2019,STCH06,1,Detritus,Detritus,Detritus,DT,NA,1.2698,7.1545,,10:35,1.8374,10/12/2019,10:35,
10/6/2019,STCH06,2,Detritus,Detritus,Detritus,DT,NA,1.2799,10.0109,,10:35,1.9827,10/12/2019,10:35,
10/6/2019,STCH05,1,Detritus,Detritus,Detritus,DT,NA,1.2872,3.3928,,11:52,1.4574,10/12/2019,10:35,
10/6/2019,STCH05,2,Detritus,Detritus,Detritus,DT,NA,5.6319,27.7703,,12:15,8.1703,10/12/2019,10:35,
10/10/2019,STCH05,3,Detritus,Detritus,Detritus,DT,sa1,2.5168,17.1908,,10:34,3.4038,10/16/2016,10:45,
10/10/2019,SJB02,2,Detritus,Detritus,Detritus,DT,p2,6.4259,60.1859,,10:34,9.9376,10/16/2016,10:45,
10/15/2019,SJB02,1,Detritus,Detritus,Detritus,DT,p12,6.1356,38.1898,,11:00,9.2184,10/20/2019,10:40,
10/15/2019,SJB02,3,Detritus,Detritus,Detritus,DT,p14,6.1021,74.9304,,11:00,12.1855,10/20/2019,10:40,
10/18/2019,STCH06,3,Detritus,Detritus,Detritus,DT,P2,6.3316,19.6419,,10:42,7.3516,10/25/2019,8:15,
