Event Number,Date,Region,Site,Meadow Structure,"Cover Level (High, Low, None)",Notes
1,6/14/2019,St Marks,SMAR01,Continuous,high,
2,6/24/2019,Steinhatchee,STCH01,Fragmented,,Cocacola
3,6/24/2019,Steinhatchee,STCH02,Fragmented,,
4,6/24/2019,Steinhatchee,STCH03,Continuous,,
5,6/24/2019,Steinhatchee,STCH04,Bare,low,Low low cover
6,6/25/2019,Steinhatchee,STCH05,Continuous,low,Low seagrass cover high algal cover
7,6/25/2019,Steinhatchee,STCH06,Continuous,high,
8,7/8/2019,Saint Joe Bay,SJB14,Fragmented,high,lost first data sheet . needed to redonquadrats
9,7/8/2019,Saint Joe Bay,SJB13,Fragmented,high,
10,7/9/2019,Saint Joe Bay,SJB07,Fragmented,high,Need to do one more biomass and core plus 1 quad . Took 3rd quad on 7/10/2019 8am to 8:53
11,7/9/2019,Saint Joe Bay,SJB06,Fragmented,high,
12,7/10/2019,Saint Joe Bay,SJB17,Continuous,high,biomass filled the coolers; boat scars prevelant
13,7/10/2019,Saint Joe Bay,SJB10,Continuous,high,
14,7/11/2019,St Joe Bay,SJBA,Fragmented,No cover,In an area on patchy seagrass in the none seagrass part
15,7/11/2019,St Joe Bay,SJBB,Fragmented,No cover,In an area on patchy seagrass in the none seagrass part
15,7/25/2019,St Joe Bay,SJB02,Fragmented,high,Boat scar; bag labeled Q2 has inside bags as Q3 and bag Q3 has inside Q2 - go by the outside label!
16,7/25/2019,St Joe Bay,SJB24,Fragmented,high,
17,7/30/2019,Steinhatchee,STCH12,Fragmented,low,Bags are marked as stch13
18,7/30/2019,Steinhatchee,STCH09,NA,,Did not do because it was too deep on this tide
19,7/30/2019,Steinhatchee,STCH13,NA,,Did not do because it was too deep on this tide
20,7/30/2019,Steinhatchee,STCHA,Fragmented,low,In an area on patchy seagrass in the none seagrass part. Only algae low sg
21,7/30/2019,Steinhatchee,STCHB,Bare,none,Sargassum field no samples . Bedroc covered in sediment . Delete first waypoint . Use second waypoint
22,8/8/2019,Steinhatchee,STCH21,Continuous,high,
23,8/8/2019,Steinhatchee,STCH20,Continuous,high,Bags say Stch09. Outer bag relabeled to stch20. See notes for core info
25,8/8/2019,Steinhatchee,STCHC,Bare,none,Bare patch in between sg. This is the second c site. It’s marked as actual stchc. Erase other record in gps.
26,8/13/2019,St Marks,SMAR03,Continuous,High,umlS
27,8/13/2019,St Marks,SMAR04,Continuous,high,Bags say SMAR15 . Outter bags are relabeled to SMAR04
28,8/14/2019,St Marks,SMAR14,Continuous,high,
29,8/14/2019,St Marks,SMAR25,Continuous,"High cover, low seagrass",High algae cover
30,8/14/2019,St Marks,SMAR12,Continuous,high,
31,8/16/2019,St Marks,SMARA,Bare,none,Never was sg. Sediment was hyper compressible. Might want to count the number of bags to see if there was any compression due to extrusion.
32,8/16/2019,St Marks,SMARB,Fragmented,Low,Bare patch within an algae bed. Brown algal mat. Sparse
33,8/20/2019,St Marks,SMAR10,NA,,Too deep to sample
34,8/20/2019,St Marks,SMAR23,Continuous,Hugh,forgot to take waypoint. use snail trail to find site
35,8/20/2019,St Marks,SMAR24,Continuous,"low sg , high overall cover because of algae",
36,8/20/2019,St Marks,SMARC,Bare,none,sand patch .
37,8/30/2019,St Joe Bay,SJB16,Fragmented,mid,Inner bags labeled 12; difficult to hammer
38,8/30/2019,St Joe Bay,SJBC,Bare,none,"sandy; difficult to hamer; For Q1, the surficial slices accidentally everted on the floor. Need to tak a volume for Slice 14. But most likely 4cm"
