Prep Date,Site number,Quadrat,Bagged_Slice_Number,Slice_Number,Intended Analysis,Rhizome (Y/N),Slice Height (cm; if bag says otherwise),Crucible Number,Crucible Weight (g),Wet Weight (g),Bake Start Date,Bake Start Time (EST),Dry Weight (g),End Date,End Time (EST),Processing notes
10/4/2019,STCH05,1,1,19,LOI analysis,N,2,1,39.061,94.9313,,10:15,82.1282,10/8/2019,10:17,
11/5/2019,STCH05,1,5,15,LOI analysis,N,2,19,38.7735,98.3817,,10:10,83.6785,11/12/2019,9:15,
11/5/2019,STCH05,1,6,14,grainsize,N,2,21,38.5234,96.4571,,10:10,79.4702,11/12/2019,9:15,
11/5/2019,STCH05,1,10,10,LOI analysis,N,2,17,36.3721,99.2533,,10:10,83.9532,11/12/2019,9:15,
11/5/2019,STCH05,1,11,9,grainsize,N,2,15,42.0239,98.3627,,10:10,81.2044,11/12/2019,9:15,
11/5/2019,STCH05,1,13,7,LOI analysis,N,2,22,39.5583,92.7068,,10:10,68.9898,11/12/2019,9:15,
11/5/2019,STCH05,1,14,6,LOI analysis,Y,2,16,42.1503,88.2103,,10:10,68.3557,11/12/2019,9:15,
11/5/2019,STCH05,1,15,5,LOI analysis,Y,2,18,40.7891,100.1973,,10:10,81.2389,11/12/2019,9:15,
11/5/2019,STCH05,1,16,4,grainsize,Y,2,23,43.3448,105.4697,,10:10,74.3379,11/12/2019,9:15,
11/5/2019,STCH05,1,17,3,LOI analysis,Y,2,14,41.1295,103.0938,,10:10,71.3207,11/12/2019,9:15,
11/5/2019,STCH05,1,18,2,LOI analysis,Y,2,20,39.04,96.8839,,10:10,78.9741,11/12/2019,9:15,
11/5/2019,STCH05,1,19,1,LOI analysis,Y,3,C31,36.9053,107.13,,10:10,64.2267,11/12/2019,9:15,
10/8/2019,STCH05,2,1,12,LOI analysis,N,2,2,36.984,97.7711,,10:35,82.2679,10/12/2019,10:34,
10/8/2019,STCH05,2,2,11,,N,2,3,43.7722,103.4513,,10:35,89.6236,10/12/2019,10:34,
10/8/2019,STCH05,2,3,10,LOI analysis,N,2,4,42.6702,105.2049,,10:35,88.4925,10/12/2019,10:34,
10/8/2019,STCH05,2,4,9,grainsize,N,2,5,43.242,105.0177,,10:35,90.6771,10/12/2019,10:34,
10/8/2019,STCH05,2,5,8,,N,2,6,41.0897,108.0326,,10:35,88.1642,10/12/2019,10:34,
10/8/2019,STCH05,2,6,7,LOI analysis,N,2,7,40.3132,92.8208,,10:35,74.6902,10/12/2019,10:34,
10/8/2019,STCH05,2,7,6,LOI analysis,Y,2,8,40.1615,95.6697,,10:35,78.8918,10/12/2019,10:34,
10/8/2019,STCH05,2,8,5,LOI analysis,Y,2,9,40.729,96.1645,,10:35,76.9155,10/12/2019,10:34,
10/8/2019,STCH05,2,9,4,grainsize,Y,2,10,42.0998,91.4037,,10:35,69.7831,10/12/2019,10:34,
10/8/2019,STCH05,2,10,3,LOI analysis,Y,2,11,40.6481,90.826,,10:35,67.4923,10/12/2019,10:34,
10/8/2019,STCH05,2,11,2,LOI analysis,Y,2,12,40.0451,96.6662,,10:35,64.7705,10/12/2019,10:34,
10/8/2019,STCH05,2,12,1,LOI analysis,Y,1.5,13,39.8137,69.9309,,10:35,44.7324,10/12/2019,10:34,
10/11/2019,SJB02,2,1,22,LOI analysis,N,2,14,41.012,99.8298,,10:34,80.4984,10/16/2019,10:45,
10/11/2019,SJB02,2,2,21,,N,2,15,42.2056,97.55,,10:34,81.4391,10/16/2019,10:45,
10/11/2019,SJB02,2,3,20,LOI analysis,N,2,16,42.1475,98.9857,,10:34,80.1303,10/16/2019,10:45,
10/11/2019,SJB02,2,4,19,grainsize,N,2,17,36.3752,107.5406,,10:34,77.7528,10/16/2019,10:45,
10/11/2019,SJB02,2,5,18,,N,2,18,40.7944,99.7664,,10:34,81.3582,10/16/2019,10:45,
10/11/2019,SJB02,2,6,17,,N,2,19,38.7499,101.0116,,10:34,76.5271,10/16/2019,10:45,
10/11/2019,SJB02,2,7,16,,N,2,20,38.9713,100.3346,,10:34,76.0283,10/16/2019,10:45,
10/11/2019,SJB02,2,8,15,LOI analysis,N,2,21,38.5451,98.8271,,10:34,76.0112,10/16/2019,10:45,
10/11/2019,SJB02,2,9,14,grainsize,N,2,22,39.5574,96.6346,,10:34,74.7571,10/16/2019,10:45,
10/11/2019,SJB02,2,10,13,,N,2,23,43.4957,99.1879,,10:34,77.097,10/16/2019,10:45,
10/11/2019,SJB02,2,11,12,,N,2,24,38.0608,99.1469,,10:34,77.4221,10/16/2019,10:45,
10/11/2019,SJB02,2,12,11,,N,2,25,37.5745,92.544,,10:34,77.6954,10/16/2019,10:45,
10/11/2019,SJB02,2,13,10,LOI analysis,N,2,26,41.964,98.2002,,10:34,80.8867,10/16/2019,10:45,
10/11/2019,SJB02,2,14,9,grainsize,N,2,27,39.7742,95.3357,,10:34,77.0565,10/16/2019,10:45,
10/11/2019,SJB02,2,15,8,,N,2,28,41.0033,99.8296,,10:34,79.1771,10/16/2019,10:45,
