"","Reference","Florida.Stone.Crab","Spiny.Lobster","Stage"
"1","APM1998052202",0,0,"Juvenile"
"2","APM1998060503",0,0,"Juvenile"
"3","APM1998092105",0,0,"Juvenile"
"4","APM1998092203",0,0,"Juvenile"
"5","APM1998092205",0,0,"Juvenile"
"6","APM1998092206",0,0,"Juvenile"
"7","APM1999012603",0,0,"Juvenile"
"8","APM1999031002",0,0,"Juvenile"
"9","APM1999041204",0,0,"Juvenile"
"10","APM1999051203",0,0,"Juvenile"
"11","APM1999051204",0,0,"Juvenile"
"12","APM1999060105",0,0,"Juvenile"
"13","APM2000010604",0,0,"Juvenile"
"14","APM2002120507",0,0,"Juvenile"
"15","CHD1995100901",0,0,"Juvenile"
"16","CHM1989041908",0,0,"Juvenile"
"17","CHM1989102303",0,0,"Juvenile"
"18","CHM1989102611",0,0,"Juvenile"
"19","CHM1990040201",0,0,"Juvenile"
"20","CHM1990040205",0,0,"Juvenile"
"21","CHM1990040206",0,0,"Juvenile"
"22","CHM1990040207",0,0,"Juvenile"
"23","CHM1990040211",0,0,"Juvenile"
"24","CHM1990040426",0,0,"Juvenile"
"25","CHM1990040507",0,0,"Juvenile"
"26","CHM1990040905",0,0,"Juvenile"
"27","CHM1990040907",0,0,"Juvenile"
"28","CHM1990041001",0,0,"Juvenile"
"29","CHM1990043006",0,0,"Juvenile"
"30","CHM1990043007",0,0,"Juvenile"
"31","CHM1990043008",0,0,"Juvenile"
"32","CHM1990043009",0,0,"Juvenile"
"33","CHM1990043010",0,0,"Juvenile"
"34","CHM1990043013",0,0,"Juvenile"
"35","CHM1990043014",0,0,"Juvenile"
"36","CHM1990043015",0,0,"Juvenile"
"37","CHM1990043016",0,0,"Juvenile"
"38","CHM1990050904",0,0,"Juvenile"
"39","CHM1990050907",0,0,"Juvenile"
"40","CHM1990050908",0,0,"Juvenile"
"41","CHM1990050914",0,0,"Juvenile"
"42","CHM1990051408",0,0,"Juvenile"
"43","CHM1990100105",0,0,"Juvenile"
"44","CHM1990100111",0,0,"Juvenile"
"45","CHM1990100114",0,0,"Juvenile"
"46","CHM1990100115",0,0,"Juvenile"
"47","CHM1990100116",0,0,"Juvenile"
"48","CHM1990100117",0,0,"Juvenile"
"49","CHM1990102204",0,0,"Juvenile"
"50","CHM1990102208",0,0,"Juvenile"
"51","CHM1990102214",0,0,"Juvenile"
"52","CHM1990102901",0,0,"Juvenile"
"53","CHM1990102902",0.21302581872923,0,"Juvenile"
"54","CHM1990102907",0.0963688227584612,0,"Juvenile"
"55","CHM1990102909",0.0963688227584612,0,"Juvenile"
"56","CHM1990102914",0,0,"Juvenile"
"57","CHM1990111907",0,0,"Juvenile"
"58","CHM1990112128",0,0,"Juvenile"
"59","CHM1991040806",0,0,"Juvenile"
"60","CHM1991040807",0,0,"Juvenile"
"61","CHM1991040811",0,0,"Juvenile"
"62","CHM1991040812",0,0,"Juvenile"
"63","CHM1991040813",0,0,"Juvenile"
"64","CHM1991040814",0,0,"Juvenile"
"65","CHM1991040815",0,0,"Juvenile"
"66","CHM1991040816",0,0,"Juvenile"
"67","CHM1991040817",0,0,"Juvenile"
"68","CHM1991040818",0,0,"Juvenile"
"69","CHM1991040819",0,0,"Juvenile"
"70","CHM1991041505",0,0,"Juvenile"
"71","CHM1991042505",0,0,"Juvenile"
"72","CHM1991042506",0,0,"Juvenile"
"73","CHM1991042507",0,0,"Juvenile"
"74","CHM1991042508",0,0,"Juvenile"
"75","CHM1991042509",0,0,"Juvenile"
"76","CHM1991042510",0,0,"Juvenile"
"77","CHM1991042512",0,0,"Juvenile"
"78","CHM1991042513",0,0,"Juvenile"
"79","CHM1991050601",0,0,"Juvenile"
"80","CHM1991050602",0,0,"Juvenile"
"81","CHM1991050603",0,0,"Juvenile"
"82","CHM1991050729",0,0,"Juvenile"
"83","CHM1991050730",0,0,"Juvenile"
"84","CHM1991050904",0,0,"Juvenile"
"85","CHM1991050906",0,0,"Juvenile"
"86","CHM1991050907",0,0,"Juvenile"
"87","CHM1991050909",0,0,"Juvenile"
"88","CHM1991052015",0,0,"Juvenile"
"89","CHM1991052404",0,0,"Juvenile"
"90","CHM1991052405",0,0,"Juvenile"
"91","CHM1991052411",0,0,"Juvenile"
"92","CHM1991100106",0.0710086062430767,0,"Juvenile"
"93","CHM1991101407",0,0,"Juvenile"
"94","CHM1992040210",0,0,"Juvenile"
"95","CHM1992040214",0,0,"Juvenile"
"96","CHM1992042702",0,0,"Juvenile"
"97","CHM1992042802",0,0,"Juvenile"
"98","CHM1992042903",0,0,"Juvenile"
"99","CHM1992042904",0,0,"Juvenile"
"100","CHM1992042910",0,0,"Juvenile"
"101","CHM1992042917",0,0,"Juvenile"
"102","CHM1992042918",0,0,"Juvenile"
"103","CHM1992050403",0,0,"Juvenile"
"104","CHM1992050408",0,0,"Juvenile"
"105","CHM1992050409",0,0,"Juvenile"
"106","CHM1992050410",0,0,"Juvenile"
"107","CHM1992050412",0,0,"Juvenile"
"108","CHM1992050512",0,0,"Juvenile"
"109","CHM1992093037",0,0,"Juvenile"
"110","CHM1992101208",0,0,"Juvenile"
"111","CHM1992101209",0,0,"Juvenile"
"112","CHM1992110907",0,0,"Juvenile"
"113","CHM1992110908",0,0,"Juvenile"
"114","CHM1992110909",0,0,"Juvenile"
"115","CHM1992110910",0.134916351861846,0,"Juvenile"
"116","CHM1992110911",0.876956287101997,0,"Juvenile"
"117","CHM1992110912",1.11107583886226,0,"Juvenile"
"118","CHM1992110913",0.0749535288121365,0,"Juvenile"
"119","CHM1992110914",0,0,"Juvenile"
"120","CHM1992110915",0.168645439827307,0,"Juvenile"
"121","CHM1993040504",0,0,"Juvenile"
"122","CHM1993040810",0,0,"Juvenile"
"123","CHM1993050308",0,0,"Juvenile"
"124","CHM1993050309",0,0,"Juvenile"
"125","CHM1993051007",0,0,"Juvenile"
"126","CHM1993051101",0,0,"Juvenile"
"127","CHM1993051301",0,0,"Juvenile"
"128","CHM1993051302",0,0,"Juvenile"
"129","CHM1993102022",0,0,"Juvenile"
"130","CHM1993111507",0,0,"Juvenile"
"131","CHM1993111510",0,0,"Juvenile"
"132","CHM1994032103",0,0,"Juvenile"
"133","CHM1994032107",0,0,"Juvenile"
"134","CHM1994032108",0.149907057624273,0,"Juvenile"
"135","CHM1994032110",0.317450239674931,0,"Juvenile"
"136","CHM1994032111",0,0,"Juvenile"
"137","CHM1994032112",0,0,"Juvenile"
"138","CHM1994032113",0,0,"Juvenile"
"139","CHM1994032114",0,0,"Juvenile"
"140","CHM1994033104",0,0,"Juvenile"
"141","CHM1994033106",0,0,"Juvenile"
"142","CHM1994033109",0,0,"Juvenile"
"143","CHM1994033111",0,0,"Juvenile"
"144","CHM1994040404",0,0,"Juvenile"
"145","CHM1994040406",0,0,"Juvenile"
"146","CHM1994040409",0,0,"Juvenile"
"147","CHM1994040413",0,0,"Juvenile"
