Florida Fish And Wildlife Conservation Commission,,,,,,
Commercial Landings Summary,,,,,,
Years: 1997 - 2017,,,,,,
"Species: SNAPPER, GREY (MANGROVE)",,,,,,
Subject to Revision,,,,,,
Years before 2020 are final,,,,,,
"Report created: January 28, 2021",,,,,,
,,,,,,
,,,,,,
Year,County Landed,Species,Pounds,Trips,Average Price,Estimated Value
1997,BAY,"SNAPPER, GREY (MANGROVE)",16539,372,1.58,26061
1997,BREVARD,"SNAPPER, GREY (MANGROVE)",13520,443,2.08,28141
1997,BROWARD,"SNAPPER, GREY (MANGROVE)",3079,147,2.05,6307
1997,CHARLOTTE,"SNAPPER, GREY (MANGROVE)",1543,324,1.23,1904
1997,CITRUS,"SNAPPER, GREY (MANGROVE)",4552,157,1.51,6884
1997,COLLIER,"SNAPPER, GREY (MANGROVE)",2504,179,1.64,4114
1997,DUVAL,"SNAPPER, GREY (MANGROVE)",7727,216,1.72,13262
1997,ESCAMBIA,"SNAPPER, GREY (MANGROVE)",1088,12,1.96,2135
1997,FRANKLIN,"SNAPPER, GREY (MANGROVE)",6105,217,1.76,10747
1997,GULF,"SNAPPER, GREY (MANGROVE)",172,4,1.69,291
1997,HERNANDO,"SNAPPER, GREY (MANGROVE)",26,6,1.85,47
1997,HILLSBOROUGH,"SNAPPER, GREY (MANGROVE)",2802,71,1.86,5223
1997,INDIAN RIVER,"SNAPPER, GREY (MANGROVE)",6353,196,1.87,11890
1997,Inland/Out-of-State,"SNAPPER, GREY (MANGROVE)",17,1,0.36,6
1997,LEE,"SNAPPER, GREY (MANGROVE)",7438,619,1.84,13660
1997,LEVY,"SNAPPER, GREY (MANGROVE)",3091,57,1.93,5962
1997,MANATEE,"SNAPPER, GREY (MANGROVE)",2097,97,1.79,3748
1997,MARTIN,"SNAPPER, GREY (MANGROVE)",2360,129,2.07,4883
1997,MIAMI-DADE,"SNAPPER, GREY (MANGROVE)",15365,180,1.95,29908
1997,MONROE,"SNAPPER, GREY (MANGROVE)",252794,6192,1.56,394936
1997,NASSAU,"SNAPPER, GREY (MANGROVE)",18,1,1.8,32
1997,OKALOOSA,"SNAPPER, GREY (MANGROVE)",3247,108,1.84,5977
1997,PALM BEACH,"SNAPPER, GREY (MANGROVE)",12605,676,2.13,26882
1997,PASCO,"SNAPPER, GREY (MANGROVE)",10911,124,1.85,20233
1997,PINELLAS,"SNAPPER, GREY (MANGROVE)",49225,1191,1.81,89256
1997,SANTA ROSA,"SNAPPER, GREY (MANGROVE)",50,6,1.72,86
1997,SARASOTA,"SNAPPER, GREY (MANGROVE)",4954,106,2.61,12951
1997,ST JOHNS,"SNAPPER, GREY (MANGROVE)",4160,82,1.99,8289
1997,ST LUCIE,"SNAPPER, GREY (MANGROVE)",2852,246,1.9,5410
1997,TAYLOR,"SNAPPER, GREY (MANGROVE)",3291,99,1.61,5303
1997,VOLUSIA,"SNAPPER, GREY (MANGROVE)",16270,429,1.96,31923
1997,WAKULLA,"SNAPPER, GREY (MANGROVE)",630,15,2.15,1357
1998,BAY,"SNAPPER, GREY (MANGROVE)",15308,354,1.48,22693
1998,BREVARD,"SNAPPER, GREY (MANGROVE)",12103,448,1.99,24057
1998,BROWARD,"SNAPPER, GREY (MANGROVE)",3258,172,2.06,6711
1998,CHARLOTTE,"SNAPPER, GREY (MANGROVE)",2111,192,1.34,2830
1998,CITRUS,"SNAPPER, GREY (MANGROVE)",4028,122,1.85,7441
1998,COLLIER,"SNAPPER, GREY (MANGROVE)",2362,116,1.8,4251
1998,DUVAL,"SNAPPER, GREY (MANGROVE)",6757,190,1.7,11474
1998,ESCAMBIA,"SNAPPER, GREY (MANGROVE)",487,34,1.58,769
1998,FRANKLIN,"SNAPPER, GREY (MANGROVE)",4976,209,1.73,8584
1998,HERNANDO,"SNAPPER, GREY (MANGROVE)",285,26,1.5,429
1998,HILLSBOROUGH,"SNAPPER, GREY (MANGROVE)",1538,51,2.04,3132
1998,INDIAN RIVER,"SNAPPER, GREY (MANGROVE)",6390,256,1.98,12672
1998,LEE,"SNAPPER, GREY (MANGROVE)",6639,732,1.93,12820
1998,LEVY,"SNAPPER, GREY (MANGROVE)",2974,61,1.8,5358
1998,MANATEE,"SNAPPER, GREY (MANGROVE)",1924,66,1.83,3530
1998,MARTIN,"SNAPPER, GREY (MANGROVE)",1897,90,2.11,4005
1998,MIAMI-DADE,"SNAPPER, GREY (MANGROVE)",10897,143,1.98,21554
1998,MONROE,"SNAPPER, GREY (MANGROVE)",183025,4756,1.57,288109
1998,OKALOOSA,"SNAPPER, GREY (MANGROVE)",3559,123,1.82,6467
1998,PALM BEACH,"SNAPPER, GREY (MANGROVE)",8389,380,2.17,18182
1998,PASCO,"SNAPPER, GREY (MANGROVE)",9639,115,1.87,17991
1998,PINELLAS,"SNAPPER, GREY (MANGROVE)",40673,1138,1.85,75079
1998,SANTA ROSA,"SNAPPER, GREY (MANGROVE)",23,3,1.8,42
1998,SARASOTA,"SNAPPER, GREY (MANGROVE)",4350,80,2.68,11653
1998,ST JOHNS,"SNAPPER, GREY (MANGROVE)",5950,89,1.99,11852
1998,ST LUCIE,"SNAPPER, GREY (MANGROVE)",2700,183,1.98,5356
1998,TAYLOR,"SNAPPER, GREY (MANGROVE)",2333,102,1.54,3598
1998,VOLUSIA,"SNAPPER, GREY (MANGROVE)",18843,444,2.02,38069
1998,WAKULLA,"SNAPPER, GREY (MANGROVE)",786,12,2.68,2108
1999,BAY,"SNAPPER, GREY (MANGROVE)",12340,351,1.58,19498
1999,BREVARD,"SNAPPER, GREY (MANGROVE)",10113,354,2.05,20772
1999,BROWARD,"SNAPPER, GREY (MANGROVE)",3989,164,1.92,7665
1999,CHARLOTTE,"SNAPPER, GREY (MANGROVE)",643,220,1.17,752
1999,CITRUS,"SNAPPER, GREY (MANGROVE)",3810,173,1.82,6925
