Florida Fish And Wildlife Conservation Commission,,,,,,
Commercial Landings Summary,,,,,,
Years: 1997 - 2017,,,,,,
"Species: SNAPPER, LANE",,,,,,
Subject to Revision,,,,,,
Years before 2020 are final,,,,,,
"Report created: January 28, 2021",,,,,,
,,,,,,
,,,,,,
Year,County Landed,Species,Pounds,Trips,Average Price,Estimated Value
1997,BAY,"SNAPPER, LANE",521,14,1.68,876
1997,BREVARD,"SNAPPER, LANE",619,47,2.1,1300
1997,BROWARD,"SNAPPER, LANE",2157,71,1.83,3952
1997,CHARLOTTE,"SNAPPER, LANE",270,24,1.22,329
1997,CITRUS,"SNAPPER, LANE",539,62,1.54,831
1997,COLLIER,"SNAPPER, LANE",34076,232,0.96,32682
1997,DUVAL,"SNAPPER, LANE",32,1,1.49,48
1997,ESCAMBIA,"SNAPPER, LANE",63,2,1.07,67
1997,FRANKLIN,"SNAPPER, LANE",471,46,1.42,670
1997,HILLSBOROUGH,"SNAPPER, LANE",3,1,1.8,6
1997,INDIAN RIVER,"SNAPPER, LANE",128,33,1.9,242
1997,LEE,"SNAPPER, LANE",5427,278,1.3,7078
1997,LEVY,"SNAPPER, LANE",16,2,1.32,21
1997,MANATEE,"SNAPPER, LANE",39,8,1.8,70
1997,MARTIN,"SNAPPER, LANE",778,95,0.88,687
1997,MIAMI-DADE,"SNAPPER, LANE",1701,43,1.71,2911
1997,MONROE,"SNAPPER, LANE",39260,1128,1.28,50288
1997,NASSAU,"SNAPPER, LANE",62,1,1.62,101
1997,OKALOOSA,"SNAPPER, LANE",1965,90,2.19,4297
1997,PALM BEACH,"SNAPPER, LANE",1142,87,2.34,2677
1997,PASCO,"SNAPPER, LANE",242,3,1.24,299
1997,PINELLAS,"SNAPPER, LANE",2885,101,1.65,4774
1997,SANTA ROSA,"SNAPPER, LANE",144,22,1.87,270
1997,SARASOTA,"SNAPPER, LANE",80,4,2.51,201
1997,ST LUCIE,"SNAPPER, LANE",888,175,1.49,1323
1997,TAYLOR,"SNAPPER, LANE",2744,69,1.29,3553
1997,VOLUSIA,"SNAPPER, LANE",263,22,2.02,532
1997,WAKULLA,"SNAPPER, LANE",904,16,1.65,1495
1998,BAY,"SNAPPER, LANE",30,9,1.96,59
1998,BREVARD,"SNAPPER, LANE",254,27,2.1,534
1998,BROWARD,"SNAPPER, LANE",988,56,1.68,1657
1998,CHARLOTTE,"SNAPPER, LANE",200,7,0.95,190
1998,CITRUS,"SNAPPER, LANE",148,30,1.46,216
1998,COLLIER,"SNAPPER, LANE",13903,135,0.96,13332
1998,DUVAL,"SNAPPER, LANE",52,3,0.74,39
1998,ESCAMBIA,"SNAPPER, LANE",917,10,1.5,1371
1998,FRANKLIN,"SNAPPER, LANE",163,16,1.58,257
1998,GULF,"SNAPPER, LANE",170,3,1.34,228
1998,HERNANDO,"SNAPPER, LANE",1,1,0.9,1
1998,HILLSBOROUGH,"SNAPPER, LANE",26,3,1.08,28
1998,INDIAN RIVER,"SNAPPER, LANE",129,27,1.86,239
1998,Inland/Out-of-State,"SNAPPER, LANE",3,1,1.8,6
1998,LEE,"SNAPPER, LANE",3116,221,1.42,4412
1998,LEVY,"SNAPPER, LANE",2,1,1.8,4
1998,MANATEE,"SNAPPER, LANE",59,7,1.73,102
1998,MARTIN,"SNAPPER, LANE",165,16,0.96,159
1998,MIAMI-DADE,"SNAPPER, LANE",4412,19,1.89,8353
1998,MONROE,"SNAPPER, LANE",19609,873,1.36,26660
1998,OKALOOSA,"SNAPPER, LANE",163,40,2.09,340
1998,PALM BEACH,"SNAPPER, LANE",1624,101,1.95,3162
