Florida Fish And Wildlife Conservation Commission,,,,,,
Commercial Landings Summary,,,,,,
Years: 1997 - 2017,,,,,,
"Species: SHRIMP, PINK",,,,,,
Subject to Revision,,,,,,
Years before 2020 are final,,,,,,
"Report created: January 28, 2021",,,,,,
,,,,,,
,,,,,,
Year,County Landed,Species,Pounds,Trips,Average Price,Estimated Value
1997,BAY,"SHRIMP, PINK",22087,142,3.26,72003
1997,BREVARD,"SHRIMP, PINK",215169,119,2.73,586605
1997,BROWARD,"SHRIMP, PINK",20152,59,1.18,23785
1997,CHARLOTTE,"SHRIMP, PINK",38696,67,2.98,115239
1997,CITRUS,"SHRIMP, PINK",689300,2275,1.42,980278
1997,COLLIER,"SHRIMP, PINK",1669,7,3.96,6609
1997,ESCAMBIA,"SHRIMP, PINK",51838,4,2.21,114415
1997,FRANKLIN,"SHRIMP, PINK",355333,203,2.85,1013826
1997,GULF,"SHRIMP, PINK",39909,18,2.64,105482
1997,HERNANDO,"SHRIMP, PINK",2123,12,0.91,1934
1997,HILLSBOROUGH,"SHRIMP, PINK",1590170,426,3.05,4848008
1997,Inland/Out-of-State,"SHRIMP, PINK",275,1,4.55,1251
1997,LEE,"SHRIMP, PINK",4033595,1515,3.09,12458937
1997,LEVY,"SHRIMP, PINK",996559,790,1.49,1489599
1997,MANATEE,"SHRIMP, PINK",30946,22,3.82,118250
1997,MIAMI-DADE,"SHRIMP, PINK",533495,1077,0.97,518845
1997,MONROE,"SHRIMP, PINK",3023072,937,2.49,7538507
1997,NASSAU,"SHRIMP, PINK",24182,5,2.07,50125
1997,OKALOOSA,"SHRIMP, PINK",54,2,1.25,68
1997,PALM BEACH,"SHRIMP, PINK",73,2,2.37,173
1997,PASCO,"SHRIMP, PINK",680990,790,1.47,1004326
1997,PINELLAS,"SHRIMP, PINK",1889612,535,2.75,5202386
1997,ST LUCIE,"SHRIMP, PINK",14142,1,2.5,35355
1997,TAYLOR,"SHRIMP, PINK",8128,10,1.88,15254
1997,VOLUSIA,"SHRIMP, PINK",1334,2,2.34,3127
1997,WAKULLA,"SHRIMP, PINK",10542,17,2.08,21905
1998,BAY,"SHRIMP, PINK",22727,140,2.57,58295
1998,BREVARD,"SHRIMP, PINK",221404,302,3.17,701242
1998,BROWARD,"SHRIMP, PINK",20493,84,1.8,36901
1998,CHARLOTTE,"SHRIMP, PINK",61607,89,2.76,169982
1998,CITRUS,"SHRIMP, PINK",582556,1783,1.26,731559
