Florida Fish And Wildlife Conservation Commission,,,,,,
Commercial Landings Summary,,,,,,
Years: 1997 - 2017,,,,,,
"Species: SEA BASS, MIXED",,,,,,
Subject to Revision,,,,,,
Years before 2020 are final,,,,,,
"Report created: January 28, 2021",,,,,,
,,,,,,
,,,,,,
Year,County Landed,Species,Pounds,Trips,Average Price,Estimated Value
1997,BAY,"SEA BASS, MIXED",24,6,1.11,26
1997,BREVARD,"SEA BASS, MIXED",804,45,1.1,886
1997,CHARLOTTE,"SEA BASS, MIXED",4,3,0.52,2
1997,CITRUS,"SEA BASS, MIXED",5395,306,0.6,3251
1997,COLLIER,"SEA BASS, MIXED",5,1,1.86,9
1997,DIXIE,"SEA BASS, MIXED",7342,106,0.95,6948
1997,DUVAL,"SEA BASS, MIXED",1729,80,0.8,1384
1997,ESCAMBIA,"SEA BASS, MIXED",20,1,1.14,23
1997,FRANKLIN,"SEA BASS, MIXED",13958,53,0.69,9610
1997,HERNANDO,"SEA BASS, MIXED",2836,19,0.58,1633
1997,HILLSBOROUGH,"SEA BASS, MIXED",144,11,0.8,116
1997,INDIAN RIVER,"SEA BASS, MIXED",12,7,0.78,9
1997,Inland/Out-of-State,"SEA BASS, MIXED",549,5,1.41,771
1997,LEVY,"SEA BASS, MIXED",3443,42,0.78,2693
1997,MANATEE,"SEA BASS, MIXED",119,5,0.99,118
1997,MARTIN,"SEA BASS, MIXED",1573,54,1.05,1655
1997,MONROE,"SEA BASS, MIXED",33,3,0.37,12
1997,NASSAU,"SEA BASS, MIXED",2267,65,0.63,1432
1997,OKALOOSA,"SEA BASS, MIXED",4,2,1.48,5
1997,PALM BEACH,"SEA BASS, MIXED",372,20,1.55,576
1997,PASCO,"SEA BASS, MIXED",476,30,0.64,303
1997,PINELLAS,"SEA BASS, MIXED",13493,640,0.56,7534
1997,SARASOTA,"SEA BASS, MIXED",6,1,2.12,13
1997,ST JOHNS,"SEA BASS, MIXED",79,13,0.81,64
1997,ST LUCIE,"SEA BASS, MIXED",153,14,0.65,99
1997,TAYLOR,"SEA BASS, MIXED",59561,254,0.37,22044
1997,VOLUSIA,"SEA BASS, MIXED",4106,51,1.63,6687
1997,WAKULLA,"SEA BASS, MIXED",49449,179,0.93,45974
1998,BAY,"SEA BASS, MIXED",44,5,0.74,32
1998,BREVARD,"SEA BASS, MIXED",805,51,0.92,741
1998,CITRUS,"SEA BASS, MIXED",14240,253,0.56,7906
1998,COLLIER,"SEA BASS, MIXED",151,1,0.21,32
1998,DIXIE,"SEA BASS, MIXED",8412,98,0.52,4378
1998,DUVAL,"SEA BASS, MIXED",3688,110,0.94,3473
1998,ESCAMBIA,"SEA BASS, MIXED",59,2,0.67,40
1998,FRANKLIN,"SEA BASS, MIXED",3994,41,1.44,5744
1998,HERNANDO,"SEA BASS, MIXED",975,9,0.57,551
1998,HILLSBOROUGH,"SEA BASS, MIXED",367,16,0.59,218
1998,INDIAN RIVER,"SEA BASS, MIXED",198,24,0.76,151
1998,LEE,"SEA BASS, MIXED",1,1,0.42,1
1998,LEVY,"SEA BASS, MIXED",2942,33,0.72,2115
1998,MARTIN,"SEA BASS, MIXED",550,45,0.99,545
1998,MONROE,"SEA BASS, MIXED",11,1,0.25,3
1998,NASSAU,"SEA BASS, MIXED",2765,77,0.66,1826
1998,OKALOOSA,"SEA BASS, MIXED",80,5,1.65,132
1998,PALM BEACH,"SEA BASS, MIXED",228,6,1.54,352
1998,PASCO,"SEA BASS, MIXED",1479,68,0.62,918
1998,PINELLAS,"SEA BASS, MIXED",12680,828,0.56,7071
1998,SARASOTA,"SEA BASS, MIXED",12,1,0.21,3
1998,ST JOHNS,"SEA BASS, MIXED",116,23,0.82,95
1998,ST LUCIE,"SEA BASS, MIXED",253,17,0.75,190
1998,TAYLOR,"SEA BASS, MIXED",57649,328,0.42,24488
1998,VOLUSIA,"SEA BASS, MIXED",8917,132,1.08,9671
1998,WAKULLA,"SEA BASS, MIXED",19032,202,0.99,18801
1999,BAY,"SEA BASS, MIXED",22,7,0.85,19
1999,BREVARD,"SEA BASS, MIXED",309,33,1.14,352
1999,CHARLOTTE,"SEA BASS, MIXED",19,2,0.85,16
1999,CITRUS,"SEA BASS, MIXED",7210,332,0.69,4978
1999,COLLIER,"SEA BASS, MIXED",21,1,2.97,63
1999,DIXIE,"SEA BASS, MIXED",19066,260,0.57,10900
1999,DUVAL,"SEA BASS, MIXED",2565,94,1.01,2594
1999,ESCAMBIA,"SEA BASS, MIXED",103,2,0.82,84
1999,FRANKLIN,"SEA BASS, MIXED",402,20,1.11,445
1999,GULF,"SEA BASS, MIXED",31,1,0.75,23
1999,HERNANDO,"SEA BASS, MIXED",38,4,1.07,41
1999,HILLSBOROUGH,"SEA BASS, MIXED",194,10,0.63,123
1999,INDIAN RIVER,"SEA BASS, MIXED",210,26,0.86,181
1999,LEE,"SEA BASS, MIXED",99,4,1.06,105
1999,LEVY,"SEA BASS, MIXED",8370,55,0.87,7296
1999,MARTIN,"SEA BASS, MIXED",384,46,1.23,472
1999,MONROE,"SEA BASS, MIXED",86,2,0.66,57
1999,NASSAU,"SEA BASS, MIXED",1494,29,0.72,1082
1999,OKALOOSA,"SEA BASS, MIXED",37,4,0.55,20
1999,PALM BEACH,"SEA BASS, MIXED",123,12,1.12,137
1999,PASCO,"SEA BASS, MIXED",977,37,0.54,532
1999,PINELLAS,"SEA BASS, MIXED",15595,1250,0.52,8036
1999,ST JOHNS,"SEA BASS, MIXED",170,19,0.88,150
1999,ST LUCIE,"SEA BASS, MIXED",899,36,0.72,647
1999,TAYLOR,"SEA BASS, MIXED",75739,532,0.55,41617
1999,VOLUSIA,"SEA BASS, MIXED",3056,96,1.16,3540
1999,WAKULLA,"SEA BASS, MIXED",12319,191,0.76,9384
2000,BAY,"SEA BASS, MIXED",4,2,0.88,3
2000,BREVARD,"SEA BASS, MIXED",92,12,1.19,109
2000,CHARLOTTE,"SEA BASS, MIXED",2,2,1.1,3
2000,CITRUS,"SEA BASS, MIXED",12288,271,0.75,9220
2000,DIXIE,"SEA BASS, MIXED",61417,458,0.6,36747
2000,DUVAL,"SEA BASS, MIXED",883,63,0.92,808
2000,FRANKLIN,"SEA BASS, MIXED",375,16,1.04,391
2000,GULF,"SEA BASS, MIXED",301,5,0,0
2000,HILLSBOROUGH,"SEA BASS, MIXED",15,2,0.79,12
2000,INDIAN RIVER,"SEA BASS, MIXED",35,7,1.23,44
2000,LEE,"SEA BASS, MIXED",65,2,1.87,122
2000,LEVY,"SEA BASS, MIXED",10678,80,0.7,7520
2000,MARTIN,"SEA BASS, MIXED",176,24,1.28,224
2000,NASSAU,"SEA BASS, MIXED",648,18,0.67,433
2000,OKALOOSA,"SEA BASS, MIXED",20,1,1.06,21
2000,PALM BEACH,"SEA BASS, MIXED",83,9,1.26,104
2000,PASCO,"SEA BASS, MIXED",819,30,0.72,593
2000,PINELLAS,"SEA BASS, MIXED",6031,687,0.52,3154
2000,ST JOHNS,"SEA BASS, MIXED",88,12,1.04,92
2000,ST LUCIE,"SEA BASS, MIXED",104,14,0.7,73
2000,TAYLOR,"SEA BASS, MIXED",119375,634,0.67,80073
2000,VOLUSIA,"SEA BASS, MIXED",889,61,1.32,1178
2000,WAKULLA,"SEA BASS, MIXED",32462,88,0.79,25738
2001,BAY,"SEA BASS, MIXED",35,7,0.95,34
2001,BREVARD,"SEA BASS, MIXED",94,16,1.65,156
2001,CHARLOTTE,"SEA BASS, MIXED",86,1,0.21,18
2001,CITRUS,"SEA BASS, MIXED",3958,126,0.6,2395
2001,DIXIE,"SEA BASS, MIXED",51892,384,0.59,30471
2001,DUVAL,"SEA BASS, MIXED",1039,75,0.77,799
2001,FRANKLIN,"SEA BASS, MIXED",2489,31,1.52,3781
2001,GULF,"SEA BASS, MIXED",531,5,0,0
2001,HERNANDO,"SEA BASS, MIXED",7,1,0.59,4
2001,HILLSBOROUGH,"SEA BASS, MIXED",2,1,0.72,2
2001,INDIAN RIVER,"SEA BASS, MIXED",6,2,0.89,5
2001,LEE,"SEA BASS, MIXED",27,3,0.64,17
2001,LEVY,"SEA BASS, MIXED",5860,26,0.76,4462
2001,MARTIN,"SEA BASS, MIXED",53,10,1.44,76
2001,NASSAU,"SEA BASS, MIXED",480,13,0.64,306
2001,OKALOOSA,"SEA BASS, MIXED",11,1,0.42,5
2001,PALM BEACH,"SEA BASS, MIXED",5,2,1.17,6
2001,PASCO,"SEA BASS, MIXED",2978,38,1.06,3153
2001,PINELLAS,"SEA BASS, MIXED",9154,635,0.57,5235
2001,ST JOHNS,"SEA BASS, MIXED",255,13,0.98,251
2001,ST LUCIE,"SEA BASS, MIXED",22,4,0.98,22
2001,TAYLOR,"SEA BASS, MIXED",148098,603,0.59,87565
2001,VOLUSIA,"SEA BASS, MIXED",2603,48,1.13,2932
2001,WAKULLA,"SEA BASS, MIXED",77623,176,0.57,44532
2002,BAY,"SEA BASS, MIXED",5,1,0.85,4
2002,BREVARD,"SEA BASS, MIXED",906,29,1,909
2002,CITRUS,"SEA BASS, MIXED",7555,99,0.9,6795
2002,DIXIE,"SEA BASS, MIXED",105634,348,0.54,56779
2002,DUVAL,"SEA BASS, MIXED",2938,59,1.03,3040
2002,FRANKLIN,"SEA BASS, MIXED",750,17,1.2,899
2002,GULF,"SEA BASS, MIXED",118,1,1.64,194
2002,HERNANDO,"SEA BASS, MIXED",733,1,1.69,1242
2002,HILLSBOROUGH,"SEA BASS, MIXED",283,7,0.75,213
2002,INDIAN RIVER,"SEA BASS, MIXED",113,10,1.69,192
2002,LEVY,"SEA BASS, MIXED",788,15,1.33,1050
2002,MANATEE,"SEA BASS, MIXED",6,1,0.85,5
2002,MARTIN,"SEA BASS, MIXED",208,9,1.74,361
2002,MIAMI-DADE,"SEA BASS, MIXED",59,1,0.51,30
2002,NASSAU,"SEA BASS, MIXED",492,11,0.66,323
2002,OKALOOSA,"SEA BASS, MIXED",5,1,1.27,6
2002,PALM BEACH,"SEA BASS, MIXED",456,14,2.09,954
2002,PASCO,"SEA BASS, MIXED",420,22,0.92,387
2002,PINELLAS,"SEA BASS, MIXED",3656,356,0.55,1999
2002,ST JOHNS,"SEA BASS, MIXED",346,17,1.15,396
2002,ST LUCIE,"SEA BASS, MIXED",9,3,0.85,8
2002,TAYLOR,"SEA BASS, MIXED",91692,642,0.64,58599
2002,VOLUSIA,"SEA BASS, MIXED",2231,40,1.44,3224
2002,WAKULLA,"SEA BASS, MIXED",74712,205,0.73,54236
2003,BAY,"SEA BASS, MIXED",5,1,0.85,4
2003,BREVARD,"SEA BASS, MIXED",106,21,1.27,135
2003,CHARLOTTE,"SEA BASS, MIXED",45,2,0.83,37
2003,CITRUS,"SEA BASS, MIXED",6676,118,0.65,4351
2003,DIXIE,"SEA BASS, MIXED",71550,381,0.67,47667
2003,DUVAL,"SEA BASS, MIXED",2378,67,1.18,2805
2003,ESCAMBIA,"SEA BASS, MIXED",26,1,1.27,33
2003,FRANKLIN,"SEA BASS, MIXED",316,15,0.96,303
2003,GULF,"SEA BASS, MIXED",109,3,1.14,124
2003,INDIAN RIVER,"SEA BASS, MIXED",61,4,1.45,89
2003,LEVY,"SEA BASS, MIXED",354,7,0.66,233
2003,MANATEE,"SEA BASS, MIXED",17,2,0.96,16
2003,MARTIN,"SEA BASS, MIXED",59,6,0.77,45
2003,MONROE,"SEA BASS, MIXED",2,1,1.53,4
2003,NASSAU,"SEA BASS, MIXED",787,12,0.76,601
2003,PALM BEACH,"SEA BASS, MIXED",487,11,1.96,953
2003,PASCO,"SEA BASS, MIXED",675,17,1.06,718
2003,PINELLAS,"SEA BASS, MIXED",4492,293,0.57,2547
2003,ST JOHNS,"SEA BASS, MIXED",330,30,0.93,307
2003,TAYLOR,"SEA BASS, MIXED",61136,493,0.64,39203
2003,VOLUSIA,"SEA BASS, MIXED",1856,38,1.79,3327
2003,WAKULLA,"SEA BASS, MIXED",96966,223,0.9,87110
2004,BAY,"SEA BASS, MIXED",1,1,1.69,2
2004,BREVARD,"SEA BASS, MIXED",809,52,1.3,1051
2004,CHARLOTTE,"SEA BASS, MIXED",126,4,1.69,213
2004,CITRUS,"SEA BASS, MIXED",2883,132,0.73,2110
2004,DIXIE,"SEA BASS, MIXED",38934,282,0.65,25249
2004,DUVAL,"SEA BASS, MIXED",2133,106,0.9,1926
2004,FRANKLIN,"SEA BASS, MIXED",468,28,0.81,379
2004,HERNANDO,"SEA BASS, MIXED",739,3,0.91,671
2004,INDIAN RIVER,"SEA BASS, MIXED",183,9,1.4,256
2004,LEE,"SEA BASS, MIXED",1,1,0.64,1
2004,LEVY,"SEA BASS, MIXED",12,1,0.68,8
2004,MARTIN,"SEA BASS, MIXED",123,18,1.38,170
2004,MONROE,"SEA BASS, MIXED",33,2,0.56,19
2004,NASSAU,"SEA BASS, MIXED",135,5,0.65,87
2004,OKALOOSA,"SEA BASS, MIXED",313,1,1.06,331
2004,PALM BEACH,"SEA BASS, MIXED",131,19,1.93,253
2004,PASCO,"SEA BASS, MIXED",196,4,0.85,166
2004,PINELLAS,"SEA BASS, MIXED",4082,244,0.58,2359
2004,SARASOTA,"SEA BASS, MIXED",106,9,1.21,129
2004,ST JOHNS,"SEA BASS, MIXED",847,51,1.17,989
2004,ST LUCIE,"SEA BASS, MIXED",9,2,1.02,10
2004,TAYLOR,"SEA BASS, MIXED",52135,313,0.61,32023
2004,VOLUSIA,"SEA BASS, MIXED",4373,74,1.67,7293
2004,WAKULLA,"SEA BASS, MIXED",5610,56,0.8,4466
2004,WALTON,"SEA BASS, MIXED",20,1,0.85,17
2005,BAY,"SEA BASS, MIXED",9,4,1.69,16
2005,BREVARD,"SEA BASS, MIXED",1437,81,1.41,2020
2005,CHARLOTTE,"SEA BASS, MIXED",6,1,0.59,4
2005,CITRUS,"SEA BASS, MIXED",2761,119,0.76,2101
2005,DIXIE,"SEA BASS, MIXED",17193,256,0.64,11012
2005,DUVAL,"SEA BASS, MIXED",1347,67,1,1352
2005,FRANKLIN,"SEA BASS, MIXED",573,13,1.57,902
2005,GULF,"SEA BASS, MIXED",30,1,0.51,15
2005,HILLSBOROUGH,"SEA BASS, MIXED",127,5,0.84,107
2005,INDIAN RIVER,"SEA BASS, MIXED",465,45,1.66,772
2005,LEE,"SEA BASS, MIXED",8,2,0.64,5
2005,LEVY,"SEA BASS, MIXED",425,2,0.72,306
2005,MANATEE,"SEA BASS, MIXED",19,1,0.72,14
2005,MARTIN,"SEA BASS, MIXED",301,15,1.32,399
2005,MIAMI-DADE,"SEA BASS, MIXED",340,1,2.12,720
2005,NASSAU,"SEA BASS, MIXED",8,1,0.64,5
2005,OKALOOSA,"SEA BASS, MIXED",4,1,1.06,4
2005,PALM BEACH,"SEA BASS, MIXED",99,21,1.45,143
2005,PASCO,"SEA BASS, MIXED",169,3,0.46,77
2005,PINELLAS,"SEA BASS, MIXED",4377,195,0.65,2846
2005,SARASOTA,"SEA BASS, MIXED",16,1,0.85,14
2005,ST JOHNS,"SEA BASS, MIXED",248,14,1.35,335
2005,ST LUCIE,"SEA BASS, MIXED",191,11,1.18,225
2005,TAYLOR,"SEA BASS, MIXED",3063,27,0.78,2390
2005,VOLUSIA,"SEA BASS, MIXED",3171,56,1.95,6199
2005,WAKULLA,"SEA BASS, MIXED",24842,105,0.83,20711
2006,BREVARD,"SEA BASS, MIXED",909,73,1.55,1407
2006,CITRUS,"SEA BASS, MIXED",463,48,0.82,378
2006,DIXIE,"SEA BASS, MIXED",11414,110,0.79,8981
2006,DUVAL,"SEA BASS, MIXED",1085,51,1.11,1206
2006,FRANKLIN,"SEA BASS, MIXED",6,2,1.53,9
2006,HERNANDO,"SEA BASS, MIXED",19,1,0.68,13
2006,HILLSBOROUGH,"SEA BASS, MIXED",103,1,0.85,87
2006,INDIAN RIVER,"SEA BASS, MIXED",352,28,1.56,549
2006,LEVY,"SEA BASS, MIXED",4,1,0.85,3
2006,MARTIN,"SEA BASS, MIXED",135,6,1.12,151
2006,MONROE,"SEA BASS, MIXED",56,2,1.24,69
2006,NASSAU,"SEA BASS, MIXED",34,3,0.85,29
2006,OKALOOSA,"SEA BASS, MIXED",17,2,2,33
