Florida Fish And Wildlife Conservation Commission,,,,,,
Commercial Landings Summary,,,,,,
Years: 1997 - 2017,,,,,,
"Species: SEATROUT, SPOTTED",,,,,,
Subject to Revision,,,,,,
Years before 2020 are final,,,,,,
"Report created: January 28, 2021",,,,,,
,,,,,,
,,,,,,
Year,Coast,Species,Pounds,Trips,Average Price,Estimated Value
1997,East,"SEATROUT, SPOTTED",57316,1226,1.79,102325
1997,West,"SEATROUT, SPOTTED",32293,1480,1.91,61650
1998,East,"SEATROUT, SPOTTED",41556,1105,1.81,75289
1998,West,"SEATROUT, SPOTTED",40704,1547,1.72,70003
1999,East,"SEATROUT, SPOTTED",61802,1330,1.82,112185
1999,West,"SEATROUT, SPOTTED",21862,1030,1.78,38816
2000,East,"SEATROUT, SPOTTED",45392,1082,1.86,84205
2000,West,"SEATROUT, SPOTTED",20897,1075,1.91,39821
2001,East,"SEATROUT, SPOTTED",30234,802,1.98,59836
2001,West,"SEATROUT, SPOTTED",17819,834,1.87,33251
2002,East,"SEATROUT, SPOTTED",44640,1092,2,89412
2002,West,"SEATROUT, SPOTTED",17712,739,1.89,33484
2003,East,"SEATROUT, SPOTTED",27075,691,1.94,52417
2003,West,"SEATROUT, SPOTTED",26493,745,1.92,50941
2004,East,"SEATROUT, SPOTTED",29605,678,2.02,59925
2004,West,"SEATROUT, SPOTTED",10339,442,1.94,20060
2005,East,"SEATROUT, SPOTTED",36762,761,2.11,77465
2005,West,"SEATROUT, SPOTTED",19831,618,1.94,38552
2006,East,"SEATROUT, SPOTTED",36687,747,2.06,75601
2006,West,"SEATROUT, SPOTTED",6823,328,1.87,12728
2007,East,"SEATROUT, SPOTTED",46838,873,2.22,103901
2007,West,"SEATROUT, SPOTTED",5157,253,1.79,9222
2008,East,"SEATROUT, SPOTTED",20887,527,2.24,46826
2008,West,"SEATROUT, SPOTTED",7269,343,1.97,14328
2009,East,"SEATROUT, SPOTTED",46297,946,2.17,100658
2009,West,"SEATROUT, SPOTTED",16080,728,2.01,32282
2010,East,"SEATROUT, SPOTTED",39374,744,2.19,86186
2010,West,"SEATROUT, SPOTTED",13523,529,1.98,26758
2011,East,"SEATROUT, SPOTTED",63592,1132,2.23,141733
2011,West,"SEATROUT, SPOTTED",12660,408,2.03,25670
2012,East,"SEATROUT, SPOTTED",61676,1442,2.23,137518
2012,West,"SEATROUT, SPOTTED",17598,765,2.08,36569
2013,East,"SEATROUT, SPOTTED",58221,1548,2.29,133069
2013,West,"SEATROUT, SPOTTED",15938,899,2.13,33978
2014,East,"SEATROUT, SPOTTED",37710,1292,2.44,92009
2014,West,"SEATROUT, SPOTTED",11983,874,2.3,27559
2015,East,"SEATROUT, SPOTTED",39231,1280,2.62,102936
2015,West,"SEATROUT, SPOTTED",8455,646,2.28,19236
2016,East,"SEATROUT, SPOTTED",23105,846,2.85,65789
2016,West,"SEATROUT, SPOTTED",9748,651,2.28,22264
2017,East,"SEATROUT, SPOTTED",16194,631,2.96,47922
2017,West,"SEATROUT, SPOTTED",5731,553,2.6,14879
