"","Site","Sediment_Depth_Factor","Quadrat","OLOI","ILOI","OM_g_per_sqm","IOM_accum_per_sqm","Shell_accum_per_sqm","Rhizome_accum_per_sqm","OC_Stock_accum_per_sqm","IOC_Stock_accum_per_sqm","Total_C_accum_g_per_sqm","Region","month","year","Epiphite_Blade_Load","Epiphite_Shoot_Load","Seagrass_Health","SAV_Cover","Thalassia.testudinum","Syringodium.filiforme","Halodule.wrightii","Mean_Seagrass_Canopy_Height_cm","Mean_Macroalgae_Canopy_Height_cm","Thalassia_testudinum_CH","Syringodium_filiforme_CH","Halodule_wrighti_CH","Seagrass_Spp","Algal_Spp","Total_Seagrass_Cover","Total_Algae_Cover","Seagrass_Biomass_g_per_sqm","Macro_Algae_Biomass_g_per_sqm","Thalassia_testudinum_g_per_sqm","Syringodium_filiforme_g_per_sqm","Halodule_wrightii_g_per_sqm","Latitude","Longitude","Depth_m","Secchi_m","Temperature.Mean","Current.Velocity.Max","Salinity.Min","Chlorophyll.Mean","Nitrate.Mean","Phosphate.Mean","Light.bottom.Min","Par.Mean","Dist_To_River","Dist_To_Shore","Percent_Shell","Percent_Gravel","Percent_Coarse","Percent_Medium","Percent_Fine","Percent_Silt","Meadow.Structure","Cover_Level","TH_PA","SY_PA","HA_PA","Factor"
"1","SJB02","shallow",1,2.87566666666667,1.22166666666667,572.234333669417,250.291269746446,356.065068655949,96.7438519373049,198.9493292566,30.0349523695735,228.984281626174,"Saint Joe Bay",7,2019,90,75,50,95,100,0,0,8.33333333333333,0,50,0,0,100,0,95,0,76.6584,0.171200000000006,76.6584,0,0,29.73875,-85.38572,0.6,0.6,23.9193992614746,0.165709316730499,31.3329925537109,0.219292610883713,6.38684225082397,0.00173918646760285,9.30147171020508,39.8956909179688,12.99579995,0.403075814247131,0.87,0.97,16.27,65.64,14.84,0.02,"Fragmented","high",1,0,0,"Seagrass"
"2","SJB02","shallow",1,2.87566666666667,1.22166666666667,572.234333669417,250.291269746446,356.065068655949,96.7438519373049,198.9493292566,30.0349523695735,228.984281626174,"Saint Joe Bay",7,2019,90,75,50,95,100,0,0,8.33333333333333,0,50,0,0,100,0,95,0,76.6584,0.171200000000006,76.6584,0,0,29.73875,-85.38572,0.6,0.6,23.9193992614746,0.165709316730499,31.3329925537109,0.219292610883713,6.38684225082397,0.00173918646760285,9.30147171020508,39.8956909179688,12.99579995,0.403075814247131,0.87,0.97,16.27,65.64,14.84,0.02,"Fragmented","high",1,0,0,"Seagrass"
"3","SJB02","shallow",2,4.99116666666667,1.57166666666667,821.845066128457,269.569733297182,802.542262433077,50.4646850267097,333.043253473527,32.3483679956619,365.391621469189,"Saint Joe Bay",7,2019,90,80,75,100,100,0,0,11.1666666666667,0,67,0,0,100,0,100,0,96.6645333333333,0,96.6645333333333,0,0,29.73875,-85.38572,0.6,0.6,23.9193992614746,0.165709316730499,31.3329925537109,0.219292610883713,6.38684225082397,0.00173918646760285,9.30147171020508,39.8956909179688,12.99579995,0.403075814247131,2.15,1.85,10.05,44.53,40.64,0.13,"Fragmented","high",1,0,0,"Seagrass"
"4","SJB02","shallow",2,4.99116666666667,1.57166666666667,821.845066128457,269.569733297182,802.542262433077,50.4646850267097,333.043253473527,32.3483679956619,365.391621469189,"Saint Joe Bay",7,2019,90,80,75,100,100,0,0,11.1666666666667,0,67,0,0,100,0,100,0,96.6645333333333,0,96.6645333333333,0,0,29.73875,-85.38572,0.6,0.6,23.9193992614746,0.165709316730499,31.3329925537109,0.219292610883713,6.38684225082397,0.00173918646760285,9.30147171020508,39.8956909179688,12.99579995,0.403075814247131,2.15,1.85,10.05,44.53,40.64,0.13,"Fragmented","high",1,0,0,"Seagrass"
"5","SJB02","shallow",3,3.9785,1.03366666666667,831.363378367681,218.840431427689,200.501941503383,0,324.469659487925,26.2608517713227,350.730511259248,"Saint Joe Bay",7,2019,90,75,75,100,100,0,0,14.1666666666667,0,85,0,0,100,0,100,0,67.4576,0,67.4576,0,0,29.73875,-85.38572,0.6,0.6,23.9193992614746,0.165709316730499,31.3329925537109,0.219292610883713,6.38684225082397,0.00173918646760285,9.30147171020508,39.8956909179688,12.99579995,0.403075814247131,3.07,0.69,4.91,48.9,41.16,0.28,"Fragmented","high",1,0,0,"Seagrass"
"6","SJB02","shallow",3,3.9785,1.03366666666667,831.363378367681,218.840431427689,200.501941503383,0,324.469659487925,26.2608517713227,350.730511259248,"Saint Joe Bay",7,2019,90,75,75,100,100,0,0,14.1666666666667,0,85,0,0,100,0,100,0,67.4576,0,67.4576,0,0,29.73875,-85.38572,0.6,0.6,23.9193992614746,0.165709316730499,31.3329925537109,0.219292610883713,6.38684225082397,0.00173918646760285,9.30147171020508,39.8956909179688,12.99579995,0.403075814247131,3.07,0.69,4.91,48.9,41.16,0.28,"Fragmented","high",1,0,0,"Seagrass"
"7","SJB02","deep",1,2.99,0.9785,605.268843764171,206.069461784891,140.983709431797,0,212.744694272132,24.7283354141869,237.473029686319,"Saint Joe Bay",7,2019,90,75,50,95,100,0,0,8.33333333333333,0,50,0,0,100,0,95,0,76.6584,0.171200000000006,76.6584,0,0,29.73875,-85.38572,0.6,0.6,23.9193992614746,0.165709316730499,31.3329925537109,0.219292610883713,6.38684225082397,0.00173918646760285,9.30147171020508,39.8956909179688,12.99579995,0.403075814247131,0.93,0.793333333333333,9.23,65.0666666666667,23.2966666666667,0.07,"Fragmented","high",1,0,0,"Seagrass"
"8","SJB02","deep",1,2.99,0.9785,605.268843764171,206.069461784891,140.983709431797,0,212.744694272132,24.7283354141869,237.473029686319,"Saint Joe Bay",7,2019,90,75,50,95,100,0,0,8.33333333333333,0,50,0,0,100,0,95,0,76.6584,0.171200000000006,76.6584,0,0,29.73875,-85.38572,0.6,0.6,23.9193992614746,0.165709316730499,31.3329925537109,0.219292610883713,6.38684225082397,0.00173918646760285,9.30147171020508,39.8956909179688,12.99579995,0.403075814247131,0.93,0.793333333333333,9.23,65.0666666666667,23.2966666666667,0.07,"Fragmented","high",1,0,0,"Seagrass"
"9","SJB02","deep",2,3.86725,1.0875,734.590375817956,203.87465502581,100.008391607437,0,285.741451731199,24.4649586030972,310.206410334296,"Saint Joe Bay",7,2019,90,80,75,100,100,0,0,11.1666666666667,0,67,0,0,100,0,100,0,96.6645333333333,0,96.6645333333333,0,0,29.73875,-85.38572,0.6,0.6,23.9193992614746,0.165709316730499,31.3329925537109,0.219292610883713,6.38684225082397,0.00173918646760285,9.30147171020508,39.8956909179688,12.99579995,0.403075814247131,0.86,0.703333333333333,7.94666666666667,50.78,38.9933333333333,0.18,"Fragmented","high",1,0,0,"Seagrass"
"10","SJB02","deep",2,3.86725,1.0875,734.590375817956,203.87465502581,100.008391607437,0,285.741451731199,24.4649586030972,310.206410334296,"Saint Joe Bay",7,2019,90,80,75,100,100,0,0,11.1666666666667,0,67,0,0,100,0,100,0,96.6645333333333,0,96.6645333333333,0,0,29.73875,-85.38572,0.6,0.6,23.9193992614746,0.165709316730499,31.3329925537109,0.219292610883713,6.38684225082397,0.00173918646760285,9.30147171020508,39.8956909179688,12.99579995,0.403075814247131,0.86,0.703333333333333,7.94666666666667,50.78,38.9933333333333,0.18,"Fragmented","high",1,0,0,"Seagrass"
