"","Site","Factor","Sediment_Depth_Factor","OLOI","ILOI","Carbon","Rhizome_Stock_g_per_sqm","Shell_Stock_g_per_sqm","Organic_Carbon_Stock_g_per_sqm","Inorganic_Carbon_Stock_g_per_sqm","Total_Carbon_Stock_g_per_sqm","Region","Seagrass_Landscape","month","year","Epiphite_Blade_Load","Epiphite_Shoot_Load","Seagrass_Health","SAV_Cover","Thalassia.testudinum","Syringodium.filiforme","Halodule.wrightii","Mean_Seagrass_Canopy_Height_cm","Mean_Macroalgae_Canopy_Height_cm","Thalassia_testudinum_CH","Syringodium_filiforme_CH","Halodule_wrighti_CH","Seagrass_Spp","Algal_Spp","Total_Seagrass_Cover","Total_Algae_Cover","Seagrass_Biomass_g_per_sqm","Macro_Algae_Biomass_g_per_sqm","Thalassia_testudinum_g_per_sqm","Syringodium_filiforme_g_per_sqm","Halodule_wrightii_g_per_sqm","Latitude","Longitude","Temperature.Mean","Current.Velocity.Mean","Salinity.Min","Chlorophyll.Mean","Nitrate.Mean","Phosphate.Mean","Light.bottom.Min","Par.Mean","Dist_To_River","Dist_To_Shore","Percent_Shell","Percent_Gravel","Percent_Coarse","Percent_Medium","Percent_Fine","Percent_Silt","Cover_Level","TH_PA","SY_PA","HA_PA"
"1","SJB02","Seagrass","shallow",3.7455,1.27485,1.44764745,1542.55049953507,7144.16137383175,3941.57328827676,442.72496312776,4384.29825140452,"Saint Joe Bay","Lightly fragmented",7,2019,90,76.6666666666667,66.6666666666667,98.3333333333333,100,0,0,11.2222222222222,0,67.3333333333333,0,0,100,0,98.3333333333333,0,80.2601777777778,0.0570666666666687,80.2601777777778,0,0,29.73875,-85.38572,23.9193992614746,0.0396229438483715,31.3329925537109,0.219292610883713,6.38684225082397,0.00173918646760285,9.30147171020508,39.8956909179688,12.99579995,0.403075814247131,2.03,1.17,10.41,53.0233333333333,32.2133333333333,0.143333333333333,"high",1,0,0
"2","SJB02","Seagrass","deep",3.6298,1.02706666666667,1.39166022,NA,5606.45628991538,9748.14083821294,877.066608117872,10625.2074463308,"Saint Joe Bay","Lightly fragmented",7,2019,90,76.6666666666667,66.6666666666667,98.3333333333333,100,0,0,11.2222222222222,0,67.3333333333333,0,0,100,0,98.3333333333333,0,80.2601777777778,0.0570666666666687,80.2601777777778,0,0,29.73875,-85.38572,23.9193992614746,0.0396229438483715,31.3329925537109,0.219292610883713,6.38684225082397,0.00173918646760285,9.30147171020508,39.8956909179688,12.99579995,0.403075814247131,0.805,0.64625,7.6225,56.98125,33.255,0.12875,"high",1,0,0
"3","SJB06","Seagrass","shallow",2.0118,0.4824,0.620158533333333,1732.65648567834,52.4957714209736,2380.2347407249,232.127597977231,2612.36233870213,"Saint Joe Bay","highly fragmented",7,2019,10,100,98,80,0,0,100,2.66666666666667,0,0,0,16,100,0,80,0,61.6634666666667,0.0645333333333322,0.792533333333334,0,60.8709333333333,29.79887,-85.30312,23.8968658447266,0.0427116043865681,31.8869075775146,0.224317997694016,6.71570014953613,0.00158714933786541,10.5671377182007,39.7611236572266,4.984082689,0.241701394319534,0,0.23,1.90333333333333,37.44,59.7566666666667,0.0633333333333333,"high",0,0,1
"4","SJB06","Seagrass","deep",1.51391666666667,0.67325,0.394111766666667,NA,5630.77587700459,3567.12260166844,740.163093049266,4307.28569471771,"Saint Joe Bay","highly fragmented",7,2019,10,100,98,80,0,0,100,2.66666666666667,0,0,0,16,100,0,80,0,61.6634666666667,0.0645333333333322,0.792533333333334,0,60.8709333333333,29.79887,-85.30312,23.8968658447266,0.0427116043865681,31.8869075775146,0.224317997694016,6.71570014953613,0.00158714933786541,10.5671377182007,39.7611236572266,4.984082689,0.241701394319534,0.6,0.608333333333333,2.66833333333333,40.8883333333333,54.36,0.01,"high",0,0,1
"5","SJB07","Seagrass","shallow",0.820888888888889,1.69271111111111,0.08622456,1082.65950138287,8451.19424911698,301.716305596672,838.887637413795,1140.60394301047,"Saint Joe Bay","highly fragmented",7,2019,100,93.3333333333333,86.6666666666667,91.6666666666667,64.6666666666667,0,35.3333333333333,5.94444444444444,0,19,0,16.6666666666667,100,0,91.6666666666667,0,122.684533333333,0.219733333333335,78.1848,0,44.4997333333333,29.80502,-85.30295,23.8977069854736,0.0427422784268856,31.8303852081299,0.224184855818748,6.71863746643066,0.0015867369947955,10.5924158096313,39.7610015869141,4.354475612,0.122568935155869,1.79333333333333,1.97,5.44,46.4533333333333,43.5333333333333,0.0166666666666667,"high",1,0,1
"6","SJB07","Seagrass","deep",0.9206,2.11866666666667,0.0969127177777778,3976.77670672841,45475.996957495,844.512469668577,2124.07671960356,2968.58918927213,"Saint Joe Bay","highly fragmented",7,2019,100,93.3333333333333,86.6666666666667,91.6666666666667,64.6666666666667,0,35.3333333333333,5.94444444444444,0,19,0,16.6666666666667,100,0,91.6666666666667,0,122.684533333333,0.219733333333335,78.1848,0,44.4997333333333,29.80502,-85.30295,23.8977069854736,0.0427422784268856,31.8303852081299,0.224184855818748,6.71863746643066,0.0015867369947955,10.5924158096313,39.7610015869141,4.354475612,0.122568935155869,2.10666666666667,1.49,3.32,51.22,41.6533333333333,0.02,"high",1,0,1
"7","SJB10","Seagrass","shallow",1.92658333333333,1.37431666666667,0.567473675,450.839506862783,12726.6475550861,2012.42685406461,603.73314016377,2616.15999422838,"Saint Joe Bay","continuous vegetated",7,2019,46.6666666666667,88.3333333333333,96.3333333333333,98.3333333333333,100,0,0,9.99999999999999,0,60,0,0,100,0,98.3333333333333,0,238.618666666667,0,238.618666666667,0,0,29.72733,-85.32773,23.9981231689453,0.0383405908942223,29.5471477508545,0.205781534314156,6.52248430252075,0.0015901051228866,12.9615535736084,39.9022102355957,12.65004882,2.04923152923584,0.78,1.91,8.90666666666667,51.7733333333333,35.6733333333333,0.133333333333333,"high",1,0,0
"8","SJB10","Seagrass","deep",2.77590833333333,1.84581666666667,0.9784620425,770.044880124855,30660.2646646101,7289.51249136013,1615.45009451597,8904.9625858761,"Saint Joe Bay","continuous vegetated",7,2019,46.6666666666667,88.3333333333333,96.3333333333333,98.3333333333333,100,0,0,9.99999999999999,0,60,0,0,100,0,98.3333333333333,0,238.618666666667,0,238.618666666667,0,0,29.72733,-85.32773,23.9981231689453,0.0383405908942223,29.5471477508545,0.205781534314156,6.52248430252075,0.0015901051228866,12.9615535736084,39.9022102355957,12.65004882,2.04923152923584,1.36333333333333,1.80666666666667,10.9816666666667,43.04,41.4333333333333,0.151666666666667,"high",1,0,0
"9","SJB13","Seagrass","shallow",0.844872222222222,0.56775,0.0810568005555555,1860.36823786179,692.193420862939,302.387324025912,286.971972979347,589.359297005259,"Saint Joe Bay","highly fragmented",7,2019,53.3333333333333,68.3333333333333,100,100,41.6666666666667,3.33333333333333,55,10.5555555555555,0,29,21,13.3333333333333,100,0,100,0,172.940266666667,0.0314666666666668,89.4005333333333,8.6656,73.8224,29.77447,-85.30693,24.0032348632812,0.0378290601074696,29.8331031799316,0.203415438532829,6.48519897460938,0.00154389953240752,14.3492727279663,39.8684959411621,7.51450637,0.335321635007858,0.0166666666666667,0.11,2.64,36.64,60.15,0.0333333333333333,"high",1,1,1
"10","SJB13","Seagrass","deep",0.7431,0.570494444444444,0.0760429133333333,3955.68465571105,4248.20495260152,625.414963869335,594.306896166265,1219.7218600356,"Saint Joe Bay","highly fragmented",7,2019,53.3333333333333,68.3333333333333,100,100,41.6666666666667,3.33333333333333,55,10.5555555555555,0,29,21,13.3333333333333,100,0,100,0,172.940266666667,0.0314666666666668,89.4005333333333,8.6656,73.8224,29.77447,-85.30693,24.0032348632812,0.0378290601074696,29.8331031799316,0.203415438532829,6.48519897460938,0.00154389953240752,14.3492727279663,39.8684959411621,7.51450637,0.335321635007858,0.0983333333333333,0.243333333333333,1.72833333333333,30.155,67.6116666666667,0.025,"high",1,1,1
"11","SJB14","Seagrass","shallow",1.26402777777778,1.37891666666667,0.257129319444444,1404.38934234955,9646.01576838551,1132.66041942389,758.698725810654,1891.35914523454,"Saint Joe Bay","highly fragmented",7,2019,91.3333333333333,99.6666666666667,100,85,100,0,0,6.33333333333333,0,38,0,0,100,0,85,0,129.390666666667,0.0218666666666654,129.390666666667,0,0,29.76002,-85.31073,24.0022487640381,0.037913553416729,29.7945003509521,0.203819185495377,6.49114990234375,0.00155117036774755,14.1268396377563,39.8736038208008,9.052029647,0.322391331195831,0.535,0.855,5.26,61.63,31.07,0.025,"high",1,0,0
"12","SJB14","Seagrass","deep",1.59668888888889,1.10883333333333,0.409314758888889,2685.10443623866,6707.12146811865,3485.0046973367,1174.69757776913,4659.70227510583,"Saint Joe Bay","highly fragmented",7,2019,91.3333333333333,99.6666666666667,100,85,100,0,0,6.33333333333333,0,38,0,0,100,0,85,0,129.390666666667,0.0218666666666654,129.390666666667,0,0,29.76002,-85.31073,24.0022487640381,0.037913553416729,29.7945003509521,0.203819185495377,6.49114990234375,0.00155117036774755,14.1268396377563,39.8736038208008,9.052029647,0.322391331195831,0.555,0.96,3.85833333333333,43.9216666666667,50.5266666666667,0.0166666666666667,"high",1,0,0
"13","SJB16","Seagrass","shallow",1.01263333333333,0.655733333333333,0.14695083,1670.50277510731,8381.74671817465,567.880711295107,319.112341282192,886.993052577299,"Saint Joe Bay","blemished",8,2019,41.6666666666667,100,85,61.6666666666667,100,0,0,7.22222222222222,0,43.3333333333333,0,0,100,0,61.6666666666667,0,141.0064,0,141.0064,0,0,29.821,-85.406,23.861930847168,0.0408816859126091,33.0433578491211,0.229298710823059,6.31046199798584,0.00175884598866105,9.51949501037598,39.787841796875,8.562193407,0.122561194002628,0.235,0.41,5.425,38.33,54.795,0.105,"high",1,0,0
"14","SJB16","Seagrass","deep",1.47033333333333,0.551833333333333,0.3466943,1313.62773880021,9643.79555248895,2832.99917256607,584.077047491906,3417.07622005798,"Saint Joe Bay","blemished",8,2019,41.6666666666667,100,85,61.6666666666667,100,0,0,7.22222222222222,0,43.3333333333333,0,0,100,0,61.6666666666667,0,141.0064,0,141.0064,0,0,29.821,-85.406,23.861930847168,0.0408816859126091,33.0433578491211,0.229298710823059,6.31046199798584,0.00175884598866105,9.51949501037598,39.787841796875,8.562193407,0.122561194002628,0.124,0.53,5.144,40.764,53.204,0.032,"high",1,0,0
"15","SJB17","Seagrass","shallow",3.2805,1.60270833333333,1.22263395,2419.7886365993,5612.8496893953,3118.50567887146,517.415184431397,3635.92086330286,"Saint Joe Bay","continuous vegetated",7,2019,35,60,85,100,99.6666666666667,0,0,6.72222222222222,0.5,40.3333333333333,0,0,99.6666666666667,0.333333333333333,99.6666666666667,0.333333333333333,108.701955555556,4.13173333333333,108.687022222222,0,0.0149333333333317,29.7482,-85.31043,24.0061054229736,0.0378525257110596,29.6298427581787,0.203239679336548,6.49149179458618,0.00155398179776967,14.1360054016113,39.8802070617676,10.360844,0.56425017118454,0.03,0.44,3.16333333333333,21.0966666666667,74.3233333333333,0.173333333333333,"high",1,0,0
"16","SJB17","Seagrass","deep",3.76742222222222,2.2447,1.45825561333333,1307.70716307604,21497.0183968887,8965.70968443468,1690.3736481758,10656.0833326105,"Saint Joe Bay","continuous vegetated",7,2019,35,60,85,100,99.6666666666667,0,0,6.72222222222222,0.5,40.3333333333333,0,0,99.6666666666667,0.333333333333333,99.6666666666667,0.333333333333333,108.701955555556,4.13173333333333,108.687022222222,0,0.0149333333333317,29.7482,-85.31043,24.0061054229736,0.0378525257110596,29.6298427581787,0.203239679336548,6.49149179458618,0.00155398179776967,14.1360054016113,39.8802070617676,10.360844,0.56425017118454,1.30666666666667,1.31666666666667,8.33,27.56,60.42,0.323333333333333,"high",1,0,0
"17","SJB24","Seagrass","shallow",2.05526666666667,0.777733333333333,0.62974354,4149.1394674983,6310.29762121344,2109.05138582654,300.10421450823,2409.15560033477,"Saint Joe Bay","Lightly fragmented",7,2019,63.3333333333333,53.3333333333333,66.6666666666667,76.6666666666667,100,0,0,5,0,30,0,0,100,0,76.6666666666667,0,115,0,115,0,0,29.82092,-85.40592,23.861930847168,0.0408816859126091,33.0433578491211,0.229298710823059,6.31046199798584,0.00175884598866105,9.51949501037598,39.787841796875,8.557037996,0.122561194002628,0.0466666666666667,0.36,2.69333333333333,54.2533333333333,39.5966666666667,0.04,"high",1,0,0
