"","Factor","Site","Quadrat","Compaction_Ratio","original_length","length","length_calculated_from_slice","length_calculated_from_uncompressed_slice","length_calculated_from_uncompressed_slice_mean","diff","diff_uncompressed","diff_uncompressed_mean"
"1","Control","SJBA",1,0.93,36.2,38.92,36,39,38.52,2.92,-0.0799999999999983,0.399999999999999
"2","Control","SJBA",2,0.73,27.6,37.81,26,36,37.44,11.81,1.81,0.370000000000005
"3","Control","SJBA",3,0.85,30.6,36,28,33,34.86,8,3,1.14
"4","Control","SJBB",1,0.85,30.5,35.88,28,33,35.28,7.88,2.88,0.600000000000001
"5","Control","SJBB",2,0.81,32.2,39.75,32,40,39.84,7.75,-0.25,-0.0900000000000034
"6","Control","SJBB",3,0.92,34,36.96,32,35,36.32,4.96,1.96,0.640000000000001
"7","Control","SJBC",1,0.75,29.9,39.87,28,37,41.02,11.87,2.87,-1.15000000000001
"8","Control","SJBC",2,0.82,24.5,29.88,20,24,26.4,9.88,5.88,3.48
"9","Control","SJBC",3,0.94,37.5,39.89,38,40,41.04,1.89,-0.109999999999999,-1.15000000000001
"10","Control","SMARA",1,0.83,28.2,33.98,24,29,29.88,9.98,4.98,4.09999999999999
"11","Control","SMARA",2,0.58,29.2,50.34,26,45,46.67,24.34,5.34,3.67
"12","Control","SMARA",3,0.58,29,50,28,48,49.42,22,2,0.580000000000005
"13","Control","SMARB",1,0.9,45.2,50.22,44,49,49.28,6.22,1.22,0.939999999999998
"14","Control","SMARB",2,0.87,43.5,50,38,44,47.12,12,6,2.88
"15","Control","SMARB",3,0.82,41.2,50.24,38,46,48.45,12.24,4.24,1.79000000000001
"16","Control","SMARC",1,0.85,26.8,31.53,22,26,27.72,9.53,5.53,3.81
"17","Control","SMARC",2,0.97,30.2,31.13,30,31,31.2,1.13,0.129999999999999,-0.0700000000000038
"18","Control","SMARC",3,0.91,30.5,33.52,28,31,32.62,5.52,2.52,0.899999999999999
"19","Control","STCHA",1,1,19,19,18,18,19.35,1,1,-0.349999999999998
"20","Control","STCHA",2,1,13,13,12,12,12,1,1,1
"21","Control","STCHA",3,0.64,10.5,16.41,10,16,16.1,6.41,0.41,0.309999999999999
"22","Control","STCHB",1,0.47,11.5,24.47,10,21,21.05,14.47,3.47,3.42
"23","Control","STCHB",2,0.4,14,35,12,30,33.72,23,5,1.28
"24","Control","STCHB",3,0.88,44,50,44,50,52.58,6,0,-2.58000000000001
"25","Control","STCHC",1,0.83,19.2,23.13,22,27,27.83,1.13,-3.87,-4.7
"26","Control","STCHC",2,0.74,22.9,30.95,18,24,26.19,12.95,6.95,4.76
"27","Control","STCHC",3,0.75,22.5,30,22,29,30.8,8,1,-0.799999999999997
"28","Seagrass","SJB02",1,0.85,42.5,50,42,49,50.82,8,1,-0.82
