"","Site","Quadrat","Compaction_Ratio","Core_Length_Corrected_cm","Bagged_Slice_Number","Slice_Number","Analysis","Rhyzome_Removed","Slice_Height_Corrected_cm","Slice_Area_cm2","Slice_Volume_cm3","Sediment_Depth_cm","Sample_Density_g_per_ml","Sediment_Density_g_per_ml","Frac_Rhizome","Rhizome_Density_g_per_ml","Factor","Percent_Shell","Percent_Gravel","Percent_Coarse","Percent_Medium","Percent_Fine","Percent_Silt"
"1","STCH20",1,0.910447761,27.7686567105,6,9,"grainsize","N",1.820895522,20.2682991638999,36.9064551861017,16.388059698,0.917728343976933,0.917728343976933,0,0,"Seagrass",0,0.21,8.09,24.31,65.34,1.62
"2","STCH20",1,0.910447761,27.7686567105,11,4,"grainsize","Y",1.820895522,20.2682991638999,36.9064551861017,7.283582088,1.04760806219504,1.0443186647336,0.000641431841400804,0.000671969168400092,"Seagrass",0.23,1.95,10.42,20.46,64.52,1.77
"3","SMAR01",10,0.682926829,19.121951212,NA,NA,NA,NA,NA,20.2682991638999,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA
"4","SMAR01",9,0.92,42.32,15,9,"grain size","N",1.84,20.2682991638999,37.2936704615758,16.56,0.951676237836857,0.951676237836857,0,0,"Seagrass",1.45,1.41,22.5,40.54,33.5,0.49
"5","SMAR01",9,0.92,42.32,10,14,"grain size","N",1.84,20.2682991638999,37.2936704615758,25.76,1.25937456460314,1.25937456460314,0,0,"Seagrass",0,0.36,24.14,42.93,31.8,0.62
"6","SMAR01",9,0.92,42.32,20,4,"grain size","Y",1.84,20.2682991638999,37.2936704615758,7.36,0.654253113142594,0.654253113142594,0,0,"Seagrass",1.37,7.06,22.22,33.79,34.74,0.53
"7","SMAR01",9,0.92,42.32,5,19,"grain size","N",1.84,20.2682991638999,37.2936704615758,34.96,1.17981950972977,1.17981950972977,0,0,"Seagrass",0,1.66,36,39.81,21.49,0.41
"8","SMAR01",8,0.72,25.92,10,9,"grainsize ","N",1.44,20.2682991638999,29.1863507960159,12.96,1.42808535028263,1.42782838085016,0.000179939828121476,0.000256969432472654,"Seagrass",0.55,0.18,16.52,33.97,46.96,1.68
"9","SMAR01",8,0.72,25.92,15,4,"grainsize ","Y",1.44,20.2682991638999,29.1863507960159,5.76,1.11535697722251,1.11061503462861,0.00425150215647002,0.00474194259389538,"Seagrass",0,0.48,21.38,36.84,39.7,1.32
"10","SMAR01",8,0.72,25.92,5,14,"grainsize ","N",1.44,20.2682991638999,29.1863507960159,20.16,1.24857678353453,1.24857678353453,0,0,"Seagrass",0,0.05,23.64,34.35,39.89,1.72
"11","STCH06",1,0.876,38.3688,13,9,"grainsize","N",1.752,20.2682991638999,35.5100601351526,15.768,1.29296035617098,1.29296035617098,0,0,"Seagrass",0.18,0.45,33.62,2.79,59.55,2.47
"12","STCH06",1,0.876,38.3688,8,14,"grainsize","N",1.752,20.2682991638999,35.5100601351526,24.528,1.37925702782788,1.37925702782788,0,0,"Seagrass",0,0.36,37.71,2.4,55.27,3.28
"13","STCH06",1,0.876,38.3688,18,4,"grainsize","Y",1.752,20.2682991638999,35.5100601351526,7.008,0.932676539379159,0.9303504379959,0.00249400653393479,0.00232610138325932,"Seagrass",0.42,0.78,23.77,2.59,68.93,2.29
"14","STCH06",1,0.876,38.3688,3,19,"grainsize","N",1.752,20.2682991638999,35.5100601351526,33.288,1.12833376928968,1.12833376928968,0,0,"Seagrass",1.33,1.98,47.35,1.84,40,5.21
"15","STCH06",2,0.91,41.405,13,9,"grainsize","N",1.82,20.2682991638999,36.8883044782978,16.38,1.27159002462681,1.27159002462681,0,0,"Seagrass",6.34,2.57,13.56,37.15,39.32,0.62
"16","STCH06",2,0.91,41.405,8,14,"grainsize","N",1.82,20.2682991638999,36.8883044782978,25.48,1.25850457635732,1.25850457635732,0,0,"Seagrass",0,0.29,10.38,29.8,57.57,1.45
