"","Site","Quadrat","Compaction_Ratio","Core_Length_Corrected_cm","Bagged_Slice_Number","Slice_Number","Analysis","Rhizome_Removed","Slice_Height_cm","Slice_Height_Corrected_cm","Slice_Volume","Sample_Density_g_per_ml","Sediment_Density_g_per_ml","Rhizome_Density_g_per_ml","Factor","Percent_Shell","Percent_Gravel","Percent_Coarse","Percent_Medium","Percent_Fine","Percent_Silt","Percent_Sands"
"1","STCH20",1,0.910447761,33.5000000071393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"2","SMAR01",10,0.682926829,41.0000000161071,6,9,"grainsize ","N",2,2.92857142972194,59.3571618604543,0.744823347584187,0.741369678413111,0.00345366917107568,"Seagrass",0,0.24,16.77,35.7,45.24,1.98,97.71
"3","SMAR01",10,0.682926829,41.0000000161071,11,4,"grainsize ","Y",2,2.92857142972194,59.3571618604543,0.568089830158566,NA,0.00518555790661997,"Seagrass",0.08,0.41,13.66,32.25,50.62,2.18,96.53
"4","SMAR01",9,0.92,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"5","SMAR01",8,0.72,50,5,14,"grainsize ","N",2,2.77777777777778,56.3008310108331,0.647262204584301,0.647262204584301,0,"Seagrass",0,0.05,23.64,34.35,39.89,1.72,97.88
"6","SMAR01",8,0.72,50,10,9,"grainsize ","N",2,2.77777777777778,56.3008310108331,0.740319445586515,0.740186232632721,0.000133212953793824,"Seagrass",0.55,0.18,16.52,33.97,46.96,1.68,97.45
"7","SMAR01",8,0.72,50,15,4,"grainsize ","Y",2,2.77777777777778,56.3008310108331,0.578201056992148,0.575742833951473,0.00245822304067537,"Seagrass",0,0.48,21.38,36.84,39.7,1.32,97.92
"8","STCH06",1,0.876,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"9","STCH06",2,0.91,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"10","STCH06",3,0.555,40,3,9,"grainsize ","N",2,3.6036036036036,73.0389159059456,0.548425445574546,0.548425445574546,0,"Seagrass",0.4,0.94,10.27,28.48,58.1,1.18,96.85
"11","STCH06",3,0.555,40,8,5,"grainsize ","N",2,3.6036036036036,73.0389159059456,0.40730067842612,0.406788622633176,0.000429907804771291,"Seagrass",0,1.11,9.32,22.74,64.3,1.87,96.36
"12","SMAR12",3,0.878,50,2,19,"grainsize ","N",2,2.27790432801822,46.1692463870157,1.05127555241296,1.05127555241296,0,"Seagrass",0,0.07,28.77,45.1,25.19,0.93,99.06
"13","SMAR12",3,0.878,50,7,14,"grainsize ","N",2,2.27790432801822,46.1692463870157,1.09106610876297,1.09096864128511,9.74674778591479e-05,"Seagrass",0,0,29.81,46.23,23.52,0.74,99.56
"14","SMAR12",3,0.878,50,12,9,"grainsize ","N",2,2.27790432801822,46.1692463870157,0.928901885044871,0.92877626029563,0.000125624749240679,"Seagrass",0,0,19.22,43.72,34.23,2.18,97.17
"15","SMAR12",3,0.878,50,17,4,"grainsize ","Y",2,2.27790432801822,46.1692463870157,0.824167665225335,0.8222161497242,0.00195151550113538,"Seagrass",0.06,0.11,21.32,42.18,34.16,1.33,97.66
"16","STCH20",2,0.862068966,28.99999998376,4,9,"grainsize ","N",2,2.3199999987008,47.0224540339152,0.726710264320817,0.726710264320817,0,"Seagrass",0,0.48,6.2,19.72,70.71,2.44,96.63
"17","STCH20",2,0.862068966,28.99999998376,9,4,"grainsize ","Y",2,2.3199999987008,47.0224540339152,0.701543564191843,0.698208987057972,0.0036174207300477,"Seagrass",0.52,2.8,13.92,20.63,59,2.13,93.55
"18","SJB02",3,0.603333333,60.0000000331492,5,14,"grainsize ","N",2,3.31491712890327,67.1877320721476,0.674197485209923,0.674197485209923,0,"Seagrass",0.1,0.22,5.06,53.84,40.14,0.1,99.04
"19","SJB02",3,0.603333333,60.0000000331492,10,9,"grainsize ","N",2,3.31491712890327,67.1877320721476,0.869480159521817,0.869480159521817,0,"Seagrass",0.97,0.46,4.39,54.47,39.03,0.18,97.89
"20","SJB02",3,0.603333333,60.0000000331492,15,4,"grainsize ","Y",2,3.31491712890327,67.1877320721476,0.66459751836914,0.662047945780263,0.00244092180137727,"Seagrass",3.07,0.69,4.91,48.9,41.16,0.28,94.97
"21","SJB06",3,0.902777778,35.9999999911385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"22","SJB07",3,0.630952381,41.9999999968302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"23","SJB10",3,0.738,50,17,4,"grainsize ","Y",2,2.710027100271,54.9276400105689,0.811527675163598,0.807841006667354,0.00379590311835501,"Seagrass",0.33,2.54,9.62,40.05,46.15,0.21,95.82
"24","SJB10",3,0.738,50,12,9,"grainsize ","N",2,2.710027100271,54.9276400105689,0.729856589365322,0.729856589365322,0,"Seagrass",1.91,2.49,12.33,53.35,29.14,0.12,94.82
"25","SJB10",3,0.738,50,7,14,"grainsize ","N",2,2.710027100271,54.9276400105689,0.819110378515133,0.819110378515133,0,"Seagrass",2.99,1.93,9.28,45.48,39.79,0.09,94.55
"26","SJB10",3,0.738,50,2,19,"grainsize ","N",2,2.710027100271,54.9276400105689,0.986246632653005,0.986246632653005,0,"Seagrass",0.38,1.24,13.35,36.72,43.04,0.14,93.11
"27","SJB13",3,0.793333333,45.0000000189076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"28","SJB14",3,0.677083333,48.0000000236308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"29","SJB16",3,0.719602978,40.2999999813786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"30","SJB17",3,0.696,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"31","SJB24",3,0.940298507,33.5000000164841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"32","SJBA",3,0.85,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
"33","SJBB",3,0.918918919,36.9999999967353,13,4,"grainsize ","Y",2,2.17647058804325,44.1133569998898,1.38576848731219,1.38576848731219,0,"Control",1.15,1.03,1.92,51.92,43.99,0,97.83
"34","SJBB",3,0.918918919,36.9999999967353,8,9,"grainsize ","N",2,2.17647058804325,44.1133569998898,1.21652949695336,1.21652949695336,0,"Control",0,0.82,3.18,53.06,42.8,0.01,99.04
"35","SJBB",3,0.918918919,36.9999999967353,3,14,"grainsize ","N",2,2.17647058804325,44.1133569998898,1.3223137835587,1.3223137835587,0,"Control",0,0.86,3.72,41.23,53.98,0,98.93
"36","SJBC",3,0.935162095,40.0999999898413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
"37","SMAR03",3,0.822,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
