"","Site","Quadrat","Compaction_Ratio","Core_Length_Corrected_cm","Bagged_Slice_Number","Slice_Number","Analysis","Rhyzome_Removed","Slice_Height_Corrected_cm","Slice_Volume","Sample_Density_g_per_ml","Sediment_Density_g_per_ml","Rhizome_Density_g_per_ml","Factor","Percent_Shell","Percent_Gravel","Percent_Coarse","Percent_Medium","Percent_Fine","Percent_Silt","Percent_Sands"
"1","STCH20",1,0.910447761,33.5000000071393,6,9,"grainsize","N",2.19672131194356,44.5238047301868,0.760718905431644,0.760718905431644,0,"Seagrass",0,0.21,8.09,24.31,65.34,1.62,97.74
"2","STCH20",1,0.910447761,33.5000000071393,11,4,"grainsize","Y",2.19672131194356,44.5238047301868,0.868378168359597,0.865651537049993,0.000557005407563154,"Seagrass",0.23,1.95,10.42,20.46,64.52,1.77,95.4
"3","SMAR01",10,0.682926829,41.0000000161071,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"4","SMAR01",9,0.92,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"5","SMAR01",8,0.72,50,5,14,"grainsize ","N",2.77777777777778,56.3008310108331,0.647262204584301,0.647262204584301,0,"Seagrass",0,0.05,23.64,34.35,39.89,1.72,97.88
"6","SMAR01",8,0.72,50,10,9,"grainsize ","N",2.77777777777778,56.3008310108331,0.740319445586515,0.740186232632721,0.000133212953793824,"Seagrass",0.55,0.18,16.52,33.97,46.96,1.68,97.45
"7","SMAR01",8,0.72,50,15,4,"grainsize ","Y",2.77777777777778,56.3008310108331,0.578201056992148,0.575742833951473,0.00245822304067537,"Seagrass",0,0.48,21.38,36.84,39.7,1.32,97.92
"8","STCH06",1,0.876,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"9","STCH06",2,0.91,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"10","STCH06",3,0.555,40,3,9,"grainsize ","N",3.6036036036036,73.0389159059456,0.548425445574546,0.548425445574546,0,"Seagrass",0.4,0.94,10.27,28.48,58.1,1.18,96.85
"11","STCH06",3,0.555,40,8,5,"grainsize ","Y",3.6036036036036,73.0389159059456,0.40730067842612,0.406788622633176,0.000429907804771291,"Seagrass",0,1.11,9.32,22.74,64.3,1.87,96.36
"12","SMAR12",3,0.878,50,2,19,"grainsize ","N",2.27790432801822,46.1692463870157,1.05127555241296,1.05127555241296,0,"Seagrass",0,0.07,28.77,45.1,25.19,0.93,99.06
"13","SMAR12",3,0.878,50,7,14,"grainsize ","Y",2.27790432801822,46.1692463870157,1.09106610876297,1.09096864128511,9.74674778591479e-05,"Seagrass",0,0,29.81,46.23,23.52,0.74,99.56
"14","SMAR12",3,0.878,50,12,9,"grainsize ","N",2.27790432801822,46.1692463870157,0.928901885044871,0.92877626029563,0.000125624749240679,"Seagrass",0,0,19.22,43.72,34.23,2.18,97.17
"15","SMAR12",3,0.878,50,17,4,"grainsize ","Y",2.27790432801822,46.1692463870157,0.824167665225335,0.8222161497242,0.00195151550113538,"Seagrass",0.06,0.11,21.32,42.18,34.16,1.33,97.66
"16","STCH20",2,0.862068966,28.99999998376,4,9,"grainsize ","N",2.3199999987008,47.0224540339152,0.726710264320817,0.726710264320817,0,"Seagrass",0,0.48,6.2,19.72,70.71,2.44,96.63
"17","STCH20",2,0.862068966,28.99999998376,9,4,"grainsize ","Y",2.3199999987008,47.0224540339152,0.701543564191843,0.698208987057972,0.0036174207300477,"Seagrass",0.52,2.8,13.92,20.63,59,2.13,93.55
"18","SJB02",3,0.603333333,60.0000000331492,5,14,"grainsize ","N",3.31491712890327,67.1877320721476,0.674197485209923,0.674197485209923,0,"Seagrass",0.1,0.22,5.06,53.84,40.14,0.1,99.04
"19","SJB02",3,0.603333333,60.0000000331492,10,9,"grainsize ","N",3.31491712890327,67.1877320721476,0.869480159521817,0.869480159521817,0,"Seagrass",0.97,0.46,4.39,54.47,39.03,0.18,97.89
"20","SJB02",3,0.603333333,60.0000000331492,15,4,"grainsize ","Y",3.31491712890327,67.1877320721476,0.66459751836914,0.662047945780263,0.00244092180137727,"Seagrass",3.07,0.69,4.91,48.9,41.16,0.28,94.97
"21","SJB06",3,0.902777778,35.9999999911385,14,4,"grain size","Y",2.21538461483929,44.9020781366639,1.12032231218547,1.11571673470261,0.00460557748286357,"Seagrass",0,0.11,1.85,14.64,82.46,0.17,98.95
"22","SJB06",3,0.902777778,35.9999999911385,9,9,"grainsize","N",2.21538461483929,44.9020781366639,1.19764390049666,1.19764390049666,0,"Seagrass",0,0.12,1.87,22.85,75.16,0.01,99.88
"23","SJB06",3,0.902777778,35.9999999911385,4,14,"grainsize","N",2.21538461483929,44.9020781366639,0.99239727534158,0.99239727534158,0,"Seagrass",0,0.46,2.99,17.75,78.68,0.02,99.42
"24","SJB07",3,0.630952381,41.9999999968302,10,4,"grain size","Y",3.16981132051549,64.2466841373245,0.724860755466521,0.723581312004127,0.00121562693933067,"Seagrass",1.04,3.02,10.5,62.92,22.16,0.03,95.58
