"","Site","Quadrat","Insertion_Depth_cm","Compaction_Ratio","Core_Length_Corrected_cm","Bagged_Slice_Number","Slice_Number","Analysis","Rhizome_Removed","Slice_Height_cm","Slice_Height_Corrected_cm","Slice_Area_cm2","Slice_Volume_cm3","OLOI","ILOI","Sample_Density_g_per_ml","Sediment_Density_g_per_ml","Organic_Content_Density_g_per_ml","Inorganic_Content_Density_g_per_ml","Shell_Density_g_per_ml","Rhizome_Density_g_per_ml","Percent_Carbon","Factor","Sediment_Depth_cm","Sediment_Depth_Group"
"1","STCH20",1,33.5,0.910447761,27.7686567105,13,2,"LOI analysis","Y",2,1.820895522,20.2682991638999,36.9064551861017,4.765,13.926,1.02052607897666,1.00231788215549,0.0481112583434636,0.139322185619613,0.0166691706612797,0.00153360705368731,1.9409835,"Seagrass",3.641791044,"0-10cm"
"2","STCH20",1,33.5,0.910447761,27.7686567105,14,1,"LOI analysis","Y",3,2.731343283,20.2682991638999,55.3596827791525,2.586,12.058,1.40165181779584,1.34610597927889,0.0349987554612512,0.162878823492746,0.0543048631978816,0.000350435534058112,0.8865654,"Seagrass",2.731343283,"0-10cm"
"3","STCH20",1,33.5,0.910447761,27.7686567105,10,5,"LOI analysis","Y",2,1.820895522,20.2682991638999,36.9064551861017,2.871,12.138,1.24327843919509,1.20184937232074,0.0348536317973016,0.14542377405081,0.0416485406753137,0.000452495367430707,1.0244769,"Seagrass",9.10447761,"0-10cm"
"4","STCH20",1,33.5,0.910447761,27.7686567105,9,6,"LOI analysis","Y",2,1.820895522,20.2682991638999,36.9064551861017,4.847,10.977,1.10243586914091,1.08493215612533,0.0520767434940156,0.119342537173786,0.0173438493827782,0.000276374416035522,1.9806633,"Seagrass",10.925373132,"10-20cm"
"5","STCH20",1,33.5,0.910447761,27.7686567105,12,3,"LOI analysis","Y",2,1.820895522,20.2682991638999,36.9064551861017,4.294,14.723,1.08745204050683,1.04691712615495,0.0450174364246628,0.153896817544778,0.0409223804449459,0.000157154079706473,1.7130666,"Seagrass",5.462686566,"0-10cm"
"6","STCH20",1,33.5,0.910447761,27.7686567105,5,10,"LOI analysis","N",2,1.820895522,20.2682991638999,36.9064551861017,4.1,5.759,1.01459215769119,1.01459215769119,0.0415982784653387,0.0588463451460888,0,NA,1.61919,"Seagrass",18.20895522,"10-20cm"
"7","STCH20",1,33.5,0.910447761,27.7686567105,1,14,"LOI analysis","N",2,1.820895522,20.2682991638999,36.9064551861017,4.877,6.284,0.917779825485803,0.917779825485803,0.0449712114488043,0.0578201290056056,0,NA,1.9951803,"Seagrass",25.492537308,"20-30cm"
"8","STCH20",1,33.5,0.910447761,27.7686567105,8,7,"LOI analysis","N",2,1.820895522,20.2682991638999,36.9064551861017,5.885,9.917,0.85657102099323,0.85657102099323,0.0505376902386005,0.0848005310783297,0,NA,2.4829515,"Seagrass",12.746268654,"10-20cm"
"9","SMAR01",10,41,0.682926829,19.121951212,13,2,"LOI alysis ","Y",2,1.365853658,20.2682991638999,27.683530554451,2.199,0.697,1.33530656168624,1.31673956572491,0.0289682704459479,0.00921717696007434,0.0114327903147134,0.00840933202295507,0.6992961,"Seagrass",2.731707316,"0-10cm"
"10","SMAR01",10,41,0.682926829,19.121951212,14,1,"LOI alysis ","Y",2,1.365853658,20.2682991638999,27.683530554451,3.116,1.484,1.45909857561522,1.45057365139951,0.0449677831933849,0.0217586047709927,0.0101576639383804,0.000888614981807107,1.1430324,"Seagrass",1.365853658,"0-10cm"
"11","SMAR01",10,41,0.682926829,19.121951212,10,5,"LOI alysis ","Y",2,1.365853658,20.2682991638999,27.683530554451,1.41,0.598,1.53224676009325,1.52867062662988,0.0214013887728183,0.00917202375977926,0.00397709388199035,0.000819982117358591,0.317499,"Seagrass",6.82926829,"0-10cm"
"12","SMAR01",10,41,0.682926829,19.121951212,12,3,"LOI alysis ","Y",2,1.365853658,20.2682991638999,27.683530554451,2.613,1.201,1.23875095817525,1.20692698260728,0.0313801015477893,0.0144831237912873,0.0319829148330086,0.000487654563186827,0.8996307,"Seagrass",4.097560974,"0-10cm"
"13","SMAR01",10,41,0.682926829,19.121951212,1,14,"LOI alysis ","N",2,1.365853658,20.2682991638999,27.683530554451,0.888,2.712,1.70317871513029,1.70317871513029,0.0153286084361726,0.0459858253085178,0,NA,0.0649032,"Seagrass",19.121951212,"10-20cm"
"14","SMAR01",10,41,0.682926829,19.121951212,5,10,"LOI alysis ","N",2,1.365853658,20.2682991638999,27.683530554451,2.527,0.988,1.26428960826214,1.26526491738852,0.031631622934713,0.0126526491738852,0,NA,0.8580153,"Seagrass",13.65853658,"10-20cm"
"15","SMAR01",10,41,0.682926829,19.121951212,9,6,"LOI alysis ","Y",2,1.365853658,20.2682991638999,27.683530554451,3.184,0.973,1.31905140958001,1.31117669144855,0.0419576541263537,0.0131117669144855,0.00844545458319113,0,1.1759376,"Seagrass",8.195121948,"0-10cm"
"16","SMAR01",10,41,0.682926829,19.121951212,8,7,"LOI alysis ","N",2,1.365853658,20.2682991638999,27.683530554451,3.362,1.154,1.3061195330155,1.30734770006353,0.04444982180216,0.0156881724007624,0,NA,1.2620718,"Seagrass",9.560975606,"0-10cm"
"17","SMAR01",9,50,0.92,42.32,19,5,"LOI analysis","Y",2,1.84,20.2682991638999,37.2936704615758,6.248,2.864,0.652684482346109,0.635764721105388,0.039417412708534,0.0184371769120563,0.0140533230844088,0.00337054514731958,2.6586072,"Seagrass",9.2,"0-10cm"
"18","SMAR01",9,50,0.92,42.32,18,6,"LOI analysis","Y",2,1.84,20.2682991638999,37.2936704615758,4.848,2.449,0.613777075752945,0.594444036363785,0.0285333137454617,0.0142666568727308,0.0187297198520503,0.000356628881935962,1.9811472,"Seagrass",11.04,"10-20cm"
"19","SMAR01",9,50,0.92,42.32,4,10,"LOI analysis","N",2,1.84,20.2682991638999,37.2936704615758,1.913,3.55,1.09101623670755,1.09101623670755,0.0207293084974435,0.0381855682847643,0,NA,0.5609007,"Seagrass",18.4,"10-20cm"
"20","SMAR01",9,50,0.92,42.32,9,15,"LOI analysis","N",2,1.84,20.2682991638999,37.2936704615758,2.199,0.792,1.23307787704565,1.23307787704565,0.0271277132950043,0.0098646230163652,0,NA,0.6992961,"Seagrass",27.6,"20-30cm"
"21","SMAR01",9,50,0.92,42.32,1,23,"LOI analysis","N",2,1.84,20.2682991638999,37.2936704615758,2.68,10.783,1.09460933972856,1.09460933972856,0.0295544521726711,0.118217808690684,0,NA,0.932052,"Seagrass",42.32,"below30cm"
"22","SMAR01",9,50,0.92,42.32,14,10,"LOI analysis","N",2,1.84,20.2682991638999,37.2936704615758,2.75,2.108,0.975768798018771,0.973650476088475,0.0262885628543888,0.020446659997858,0.00228725140068703,NA,0.965925,"Seagrass",18.4,"10-20cm"
"23","SMAR01",9,50,0.92,42.32,23,1,"LOI analysis","Y",2,1.84,20.2682991638999,37.2936704615758,4.142,2.378,0.448896549811274,0.441174059736269,0.018088136449187,0.0105881774336705,0.00766618025154072,0,1.6395138,"Seagrass",1.84,"0-10cm"
"24","SMAR01",9,50,0.92,42.32,17,7,"LOI analysis","N",2,1.84,20.2682991638999,37.2936704615758,4.144,1.746,0.801181531080046,0.801181531080046,0.0328484427742819,0.0136200860283608,0,NA,1.6404816,"Seagrass",12.88,"10-20cm"
"25","SMAR01",9,50,0.92,42.32,22,2,"LOI analysis","Y",2,1.84,20.2682991638999,37.2936704615758,5.566,2.251,0.650646603020761,0.644318451431521,0.0360818332801652,0.014819324382925,0.00643540839583691,0,2.3285874,"Seagrass",3.68,"0-10cm"
"26","SMAR01",9,50,0.92,42.32,21,3,"LOI analysis","Y",2,1.84,20.2682991638999,37.2936704615758,5.818,2.022,0.736532490903534,0.730204339314295,0.0423518516802291,0.0146040867862859,0.00654534662259912,0,2.4505302,"Seagrass",5.52,"0-10cm"
"27","SMAR01",8,50,0.72,25.92,16,3,"LOI alysis ","Y",2,1.44,20.2682991638999,29.1863507960159,6.593,3.937,0.941981414262758,0.939925658802977,0.0620350934809965,0.0366571006933161,0,0.00206946049617978,2.8255527,"Seagrass",4.32,"0-10cm"
"28","SMAR01",8,50,0.72,25.92,14,5,"LOI alysis ","Y",2,1.44,20.2682991638999,29.1863507960159,4.573,2.491,1.33350004157809,1.24462288053355,0.0572526525045434,0.0311155720133388,0,0.00109297665278369,1.8480747,"Seagrass",7.2,"0-10cm"
"29","SMAR01",8,50,0.72,25.92,17,2,"LOI alysis ","Y",2,1.44,20.2682991638999,29.1863507960159,7.423,2.27,1.18034625982439,1.09277107723771,0.0808650597155906,0.0251337347764674,0,0.000880548588606296,3.2271897,"Seagrass",2.88,"0-10cm"
"30","SMAR01",8,50,0.72,25.92,13,6,"LOI alysis ","Y",2,1.44,20.2682991638999,29.1863507960159,2.367,1.126,1.36389095979186,1.36389095979186,0.0327333830350046,0.0150028005577105,0,0,0.7805913,"Seagrass",8.64,"0-10cm"
"31","SMAR01",8,50,0.72,25.92,12,7,"LOI alysis ","N",2,1.44,20.2682991638999,29.1863507960159,2.427,2.783,1.43364959506044,1.39907864074512,0.0335778873778828,0.0391742019408632,0.032898939874699,NA,0.8096253,"Seagrass",10.08,"10-20cm"
"32","SMAR01",8,50,0.72,25.92,9,10,"LOI alysis ","N",2,1.44,20.2682991638999,29.1863507960159,2.446,1.195,1.27775480602703,1.27775480602703,0.0306661153446486,0.0153330576723243,0,NA,0.8188194,"Seagrass",14.4,"10-20cm"
"33","SMAR01",8,50,0.72,25.92,4,15,"LOI alysis ","N",2,1.44,20.2682991638999,29.1863507960159,3.258,1.861,1.20104086478619,1.20104086478619,0.0396343485379443,0.0228197764309376,0,NA,1.2117462,"Seagrass",21.6,"20-30cm"
"34","SMAR01",8,50,0.72,25.92,18,1,"LOI alysis ","Y",2,1.44,20.2682991638999,29.1863507960159,6.985,2.257,0.686416748020954,0.686416748020954,0.0480491723614668,0.0157875852044819,0,0,3.0152415,"Seagrass",1.44,"0-10cm"
"35","SMAR01",8,50,0.72,25.92,1,18,"LOI alysis ","N",2,1.44,20.2682991638999,29.1863507960159,12.007,6.046,1.25377099232958,1.25377099232958,0.150452519079549,0.0752262595397747,0,NA,5.4453873,"Seagrass",25.92,"20-30cm"
"36","STCH06",1,50,0.876,38.3688,19,3,"LOI analysis","Y",2,1.752,20.2682991638999,35.5100601351526,4.701,10.431,0.871358704610287,0.859615553559208,0.0404019310172828,0.0894000175701576,0.0101633170607541,0.00151787971619464,1.9100139,"Seagrass",5.256,"0-10cm"
"37","STCH06",1,50,0.876,38.3688,20,2,"LOI analysis","Y",2,1.752,20.2682991638999,35.5100601351526,3.104,9.469,1.04818183518517,1.01117823690911,0.0313465253441823,0.0960619325063651,0.0102759611955366,0.00137425844434691,1.1372256,"Seagrass",3.504,"0-10cm"
"38","STCH06",1,50,0.876,38.3688,21,0,"LOI analysis","Y",1.3,1.1388,20.2682991638999,23.0815390878492,2.953,10.132,1.38266342978837,1.35714520079341,0.0407143560238022,0.137071665280134,0.0242704785789135,0.00153369321973142,1.0641567,"Seagrass",0,"0-10cm"
"39","STCH06",1,50,0.876,38.3688,17,5,"LOI analysis","Y",2,1.752,20.2682991638999,35.5100601351526,2.751,8.263,1.06772559256994,1.04040938988517,0.0291314629167849,0.0863539793604695,0.0268909710759603,0.000504082503151837,0.9664089,"Seagrass",8.76,"0-10cm"
"40","STCH06",1,50,0.876,38.3688,16,6,"LOI analysis","Y",2,1.752,20.2682991638999,35.5100601351526,2.26,8.274,1.23497397168831,1.19991348473724,0.0275980101489566,0.099592819233191,0.0354462931126937,0.00026189761336939,0.728814,"Seagrass",10.512,"10-20cm"
"41","STCH06",1,50,0.876,38.3688,2,20,"LOI analysis","N",2,1.752,20.2682991638999,35.5100601351526,1.171,18.97,1.38907114807081,1.38907114807081,0.0166688537768497,0.263923518133454,0,NA,0.2018469,"Seagrass",35.04,"below30cm"
"42","STCH06",1,50,0.876,38.3688,15,7,"LOI analysis","N",2,1.752,20.2682991638999,35.5100601351526,2.014,7.306,1.19428127799811,1.11987982697425,0.022397596539485,0.0817512273691204,0.0771020941552746,NA,0.6097746,"Seagrass",12.264,"10-20cm"
"43","STCH06",1,50,0.876,38.3688,7,15,"LOI analysis","N",2,1.752,20.2682991638999,35.5100601351526,2.38,12.829,1.26383903122633,1.20185659606224,0.0288445583054938,0.153837644295967,0.0591043775203953,NA,0.786882,"Seagrass",26.28,"20-30cm"
"44","STCH06",1,50,0.876,38.3688,1,21,"LOI analysis","N",2,1.752,20.2682991638999,35.5100601351526,2.384,23.874,1.29312650626979,1.2904793691024,0.0309715048584576,0.308424569215473,0.00210644532043337,NA,0.7888176,"Seagrass",36.792,"below30cm"
