"","Region","Site","Cover_Level","SAV_Cover","Secchi_m","Depth_m","Thalassia.testudinum","Syringodium.filiforme","Halodule.wrightii","Seagrass_Spp","Algal_Spp","Latitude","Longitude","Salinity.Min","Nitrate.Mean","Light.bottom.Min","Par.Mean","Dist_To_River","Dist_To_Shore","Seagrass_Biomass_gDW","Macro_Algae_Biomass_gDW","Thalassia_testudinum_gDW","Syringodium_filiforme_gDW","Halodule_wrightii_gDW"
"1","Saint Joe Bay","SJB02","high",85,0.6,0.6,100,0,0,100,0,29.73875,-85.38572,31.3329925537109,6.38684225082397,9.30147171020508,39.8956909179688,93.2893600463867,0.403075814247131,4.95236666666667,0.0107,4.95236666666667,0,0
"2","Saint Joe Bay","SJB06","high",87.9,0.4,0.4,0,0,100,100,0,29.79887,-85.30312,31.8869075775146,6.71570014953613,10.5671377182007,39.7611236572266,83.7025299072266,0.241701394319534,3.95303333333333,0.0121,0.1486,0,3.80443333333333
"3","Saint Joe Bay","SJB07","high",87,0.6,0.6,54.4,0,45.6,100,0,29.80502,-85.30295,31.8303852081299,6.71863746643066,10.5924158096313,39.7610015869141,83.5068969726562,0.122568935155869,7.62715833333333,0.0412,4.845925,0,2.78123333333333
"4","Saint Joe Bay","SJB10","high",97.9,0.6,0.6,100,0,0,100,0,29.72733,-85.32773,29.5471477508545,6.52248430252075,12.9615535736084,39.9022102355957,88.4507598876953,2.04923152923584,11.4537333333333,0,11.4537333333333,0,0
"5","Saint Joe Bay","SJB13","high",93.5,0.8,0.8,38.8,22.6,33.6,95,0,29.77447,-85.30693,29.8331031799316,6.48519897460938,14.3492727279663,39.8684959411621,84.8476943969727,0.335321635007858,10.43475,0.0059,2.5043,0.8124,6.92085
"6","Saint Joe Bay","SJB14","high",73.5,1.3,1.3,100,0,0,100,0,29.76002,-85.31073,29.7945003509521,6.49114990234375,14.1268396377563,39.8736038208008,85.6339340209961,0.322391331195831,7.45174,0.0041,7.45174,0,0
"7","Saint Joe Bay","SJB16","mid",63.5,1.4,1.4,100,0,0,100,0,29.821,-85.406,33.0433578491211,6.31046199798584,9.51949501037598,39.787841796875,92.8095626831055,0.122561194002628,9.70425,0,9.70425,0,0
"8","Saint Joe Bay","SJB17","high",100,0.8,0.8,97.4,0,0,97.4,2.6,29.7482,-85.31043,29.6298427581787,6.49149179458618,14.1360054016113,39.8802070617676,86.047004699707,0.56425017118454,6.449275,0.258233333333333,6.446475,0,0.0028
"9","Saint Joe Bay","SJB24","high",78.8,0.8,0.8,100,0,0,100,0,29.82092,-85.40592,33.0433578491211,6.31046199798584,9.51949501037598,39.787841796875,92.8095626831055,0.122561194002628,7.1875,0,7.1875,0,0
"10","Saint Joe Bay","SJBA","No cover",0,0.65,0.65,0,0,0,0,0,29.8035,-85.303,31.8445167541504,6.71790313720703,10.5860967636108,39.7610321044922,83.5552368164062,0.161126255989075,NA,NA,NA,NA,NA
