"","Site","Quadrat","Factor","Region","month","year","Epiphite_Blade_Load","Epiphite_Shoot_Load","Seagrass_Health","SAV_Cover","Seagrass_Landscape","Thalassia.testudinum","Syringodium.filiforme","Halodule.wrightii","Mean_Seagrass_Canopy_Height_cm","Mean_Macroalgae_Canopy_Height_cm","Thalassia_testudinum_CH","Syringodium_filiforme_CH","Halodule_wrighti_CH","Seagrass_Spp","Algal_Spp","Total_Seagrass_Cover","Total_Algae_Cover","Seagrass_Biomass_g_per_sqm","Macro_Algae_Biomass_g_per_sqm","Thalassia_testudinum_g_per_sqm","Syringodium_filiforme_g_per_sqm","Halodule_wrightii_g_per_sqm","Latitude","Longitude","Temperature.Mean","Current.Velocity.Mean","Salinity.Min","Chlorophyll.Mean","Nitrate.Mean","Phosphate.Mean","Light.bottom.Min","Par.Mean","Dist_To_River","Dist_To_Shore"
"1","SJB02",1,"Seagrass","Saint Joe Bay",7,2019,90,75,50,95,"Lightly fragmented",100,0,0,8.33333333333333,0,50,0,0,100,0,95,0,76.6584,0.171200000000006,76.6584,0,0,29.73875,-85.38572,23.9193992614746,0.0396229438483715,31.3329925537109,0.219292610883713,6.38684225082397,0.00173918646760285,9.30147171020508,39.8956909179688,93.2893600463867,0.403075814247131
"2","SJB02",2,"Seagrass","Saint Joe Bay",7,2019,90,80,75,100,"Lightly fragmented",100,0,0,11.1666666666667,0,67,0,0,100,0,100,0,96.6645333333333,0,96.6645333333333,0,0,29.73875,-85.38572,23.9193992614746,0.0396229438483715,31.3329925537109,0.219292610883713,6.38684225082397,0.00173918646760285,9.30147171020508,39.8956909179688,93.2893600463867,0.403075814247131
"3","SJB02",3,"Seagrass","Saint Joe Bay",7,2019,90,75,75,100,"Lightly fragmented",100,0,0,14.1666666666667,0,85,0,0,100,0,100,0,67.4576,0,67.4576,0,0,29.73875,-85.38572,23.9193992614746,0.0396229438483715,31.3329925537109,0.219292610883713,6.38684225082397,0.00173918646760285,9.30147171020508,39.8956909179688,93.2893600463867,0.403075814247131
"4","SJB06",1,"Seagrass","Saint Joe Bay",7,2019,0,100,100,50,"highly fragmented",0,0,100,2.66666666666667,0,0,0,16,100,0,50,0,53.9088,0,0,0,53.9088,29.79887,-85.30312,23.8968658447266,0.0427116043865681,31.8869075775146,0.224317997694016,6.71570014953613,0.00158714933786541,10.5671377182007,39.7611236572266,83.7025299072266,0.241701394319534
"5","SJB06",2,"Seagrass","Saint Joe Bay",7,2019,0,100,99,95,"highly fragmented",0,0,100,3.33333333333333,0,0,0,20,100,0,95,0,52.8016,0,2.3776,0,50.424,29.79887,-85.30312,23.8968658447266,0.0427116043865681,31.8869075775146,0.224317997694016,6.71570014953613,0.00158714933786541,10.5671377182007,39.7611236572266,83.7025299072266,0.241701394319534
"6","SJB06",3,"Seagrass","Saint Joe Bay",7,2019,30,100,95,95,"highly fragmented",0,0,100,2,0,0,0,12,100,0,95,0,78.28,0.193599999999996,0,0,78.28,29.79887,-85.30312,23.8968658447266,0.0427116043865681,31.8869075775146,0.224317997694016,6.71570014953613,0.00158714933786541,10.5671377182007,39.7611236572266,83.7025299072266,0.241701394319534
"7","SJB07",1,"Seagrass","Saint Joe Bay",7,2019,100,100,100,100,"highly fragmented",0,0,100,4.83333333333333,0,0,0,29,100,0,100,0,123.1488,0,0.537599999999998,0,122.6112,29.80502,-85.30295,23.8977069854736,0.0427422784268856,31.8303852081299,0.224184855818748,6.71863746643066,0.0015867369947955,10.5924158096313,39.7610015869141,83.5068969726562,0.122568935155869
"8","SJB07",2,"Seagrass","Saint Joe Bay",7,2019,100,80,100,80,"highly fragmented",95,0,5,6.16666666666667,0,25,0,12,100,0,80,0,165.1568,0.659200000000006,158.432,0,6.7248,29.80502,-85.30295,23.8977069854736,0.0427422784268856,31.8303852081299,0.224184855818748,6.71863746643066,0.0015867369947955,10.5924158096313,39.7610015869141,83.5068969726562,0.122568935155869
"9","SJB07",3,"Seagrass","Saint Joe Bay",7,2019,100,100,60,95,"highly fragmented",99,0,1,6.83333333333333,0,32,0,9,100,0,95,0,79.748,0,75.5848,0,4.16319999999999,29.80502,-85.30295,23.8977069854736,0.0427422784268856,31.8303852081299,0.224184855818748,6.71863746643066,0.0015867369947955,10.5924158096313,39.7610015869141,83.5068969726562,0.122568935155869
"10","SJB10",1,"Seagrass","Saint Joe Bay",7,2019,50,80,95,100,"continuous vegetated",100,0,0,9.16666666666667,0,55,0,0,100,0,100,0,318.16,0,318.16,0,0,29.72733,-85.32773,23.9981231689453,0.0383405908942223,29.5471477508545,0.205781534314156,6.52248430252075,0.0015901051228866,12.9615535736084,39.9022102355957,88.4507598876953,2.04923152923584
"11","SJB10",2,"Seagrass","Saint Joe Bay",7,2019,30,90,99,95,"continuous vegetated",100,0,0,10,0,60,0,0,100,0,95,0,115.8096,0,115.8096,0,0,29.72733,-85.32773,23.9981231689453,0.0383405908942223,29.5471477508545,0.205781534314156,6.52248430252075,0.0015901051228866,12.9615535736084,39.9022102355957,88.4507598876953,2.04923152923584
