"","Reference","Date","Region","Site","month","year","Latitude","Longitude","Latitude_Actual","Longitude_Actual","Depth_m","Secchi_m","Quadrat","Epiphite_Blade_Load","Epiphite_Shoot_Load","Seagrass_Health","SAV_Cover","Mono_Mixed","Seagrass_Landscape","Cover_Level","Notes","Acanthophora spicifera","Caulerpa verticillata","Halimeda incrassata","Halodule wrightii","Halophila decipens","Halophila engelmanni","Penicillus capitatus","Ruppia maritima","Sargassum","Syringodium filiforme","Thalassia testudinum","Udotea flabellum","Mean_Seagrass_Canopy_Height_cm","Mean_Macroalgae_Canopy_Height_cm","Thalassia_testudinum_CH","Syringodium_filiforme_CH","Halodule_wrighti_CH"
"1","6/25/2019_Steinhatchee_STCH06_1","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,1,0,0,100,60,"mixed","continuous vegetated","high","",0,0,0,0,0,0,0,0,0,100,0,0,3.66666666666667,0,0,22,0
"2","6/25/2019_Steinhatchee_STCH06_2","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,2,0,0,100,75,"mixed","continuous vegetated","high","",0,0,0,0,1,0,0,0,0,99,0,0,6.16666666666667,0,0,37,0
"3","6/25/2019_Steinhatchee_STCH06_3","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,3,0,0,100,70,"mixed","continuous vegetated","high","",75,0,0,0,10,0,0,0,0,10,5,0,8.66666666666667,0.666666666666667,37,10,0
"4","6/25/2019_Steinhatchee_STCH06_4","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,4,0,0,100,60,"mixed","continuous vegetated","high","",0,0,0,0,25,0,0,0,0,75,0,0,9.66666666666667,0,0,43,0
"5","6/25/2019_Steinhatchee_STCH06_5","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,5,0,0,100,80,"mixed","continuous vegetated","high","",0,0,0,0,0,0,0,0,0,50,50,0,14,0,39,45,0
"6","6/25/2019_Steinhatchee_STCH06_6","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,6,0,0,100,75,"mixed","continuous vegetated","high","",25,0,0,0,0,0,0,0,0,75,0,0,6,4.33333333333333,0,36,0
"7","6/25/2019_Steinhatchee_STCH06_7","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,7,0,0,100,80,"mixed","continuous vegetated","high","",9,0,0,0,1,0,0,0,0,90,0,0,6.83333333333333,1.66666666666667,0,41,0
"8","6/25/2019_Steinhatchee_STCH06_8","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,8,0,0,100,80,"mixed","continuous vegetated","high","",5,0,0,0,0,0,0,0,0,95,0,0,9.16666666666667,0.833333333333333,0,55,0
"9","6/25/2019_Steinhatchee_STCH06_9","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,9,0,0,100,45,"mixed","continuous vegetated","high","",5,0,0,0,0,0,0,0,0,95,0,0,6.33333333333333,0.833333333333333,0,38,0
"10","6/25/2019_Steinhatchee_STCH06_10","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,10,0,0,100,60,"mixed","continuous vegetated","high","",0,0,0,0,1,0,0,0,0,99,0,0,7.66666666666667,0,0,37,0
"11","6/25/2019_Steinhatchee_STCH05_1","6/25/2019","Steinhatchee","STCH05",6,2019,29.64167,-83.40833,NA,NA,1.25,0.5,1,0,0,100,50,"mixed","continuous vegetated","low","Low seagrass cover high algal cover",25,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0
"12","6/25/2019_Steinhatchee_STCH05_2","6/25/2019","Steinhatchee","STCH05",6,2019,29.64167,-83.40833,NA,NA,1.25,0.5,2,0,0,100,70,"mixed","continuous vegetated","low","Low seagrass cover high algal cover",0,0,20,0,0,0,0,80,0,0,0,0,4.33333333333333,1,0,0,0
"13","6/25/2019_Steinhatchee_STCH05_3","6/25/2019","Steinhatchee","STCH05",6,2019,29.64167,-83.40833,NA,NA,1.25,0.5,3,0,0,100,50,"mixed","continuous vegetated","low","Low seagrass cover high algal cover",90,0,0,0,0,0,0,9,0,0,0,10,4.33333333333333,4.66666666666667,0,0,0
"14","6/25/2019_Steinhatchee_STCH05_4","6/25/2019","Steinhatchee","STCH05",6,2019,29.64167,-83.40833,NA,NA,1.25,0.5,4,70,70,100,50,"mixed","continuous vegetated","low","Low seagrass cover high algal cover",5,0,25,0,0,0,0,0,0,0,0,70,0,5.33333333333333,0,0,0
"15","6/25/2019_Steinhatchee_STCH05_5","6/25/2019","Steinhatchee","STCH05",6,2019,29.64167,-83.40833,NA,NA,1.25,0.5,5,25,70,100,45,"mixed","continuous vegetated","low","Low seagrass cover high algal cover",20,0,25,0,0,0,0,5,0,0,0,25,3.83333333333333,3.33333333333333,0,0,0
"16","6/25/2019_Steinhatchee_STCH05_6","6/25/2019","Steinhatchee","STCH05",6,2019,29.64167,-83.40833,NA,NA,1.25,0.5,6,100,10,100,80,"mixed","continuous vegetated","low","Low seagrass cover high algal cover",60,0,30,0,0,0,0,10,0,0,0,0,1.33333333333333,2.16666666666667,0,0,0
"17","6/25/2019_Steinhatchee_STCH05_7","6/25/2019","Steinhatchee","STCH05",6,2019,29.64167,-83.40833,NA,NA,1.25,0.5,7,80,80,100,90,"mixed","continuous vegetated","low","Low seagrass cover high algal cover",0,0,20,0,0,0,0,10,0,0,0,20,2.33333333333333,2.16666666666667,0,0,0
"18","6/25/2019_Steinhatchee_STCH05_8","6/25/2019","Steinhatchee","STCH05",6,2019,29.64167,-83.40833,NA,NA,1.25,0.5,8,70,30,100,90,"mixed","continuous vegetated","low","Low seagrass cover high algal cover",30,0,20,0,0,0,0,50,0,0,0,0,2.83333333333333,2,0,0,0
"19","6/25/2019_Steinhatchee_STCH05_9","6/25/2019","Steinhatchee","STCH05",6,2019,29.64167,-83.40833,NA,NA,1.25,0.5,9,30,30,100,100,"mixed","continuous vegetated","low","Low seagrass cover high algal cover",0,0,40,0,0,0,0,60,0,0,0,0,5,1.66666666666667,0,0,0
