"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Depth","Dist_To_Shore","Dist_To_River","Primary.productivity.Max","Dissolved.oxygen.Min","Temperature.Min","Salinity.Min","BottomVegCover","Latitude","Sand","Mud","Rocks","Seagrass_PA","TH_PA","SY_PA","HA_PA","ST_Mangroves","ST_Oysters"
"BottomVegCover+Depth.te.Dist_To_Shore+Dissolved.oxygen.Min","BottomVegCover+Depth.te.Dist_To_Shore+Dissolved.oxygen.Min","s(BottomVegCover, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + te(Depth, Dist_To_Shore, k = 4, bs = c(""ts"", ""ts""))",1099.04770698493,1212.00450147641,0.06388,NA,12.56,0,0,7.333,0.438,0.006,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Depth.te.Dist_To_Shore+Dissolved.oxygen.Min.te.BottomVegCover","Depth.te.Dist_To_Shore+Dissolved.oxygen.Min.te.BottomVegCover","te(Depth, Dist_To_Shore, k = 4, bs = c(""ts"", ""ts"")) + te(Dissolved.oxygen.Min, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",1100.91634998211,1230.51321012952,0.06304,NA,14.3,0,1.869,25.841,0.172,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Depth.te.Dist_To_Shore+Dissolved.oxygen.Min+Temperature.Min","Depth.te.Dist_To_Shore+Dissolved.oxygen.Min+Temperature.Min","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"") + te(Depth, Dist_To_Shore, k = 4, bs = c(""ts"", ""ts""))",1102.59333255093,1215.60101463655,0.06036,NA,12.81,0,3.546,10.929,0.074,0.001,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Depth.te.Dist_To_Shore+Dissolved.oxygen.Min.te.Temperature.Min","Depth.te.Dist_To_Shore+Dissolved.oxygen.Min.te.Temperature.Min","te(Depth, Dist_To_Shore, k = 4, bs = c(""ts"", ""ts"")) + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",1103.6607830918,1221.96693006095,0.06304,NA,13.31,0,4.613,17.295,0.044,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Depth.te.Dist_To_Shore+Dissolved.oxygen.Min+SY_PA","Depth.te.Dist_To_Shore+Dissolved.oxygen.Min+SY_PA","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + te(Depth, Dist_To_Shore, k = 4, bs = c(""ts"", ""ts"")) + SY_PA",1104.6371306722,1218.87177328568,0.00742,NA,13.02,0,5.589,14.2,0.027,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Depth.te.Dist_To_Shore+Dissolved.oxygen.Min.by.SY_PA+SY_PA","Depth.te.Dist_To_Shore+Dissolved.oxygen.Min.by.SY_PA+SY_PA","s(Dissolved.oxygen.Min, by = SY_PA, k = 4, bs = ""ts"") + te(Depth, Dist_To_Shore, k = 4, bs = c(""ts"", ""ts"")) + SY_PA",1104.63713069935,1218.87177330121,0.00756,NA,14.02,1,5.589,14.2,0.027,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Depth.te.Dist_To_Shore+Dissolved.oxygen.Min+TH_PA","Depth.te.Dist_To_Shore+Dissolved.oxygen.Min+TH_PA","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + te(Depth, Dist_To_Shore, k = 4, bs = c(""ts"", ""ts"")) + TH_PA",1104.64275850225,1217.89646335731,0.05928,NA,12.86,0,5.595,13.225,0.027,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Depth.te.Dist_To_Shore+Dissolved.oxygen.Min","Depth.te.Dist_To_Shore+Dissolved.oxygen.Min","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + te(Depth, Dist_To_Shore, k = 4, bs = c(""ts"", ""ts""))",1105.0453104826,1210.72791335577,0.06391,NA,11.95,0,5.998,6.056,0.022,0.012,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Depth.te.Dist_To_Shore+Dissolved.oxygen.Min+Dist_To_River","Depth.te.Dist_To_Shore+Dissolved.oxygen.Min+Dist_To_River","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Dist_To_River, k = 4, bs = ""ts"") + te(Depth, Dist_To_Shore, k = 4, bs = c(""ts"", ""ts""))",1105.05393647824,1210.77410000015,0.06391,NA,12.95,1,6.006,6.102,0.022,0.012,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Depth.te.Dist_To_Shore+Dissolved.oxygen.Min.by.ST_Mangroves+ST_Mangroves","Depth.te.Dist_To_Shore+Dissolved.oxygen.Min.by.ST_Mangroves+ST_Mangroves","s(Dissolved.oxygen.Min, by = ST_Mangroves, k = 4, bs = ""ts"") + te(Depth, Dist_To_Shore, k = 4, bs = c(""ts"", ""ts"")) + ST_Mangroves",1105.0873105672,1218.57747134787,0.00956,NA,13.92,1,6.04,13.906,0.021,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
