"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Depth","Dist_To_Shore","Dist_To_River","Primary.productivity.Max","Dissolved.oxygen.Min","Temperature.Min","Salinity.Min","BottomVegCover","Latitude","Sand","Mud","Rocks","Seagrass_PA","TH_PA","SY_PA","HA_PA","ST_Mangroves","ST_Oysters"
"Depth.te.Temperature.Min+Dist_To_River.by.Mud+Mud","Depth.te.Temperature.Min+Dist_To_River.by.Mud+Mud","s(Dist_To_River, by = Mud, k = 4, bs = ""ts"") + te(Depth, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Mud",106.855069256771,155.536093525991,0.00386,NA,5.98,0,0,17.717,0.046,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Dissolved.oxygen.Min+Dist_To_River.by.Mud+Dist_To_Shore.by.Mud+Mud","Dissolved.oxygen.Min+Dist_To_River.by.Mud+Dist_To_Shore.by.Mud+Mud","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Dist_To_River, by = Mud, k = 4, bs = ""ts"") + s(Dist_To_Shore, by = Mud, k = 4, bs = ""ts"") + Mud",107.957795589283,143.591175943198,0.00089,NA,7,2,1.103,5.772,0.027,0.004,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Depth+Dissolved.oxygen.Min+Dist_To_River.by.Mud+Mud","Depth+Dissolved.oxygen.Min+Dist_To_River.by.Mud+Mud","s(Depth, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Dist_To_River, by = Mud, k = 4, bs = ""ts"") + Mud",108.116898796734,150.850166017031,0.00097,NA,6,0,1.262,13.031,0.025,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Dissolved.oxygen.Min.by.Mud+Dist_To_River.by.Mud+Dist_To_Shore.by.Mud+Mud","Dissolved.oxygen.Min.by.Mud+Dist_To_River.by.Mud+Dist_To_Shore.by.Mud+Mud","s(Dissolved.oxygen.Min, by = Mud, k = 4, bs = ""ts"") + s(Dist_To_River, by = Mud, k = 4, bs = ""ts"") + s(Dist_To_Shore, by = Mud, k = 4, bs = ""ts"") + Mud",108.399090276777,144.142436029924,8e-04,NA,8,3,1.544,6.323,0.021,0.003,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Depth+Dissolved.oxygen.Min.by.Mud+Dist_To_River.by.Mud+Mud","Depth+Dissolved.oxygen.Min.by.Mud+Dist_To_River.by.Mud+Mud","s(Depth, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, by = Mud, k = 4, bs = ""ts"") + s(Dist_To_River, by = Mud, k = 4, bs = ""ts"") + Mud",108.554205063219,151.168805322265,0.00127,NA,7,1,1.699,13.35,0.02,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Depth+Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_River","Depth+Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_River","s(Depth, k = 4, bs = ""ts"") + s(Dist_To_River, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",109.785600076173,147.588318829059,0.00189,NA,4.56,0,2.931,9.769,0.011,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Depth+Dist_To_River.by.Mud+Mud+TH_PA","Depth+Dist_To_River.by.Mud+Mud+TH_PA","s(Depth, k = 4, bs = ""ts"") + s(Dist_To_River, by = Mud, k = 4, bs = ""ts"") + Mud + TH_PA",109.816046512369,153.225327922675,0.00083,NA,6,0,2.961,15.406,0.011,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Depth.by.TH_PA+Dist_To_River.by.Mud+Mud+TH_PA","Depth.by.TH_PA+Dist_To_River.by.Mud+Mud+TH_PA","s(Depth, by = TH_PA, k = 4, bs = ""ts"") + s(Dist_To_River, by = Mud, k = 4, bs = ""ts"") + Mud + TH_PA",109.816046541195,153.225327921721,0.00081,NA,7,1,2.961,15.406,0.011,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Depth.te.Dissolved.oxygen.Min+Dist_To_River.by.Mud+Mud","Depth.te.Dissolved.oxygen.Min+Dist_To_River.by.Mud+Mud","s(Dist_To_River, by = Mud, k = 4, bs = ""ts"") + te(Depth, Dissolved.oxygen.Min, k = 4, bs = c(""ts"", ""ts"")) + Mud",109.960650600343,158.124890217842,0.00357,NA,5.93,0,3.106,20.306,0.01,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Depth.by.Mud+Dissolved.oxygen.Min+Dist_To_River.by.Mud+Mud","Depth.by.Mud+Dissolved.oxygen.Min+Dist_To_River.by.Mud+Mud","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Depth, by = Mud, k = 4, bs = ""ts"") + s(Dist_To_River, by = Mud, k = 4, bs = ""ts"") + Mud",110.22769217483,158.86711825916,0.00097,NA,7,0,3.373,21.048,0.009,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Depth.te.Temperature.Min+Dist_To_River+Sand","Depth.te.Temperature.Min+Dist_To_River+Sand","s(Dist_To_River, k = 4, bs = ""ts"") + te(Depth, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Sand",110.255841062686,152.542046362642,0.00039,NA,4.98,0,3.401,14.723,0.008,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Depth.te.Temperature.Min+Dist_To_River.by.Sand+Sand","Depth.te.Temperature.Min+Dist_To_River.by.Sand+Sand","s(Dist_To_River, by = Sand, k = 4, bs = ""ts"") + te(Depth, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Sand",110.255842468615,152.542045422556,0.00041,NA,5.98,1,3.401,14.723,0.008,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Depth.te.Temperature.Min+Dist_To_River+Mud","Depth.te.Temperature.Min+Dist_To_River+Mud","s(Dist_To_River, k = 4, bs = ""ts"") + te(Depth, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Mud",110.349568015117,151.748955435231,0.00387,NA,4.88,0,3.494,13.93,0.008,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Depth.te.Temperature.Min+Dist_To_River+ST_Oysters","Depth.te.Temperature.Min+Dist_To_River+ST_Oysters","s(Dist_To_River, k = 4, bs = ""ts"") + te(Depth, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + ST_Oysters",110.370067109176,152.90614625138,0.00056,NA,5.01,0,3.515,15.087,0.008,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
