"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Depth","Dist_To_Shore","Dist_To_River","Primary.productivity.Max","Dissolved.oxygen.Min","Temperature.Min","Salinity.Min","BottomVegCover","Latitude","Sand","Mud","Rocks","Seagrass_PA","TH_PA","SY_PA","HA_PA","ST_Mangroves","ST_Oysters"
"Dist_To_Shore+Mud+Primary.productivity.Max.te.BottomVegCover","Dist_To_Shore+Mud+Primary.productivity.Max.te.BottomVegCover","s(Dist_To_Shore, k = 4, bs = ""ts"") + te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Mud",653.669461562956,770.943933911257,0.00729,NA,14.26,0,0,75.004,0.231,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Dist_To_Shore+Primary.productivity.Max.te.BottomVegCover","Dist_To_Shore+Primary.productivity.Max.te.BottomVegCover","s(Dist_To_Shore, k = 4, bs = ""ts"") + te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",654.500315265294,764.23245281717,0.00751,NA,13.25,0,0.831,68.293,0.152,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Dist_To_Shore+Primary.productivity.Max.te.BottomVegCover+ST_Oysters","Dist_To_Shore+Primary.productivity.Max.te.BottomVegCover+ST_Oysters","s(Dist_To_Shore, k = 4, bs = ""ts"") + te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + ST_Oysters",654.609166638522,771.565025101228,0.00174,NA,14.23,0,0.94,75.625,0.144,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Dist_To_Shore.by.ST_Oysters+Primary.productivity.Max.te.BottomVegCover+ST_Oysters","Dist_To_Shore.by.ST_Oysters+Primary.productivity.Max.te.BottomVegCover+ST_Oysters","s(Dist_To_Shore, by = ST_Oysters, k = 4, bs = ""ts"") + te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + ST_Oysters",654.609168362813,771.565026751699,0.00175,NA,15.23,1,0.94,75.625,0.144,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Dist_To_Shore.by.Mud+Mud+Primary.productivity.Max.te.BottomVegCover","Dist_To_Shore.by.Mud+Mud+Primary.productivity.Max.te.BottomVegCover","s(Dist_To_Shore, by = Mud, k = 4, bs = ""ts"") + te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Mud",655.943052254667,772.385089179627,0.00645,NA,15.11,1,2.274,76.445,0.074,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Dist_To_Shore+Primary.productivity.Max.te.BottomVegCover+Rocks","Dist_To_Shore+Primary.productivity.Max.te.BottomVegCover+Rocks","s(Dist_To_Shore, k = 4, bs = ""ts"") + te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Rocks",656.257117067639,773.34971976682,0.0075,NA,14.25,0,2.588,77.41,0.063,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Dist_To_Shore+Primary.productivity.Max.te.BottomVegCover+Sand","Dist_To_Shore+Primary.productivity.Max.te.BottomVegCover+Sand","s(Dist_To_Shore, k = 4, bs = ""ts"") + te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Sand",656.281444020587,773.288168831286,0.0076,NA,14.25,0,2.612,77.348,0.063,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Dist_To_Shore.by.Rocks+Primary.productivity.Max.te.BottomVegCover+Rocks","Dist_To_Shore.by.Rocks+Primary.productivity.Max.te.BottomVegCover+Rocks","s(Dist_To_Shore, by = Rocks, k = 4, bs = ""ts"") + te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Rocks",658.946975083344,779.188614584244,0.00716,NA,15.15,0,5.278,83.249,0.017,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Dist_To_Shore.by.Sand+Primary.productivity.Max.te.BottomVegCover+Sand","Dist_To_Shore.by.Sand+Primary.productivity.Max.te.BottomVegCover+Sand","s(Dist_To_Shore, by = Sand, k = 4, bs = ""ts"") + te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Sand",659.742323573407,781.576647484948,0.00715,NA,15.1,0,6.073,85.637,0.011,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Mud+Primary.productivity.Max.te.BottomVegCover+ST_Oysters","Mud+Primary.productivity.Max.te.BottomVegCover+ST_Oysters","te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Mud + ST_Oysters",659.91800868382,765.654481581765,0.00178,NA,13.27,0,6.249,69.715,0.01,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"Mud+Primary.productivity.Max.te.BottomVegCover","Mud+Primary.productivity.Max.te.BottomVegCover","te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Mud",659.931843343002,758.442195687711,0.00553,NA,12.29,0,6.262,62.502,0.01,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Primary.productivity.Max.te.BottomVegCover+ST_Oysters","Primary.productivity.Max.te.BottomVegCover+ST_Oysters","te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + ST_Oysters",661.311822523367,759.583652308169,0.00175,NA,12.22,0,7.642,63.644,0.005,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Dissolved.oxygen.Min.by.HA_PA+Dist_To_River.te.Temperature.Min+HA_PA","Dissolved.oxygen.Min.by.HA_PA+Dist_To_River.te.Temperature.Min+HA_PA","s(Dissolved.oxygen.Min, by = HA_PA, k = 4, bs = ""ts"") + te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA",661.325048807912,723.94445896095,0.00674,NA,8.73,1,7.656,28.005,0.005,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
