"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Depth","Dist_To_Shore","Dist_To_River","Primary.productivity.Max","Dissolved.oxygen.Min","Temperature.Min","Salinity.Min","BottomVegCover","Latitude","Sand","Mud","Rocks","Seagrass_PA","TH_PA","SY_PA","HA_PA","ST_Mangroves","ST_Oysters"
"Depth+Dist_To_River+Temperature.Min.by.TH_PA+TH_PA","Depth+Dist_To_River+Temperature.Min.by.TH_PA+TH_PA","s(Depth, k = 4, bs = ""ts"") + s(Dist_To_River, k = 4, bs = ""ts"") + s(Temperature.Min, by = TH_PA, k = 4, bs = ""ts"") + TH_PA",571.842616188792,634.885073091843,0.00274,NA,8.7,1,0,18.937,0.171,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Dist_To_Shore.te.BottomVegCover+Primary.productivity.Max.by.ST_Oysters+ST_Oysters","Dist_To_Shore.te.BottomVegCover+Primary.productivity.Max.by.ST_Oysters+ST_Oysters","s(Primary.productivity.Max, by = ST_Oysters, k = 4, bs = ""ts"") + te(Dist_To_Shore, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + ST_Oysters",572.686563680954,634.419877726211,0.00319,NA,8.76,1,0.844,18.472,0.112,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Dist_To_Shore.te.BottomVegCover+Primary.productivity.Max+ST_Oysters","Dist_To_Shore.te.BottomVegCover+Primary.productivity.Max+ST_Oysters","s(Primary.productivity.Max, k = 4, bs = ""ts"") + te(Dist_To_Shore, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + ST_Oysters",572.847204220092,634.718914023216,0.00316,NA,7.77,0,1.005,18.771,0.103,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Dist_To_Shore.by.Seagrass_PA+Primary.productivity.Max.by.ST_Oysters+Seagrass_PA+ST_Oysters","Dist_To_Shore.by.Seagrass_PA+Primary.productivity.Max.by.ST_Oysters+Seagrass_PA+ST_Oysters","s(Dist_To_Shore, by = Seagrass_PA, k = 4, bs = ""ts"") + s(Primary.productivity.Max, by = ST_Oysters, k = 4, bs = ""ts"") + Seagrass_PA + ST_Oysters",574.030533318619,618.547838945017,0.00262,NA,7,1,2.188,2.6,0.057,0.042,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Dist_To_Shore.by.Seagrass_PA+Primary.productivity.Max+Seagrass_PA+ST_Oysters","Dist_To_Shore.by.Seagrass_PA+Primary.productivity.Max+Seagrass_PA+ST_Oysters","s(Primary.productivity.Max, k = 4, bs = ""ts"") + s(Dist_To_Shore, by = Seagrass_PA, k = 4, bs = ""ts"") + Seagrass_PA + ST_Oysters",574.182147962065,618.815350473488,0.0026,NA,6,0,2.34,2.867,0.053,0.037,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Depth+Dist_To_River.te.Temperature.Min+TH_PA","Depth+Dist_To_River.te.Temperature.Min+TH_PA","s(Depth, k = 4, bs = ""ts"") + te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + TH_PA",574.803179973964,654.486187620403,0.00304,NA,9.45,0,2.961,38.538,0.039,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Dissolved.oxygen.Min+Dist_To_Shore.te.BottomVegCover+ST_Oysters","Dissolved.oxygen.Min+Dist_To_Shore.te.BottomVegCover+ST_Oysters","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + te(Dist_To_Shore, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + ST_Oysters",574.869430825148,635.660435950359,0.0032,NA,7.74,0,3.027,19.713,0.038,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"Depth+Dist_To_River.by.TH_PA+Temperature.Min.by.TH_PA+TH_PA","Depth+Dist_To_River.by.TH_PA+Temperature.Min.by.TH_PA+TH_PA","s(Depth, k = 4, bs = ""ts"") + s(Dist_To_River, by = TH_PA, k = 4, bs = ""ts"") + s(Temperature.Min, by = TH_PA, k = 4, bs = ""ts"") + TH_PA",575.439352320767,630.041506641641,0.00263,NA,8.74,2,3.597,14.094,0.028,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Dist_To_Shore.te.Dist_To_River+Primary.productivity.Max.by.TH_PA+TH_PA","Dist_To_Shore.te.Dist_To_River+Primary.productivity.Max.by.TH_PA+TH_PA","s(Primary.productivity.Max, by = TH_PA, k = 4, bs = ""ts"") + te(Dist_To_Shore, Dist_To_River, k = 4, bs = c(""ts"", ""ts"")) + TH_PA",575.544107661099,631.519556969267,0.0057,NA,7.96,1,3.701,15.572,0.027,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Dissolved.oxygen.Min.by.ST_Oysters+Dist_To_Shore.te.BottomVegCover+ST_Oysters","Dissolved.oxygen.Min.by.ST_Oysters+Dist_To_Shore.te.BottomVegCover+ST_Oysters","s(Dissolved.oxygen.Min, by = ST_Oysters, k = 4, bs = ""ts"") + te(Dist_To_Shore, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + ST_Oysters",575.860512431755,636.646824824516,0.00312,NA,8.75,1,4.018,20.699,0.023,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"Depth.by.TH_PA+Dist_To_River+Temperature.Min.by.TH_PA+TH_PA","Depth.by.TH_PA+Dist_To_River+Temperature.Min.by.TH_PA+TH_PA","s(Dist_To_River, k = 4, bs = ""ts"") + s(Depth, by = TH_PA, k = 4, bs = ""ts"") + s(Temperature.Min, by = TH_PA, k = 4, bs = ""ts"") + TH_PA",576.007455878211,644.810671110612,0.00283,NA,9.86,1,4.165,28.863,0.021,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Dist_To_Shore.by.Seagrass_PA+Primary.productivity.Max.by.Seagrass_PA+Seagrass_PA+ST_Oysters","Dist_To_Shore.by.Seagrass_PA+Primary.productivity.Max.by.Seagrass_PA+Seagrass_PA+ST_Oysters","s(Dist_To_Shore, by = Seagrass_PA, k = 4, bs = ""ts"") + s(Primary.productivity.Max, by = Seagrass_PA, k = 4, bs = ""ts"") + Seagrass_PA + ST_Oysters",576.29457473238,628.027247577516,0.0025,NA,7,0,4.452,12.079,0.018,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Dissolved.oxygen.Min+Dist_To_Shore.te.BottomVegCover+Sand","Dissolved.oxygen.Min+Dist_To_Shore.te.BottomVegCover+Sand","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + te(Dist_To_Shore, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Sand",576.531138614851,637.598123661377,0.00304,NA,7.78,0,4.689,21.65,0.016,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
