"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Depth","Dist_To_Shore","Dist_To_River","Primary.productivity.Max","Dissolved.oxygen.Min","Temperature.Min","Salinity.Min","BottomVegCover","Latitude","Sand","Mud","Rocks","Seagrass_PA","TH_PA","SY_PA","HA_PA"
"BottomVegCover.by.Sand+Latitude.by.SY_PA+Sand+SY_PA","BottomVegCover.by.Sand+Latitude.by.SY_PA+Sand+SY_PA","s(BottomVegCover, by = Sand, k = 4, bs = ""ts"") + s(Latitude, by = SY_PA, k = 4, bs = ""ts"") + Sand + SY_PA",684.794602812349,737.970111025238,0.01641,NA,8.56,2,0,15.371,0.038,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
"BottomVegCover.by.Sand+Latitude.by.Sand+Sand+SY_PA","BottomVegCover.by.Sand+Latitude.by.Sand+Sand+SY_PA","s(BottomVegCover, by = Sand, k = 4, bs = ""ts"") + s(Latitude, by = Sand, k = 4, bs = ""ts"") + Sand + SY_PA",685.66305198083,743.304252935497,0.00464,NA,8.27,1,0.868,20.706,0.024,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
"BottomVegCover+Latitude.by.SY_PA+SY_PA","BottomVegCover+Latitude.by.SY_PA+SY_PA","s(BottomVegCover, k = 4, bs = ""ts"") + s(Latitude, by = SY_PA, k = 4, bs = ""ts"") + SY_PA",685.93718221357,732.491670721563,0.0184,NA,6.59,1,1.143,9.893,0.021,0.001,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"BottomVegCover+Depth.by.SY_PA+Latitude.by.SY_PA+SY_PA","BottomVegCover+Depth.by.SY_PA+Latitude.by.SY_PA+SY_PA","s(BottomVegCover, k = 4, bs = ""ts"") + s(Depth, by = SY_PA, k = 4, bs = ""ts"") + s(Latitude, by = SY_PA, k = 4, bs = ""ts"") + SY_PA",685.93721988327,732.49176761,0.0184,NA,8.59,3,1.143,9.893,0.021,0.001,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"BottomVegCover+Dist_To_Shore+Latitude.by.SY_PA+SY_PA","BottomVegCover+Dist_To_Shore+Latitude.by.SY_PA+SY_PA","s(BottomVegCover, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Latitude, by = SY_PA, k = 4, bs = ""ts"") + SY_PA",685.937481363616,732.492874860975,0.0184,NA,7.59,2,1.143,9.894,0.021,0.001,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"BottomVegCover+Depth+Latitude.by.SY_PA+SY_PA","BottomVegCover+Depth+Latitude.by.SY_PA+SY_PA","s(BottomVegCover, k = 4, bs = ""ts"") + s(Depth, k = 4, bs = ""ts"") + s(Latitude, by = SY_PA, k = 4, bs = ""ts"") + SY_PA",685.937529273711,732.493148689585,0.0184,NA,7.59,2,1.143,9.894,0.021,0.001,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"BottomVegCover+Dist_To_Shore.by.SY_PA+Latitude.by.SY_PA+SY_PA","BottomVegCover+Dist_To_Shore.by.SY_PA+Latitude.by.SY_PA+SY_PA","s(BottomVegCover, k = 4, bs = ""ts"") + s(Dist_To_Shore, by = SY_PA, k = 4, bs = ""ts"") + s(Latitude, by = SY_PA, k = 4, bs = ""ts"") + SY_PA",685.937904008243,732.494708452903,0.0184,NA,8.59,3,1.143,9.896,0.021,0.001,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"BottomVegCover.by.SY_PA+Latitude.by.SY_PA+SY_PA","BottomVegCover.by.SY_PA+Latitude.by.SY_PA+SY_PA","s(BottomVegCover, by = SY_PA, k = 4, bs = ""ts"") + s(Latitude, by = SY_PA, k = 4, bs = ""ts"") + SY_PA",686.25534170923,732.776437795536,0.01856,NA,7.59,2,1.461,10.178,0.018,0.001,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"BottomVegCover.by.SY_PA+Depth+Latitude.by.SY_PA+SY_PA","BottomVegCover.by.SY_PA+Depth+Latitude.by.SY_PA+SY_PA","s(Depth, k = 4, bs = ""ts"") + s(BottomVegCover, by = SY_PA, k = 4, bs = ""ts"") + s(Latitude, by = SY_PA, k = 4, bs = ""ts"") + SY_PA",686.255463009841,732.776954490582,0.01856,NA,8.59,3,1.461,10.178,0.018,0.001,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"BottomVegCover.by.SY_PA+Depth.by.SY_PA+Latitude.by.SY_PA+SY_PA","BottomVegCover.by.SY_PA+Depth.by.SY_PA+Latitude.by.SY_PA+SY_PA","s(BottomVegCover, by = SY_PA, k = 4, bs = ""ts"") + s(Depth, by = SY_PA, k = 4, bs = ""ts"") + s(Latitude, by = SY_PA, k = 4, bs = ""ts"") + SY_PA",686.255836520566,732.778543708385,0.01856,NA,9.59,4,1.461,10.18,0.018,0.001,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
