"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Depth","Dist_To_Shore","Dist_To_River","Primary.productivity.Max","Dissolved.oxygen.Min","Temperature.Min","Salinity.Min","BottomVegCover","Latitude","Sand","Mud","Rocks","Seagrass_PA","TH_PA","SY_PA","HA_PA","ST_Mangroves","ST_Oysters"
"Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_River.te.BottomVegCover","Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_River.te.BottomVegCover","te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + te(Dist_To_River, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",3572.14405824333,3706.35623660815,0.01911,NA,15.63,0,0,13.128,0.57,0.001,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min+Rocks","BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min+Rocks","s(BottomVegCover, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Rocks",3575.30105302955,3695.93620394607,0.01929,NA,13.89,0,3.157,2.708,0.118,0.104,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"Depth.te.BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min","Depth.te.BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min","te(Depth, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",3575.71179843525,3733.82043257777,0.0196,NA,17.52,0,3.568,40.592,0.096,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"BottomVegCover.by.Rocks+Dissolved.oxygen.Min.te.Temperature.Min+Rocks","BottomVegCover.by.Rocks+Dissolved.oxygen.Min.te.Temperature.Min+Rocks","s(BottomVegCover, by = Rocks, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Rocks",3575.87282156278,3705.9169641548,0.01936,NA,14.89,0,3.729,12.689,0.088,0.001,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore","BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore","s(BottomVegCover, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",3577.48749888353,3699.8882747404,0.01882,NA,14.03,0,5.343,6.66,0.039,0.014,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"BottomVegCover+Depth+Dissolved.oxygen.Min.te.Temperature.Min","BottomVegCover+Depth+Dissolved.oxygen.Min.te.Temperature.Min","s(BottomVegCover, k = 4, bs = ""ts"") + s(Depth, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",3577.69739236914,3698.50558122115,0.01913,NA,13.7,0,5.553,5.278,0.036,0.029,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min+Mud","BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min+Mud","s(BottomVegCover, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Mud",3579.65567260189,3700.38693219624,0.01898,NA,13.94,0,7.512,7.159,0.013,0.011,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
"BottomVegCover.by.ST_Oysters+Dissolved.oxygen.Min.te.Temperature.Min+ST_Oysters","BottomVegCover.by.ST_Oysters+Dissolved.oxygen.Min.te.Temperature.Min+ST_Oysters","s(BottomVegCover, by = ST_Oysters, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + ST_Oysters",3580.13161439218,3709.9553166994,0.01853,NA,14.89,0,7.988,16.727,0.011,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
"BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min","BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min","s(BottomVegCover, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",3580.85933495344,3693.22807461497,0.01882,NA,12.89,0,8.715,0,0.007,0.404,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_River","BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_River","s(BottomVegCover, k = 4, bs = ""ts"") + s(Dist_To_River, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",3581.09661939768,3694.41385295445,0.01882,NA,13.89,1,8.953,1.186,0.006,0.223,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
