"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Depth","Dist_To_Shore","Dist_To_River","Primary.productivity.Max","Dissolved.oxygen.Min","Temperature.Min","Salinity.Min","BottomVegCover","Latitude","Sand","Mud","Rocks","Seagrass_PA","TH_PA","SY_PA","HA_PA","ST_Mangroves","ST_Oysters"
"Depth.te.BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min","Depth.te.BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min","te(Depth, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",3404.74810294249,3555.74305372429,0.01518,NA,16.91,0,0,25.846,0.946,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Depth+Dissolved.oxygen.Min+Temperature.Min.te.BottomVegCover","Depth+Dissolved.oxygen.Min+Temperature.Min.te.BottomVegCover","s(Depth, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + te(Temperature.Min, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",3411.31563768677,3529.89727067576,0.01592,NA,14.02,0,6.568,0,0.035,0.882,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"BottomVegCover+Depth+Dissolved.oxygen.Min.te.Temperature.Min","BottomVegCover+Depth+Dissolved.oxygen.Min.te.Temperature.Min","s(BottomVegCover, k = 4, bs = ""ts"") + s(Depth, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",3414.50604347532,3540.48688822575,0.01521,NA,14.13,0,9.758,10.59,0.007,0.004,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Depth.te.BottomVegCover+Dissolved.oxygen.Min+Temperature.Min","Depth.te.BottomVegCover+Dissolved.oxygen.Min+Temperature.Min","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"") + te(Depth, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",3414.86349335606,3541.74780035817,0.01482,NA,14.93,0,10.115,11.851,0.006,0.002,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Depth.te.Dissolved.oxygen.Min+Temperature.Min.te.BottomVegCover","Depth.te.Dissolved.oxygen.Min+Temperature.Min.te.BottomVegCover","te(Depth, Dissolved.oxygen.Min, k = 4, bs = c(""ts"", ""ts"")) + te(Temperature.Min, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",3415.45212011438,3571.80651346784,0.01618,NA,18.11,0,10.704,41.909,0.004,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Depth.te.Temperature.Min+Dissolved.oxygen.Min.te.BottomVegCover","Depth.te.Temperature.Min+Dissolved.oxygen.Min.te.BottomVegCover","te(Depth, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + te(Dissolved.oxygen.Min, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",3420.30800248348,3573.77216868427,0.0169,NA,17.97,0,15.56,43.875,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Depth+Dissolved.oxygen.Min.te.BottomVegCover+Temperature.Min","Depth+Dissolved.oxygen.Min.te.BottomVegCover+Temperature.Min","s(Depth, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",3423.47428763169,3548.7638823801,0.01627,NA,14.66,0,18.726,18.867,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Depth.te.BottomVegCover+Dist_To_Shore.te.Primary.productivity.Max","Depth.te.BottomVegCover+Dist_To_Shore.te.Primary.productivity.Max","te(Depth, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + te(Dist_To_Shore, Primary.productivity.Max, k = 4, bs = c(""ts"", ""ts""))",3428.66716357945,3580.23303052033,0.01474,NA,17.43,0,23.919,50.336,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Depth.te.BottomVegCover+Dist_To_River.te.Primary.productivity.Max","Depth.te.BottomVegCover+Dist_To_River.te.Primary.productivity.Max","te(Depth, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + te(Dist_To_River, Primary.productivity.Max, k = 4, bs = c(""ts"", ""ts""))",3432.92954368191,3569.01129756768,0.01323,NA,15.49,0,28.181,39.114,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Depth.te.BottomVegCover+Dist_To_Shore.te.Dissolved.oxygen.Min","Depth.te.BottomVegCover+Dist_To_Shore.te.Dissolved.oxygen.Min","te(Depth, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + te(Dist_To_Shore, Dissolved.oxygen.Min, k = 4, bs = c(""ts"", ""ts""))",3436.07102426821,3583.14384885253,0.01441,NA,16.99,0,31.323,53.247,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
