"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Depth","Dist_To_Shore","Dist_To_River","Primary.productivity.Max","Dissolved.oxygen.Min","Temperature.Min","Salinity.Min","BottomVegCover","Latitude","Sand","Mud","Rocks","Seagrass_PA","TH_PA","SY_PA","HA_PA","ST_Mangroves","ST_Oysters"
"Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore.by.HA_PA+HA_PA","Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore.by.HA_PA+HA_PA","s(Dist_To_Shore, by = HA_PA, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA",2580.27077450365,2688.36715802573,5e-04,NA,13,0,0,4.192,0.728,0.08,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
"Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_River.by.HA_PA+HA_PA","Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_River.by.HA_PA+HA_PA","s(Dist_To_River, by = HA_PA, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA",2583.03664698379,2684.17553979813,0.00043,NA,14.17,2,2.766,0,0.183,0.647,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
"Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore+HA_PA","Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore+HA_PA","s(Dist_To_Shore, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA",2585.57826820692,2685.90361953618,5e-04,NA,12,0,5.307,1.728,0.051,0.273,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
"Depth+Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore","Depth+Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore","s(Depth, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",2587.53872145867,2704.79612289458,0.00048,NA,13.76,0,7.268,20.621,0.019,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Depth.te.Dist_To_Shore+Dissolved.oxygen.Min.te.Temperature.Min","Depth.te.Dist_To_Shore+Dissolved.oxygen.Min.te.Temperature.Min","te(Depth, Dist_To_Shore, k = 4, bs = c(""ts"", ""ts"")) + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",2588.97489690586,2718.7897674793,0.00047,NA,15.1,0,8.704,34.614,0.009,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore+Mud","Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore+Mud","s(Dist_To_Shore, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Mud",2590.28490674302,2699.77968675885,0.00045,NA,13.15,0,10.014,15.604,0.005,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore.by.Mud+Mud","Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore.by.Mud+Mud","s(Dist_To_Shore, by = Mud, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Mud",2590.56746327938,2707.80259797185,0.00045,NA,14.16,0,10.297,23.627,0.004,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore+Seagrass_PA","Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore+Seagrass_PA","s(Dist_To_Shore, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Seagrass_PA",2594.93356689248,2704.83079872518,0.00044,NA,13.16,0,14.663,20.655,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore.by.Seagrass_PA+Seagrass_PA","Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore.by.Seagrass_PA+Seagrass_PA","s(Dist_To_Shore, by = Seagrass_PA, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Seagrass_PA",2595.72085303927,2713.59439242116,0.00044,NA,14.16,0,15.45,29.419,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min+Mud","BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min+Mud","s(BottomVegCover, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Mud",2598.13704343338,2720.31027153061,0.00044,NA,14.49,0,17.866,36.135,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
