"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Depth","Dist_To_Shore","Dist_To_River","Primary.productivity.Max","Dissolved.oxygen.Min","Temperature.Min","Salinity.Min","BottomVegCover","Latitude","Sand","Mud","Rocks","Seagrass_PA","TH_PA","SY_PA","HA_PA"
"Depth.by.HA_PA+Dissolved.oxygen.Min.te.Temperature.Min+HA_PA","Depth.by.HA_PA+Dissolved.oxygen.Min.te.Temperature.Min+HA_PA","s(Depth, by = HA_PA, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA",65700.502764312,65845.1633347948,0.00104,NA,21.44,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Depth+Dissolved.oxygen.Min.te.Temperature.Min+HA_PA","Depth+Dissolved.oxygen.Min.te.Temperature.Min+HA_PA","s(Depth, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA",65747.2153571231,65876.3969764433,0.00104,NA,19.33,0,46.713,31.234,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_River.by.HA_PA+HA_PA","Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_River.by.HA_PA+HA_PA","s(Dist_To_River, by = HA_PA, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA",66394.4933856524,66524.5356817205,0.00108,NA,20.55,1,693.991,679.372,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"Dissolved.oxygen.Min.te.Temperature.Min+HA_PA+Mud","Dissolved.oxygen.Min.te.Temperature.Min+HA_PA+Mud","te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA + Mud",66437.6199786791,66555.0117127812,0.00107,NA,17.82,0,737.117,709.848,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
"Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_River+HA_PA","Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_River+HA_PA","s(Dist_To_River, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA",66448.3916573905,66578.691894792,0.00109,NA,19.67,0,747.889,733.529,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore.by.HA_PA+HA_PA","Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore.by.HA_PA+HA_PA","s(Dist_To_Shore, by = HA_PA, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA",66498.5220442804,66624.80448337,0.00108,NA,19,0,798.019,779.641,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Dissolved.oxygen.Min.te.Temperature.Min+HA_PA+Rocks","Dissolved.oxygen.Min.te.Temperature.Min+HA_PA+Rocks","te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA + Rocks",66563.2393062726,66680.6450655134,0.00107,NA,17.82,0,862.737,835.482,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
"Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore+HA_PA","Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore+HA_PA","s(Dist_To_Shore, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA",66614.3685220862,66733.7266120355,0.00108,NA,17.96,0,913.866,888.563,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Dissolved.oxygen.Min.te.Temperature.Min+HA_PA+Sand","Dissolved.oxygen.Min.te.Temperature.Min+HA_PA+Sand","te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA + Sand",66668.4714479971,66785.8667366643,0.00107,NA,17.81,0,967.969,940.703,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
"Dissolved.oxygen.Min.te.Temperature.Min+HA_PA+SY_PA","Dissolved.oxygen.Min.te.Temperature.Min+HA_PA+SY_PA","te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA + SY_PA",66672.8557339558,66790.2512813741,0.00107,NA,17.82,0,972.353,945.088,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
"Dissolved.oxygen.Min.te.Temperature.Min+HA_PA","Dissolved.oxygen.Min.te.Temperature.Min+HA_PA","te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA",66673.756635672,66784.6309970704,0.00107,NA,16.82,0,973.254,939.468,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
