"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Depth","Dist_To_Shore","Dist_To_River","Primary.productivity.Max","Dissolved.oxygen.Min","Temperature.Min","Salinity.Min","BottomVegCover","Latitude","Sand","Mud","Rocks","Seagrass_PA","TH_PA","SY_PA","HA_PA","ST_Mangroves","ST_Oysters"
"Depth.te.Temperature.Min+Dist_To_Shore.te.Dissolved.oxygen.Min","Depth.te.Temperature.Min+Dist_To_Shore.te.Dissolved.oxygen.Min","te(Depth, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + te(Dist_To_Shore, Dissolved.oxygen.Min, k = 4, bs = c(""ts"", ""ts""))",6215.36847406521,6378.67811235005,0.00809,NA,18.66,0,0,18.915,0.997,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Depth.te.Temperature.Min+Dissolved.oxygen.Min+Dist_To_Shore","Depth.te.Temperature.Min+Dissolved.oxygen.Min+Dist_To_Shore","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + te(Depth, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",6226.76251423885,6369.05952282237,0.00791,NA,16.66,0,11.394,9.296,0.003,0.007,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Depth.te.Dist_To_Shore+Dissolved.oxygen.Min.te.Temperature.Min","Depth.te.Dist_To_Shore+Dissolved.oxygen.Min.te.Temperature.Min","te(Depth, Dist_To_Shore, k = 4, bs = c(""ts"", ""ts"")) + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",6249.17493187969,6405.93863235842,0.00697,NA,17.99,0,33.806,46.176,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Depth+Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore","Depth+Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore","s(Depth, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",6249.19569839583,6383.10309328836,0.00665,NA,15.55,0,33.827,23.34,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Depth.te.Dist_To_Shore+Dist_To_River.te.Temperature.Min","Depth.te.Dist_To_Shore+Dist_To_River.te.Temperature.Min","te(Depth, Dist_To_Shore, k = 4, bs = c(""ts"", ""ts"")) + te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",6253.786242601,6404.7589491447,0.02987,NA,17.01,0,38.418,44.996,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Depth.te.Dist_To_River+Dist_To_Shore.te.Dissolved.oxygen.Min","Depth.te.Dist_To_River+Dist_To_Shore.te.Dissolved.oxygen.Min","te(Depth, Dist_To_River, k = 4, bs = c(""ts"", ""ts"")) + te(Dist_To_Shore, Dissolved.oxygen.Min, k = 4, bs = c(""ts"", ""ts""))",6254.04266903804,6409.73747241827,0.02391,NA,17,0,38.674,49.974,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Depth+Dist_To_River.te.Temperature.Min+Dist_To_Shore","Depth+Dist_To_River.te.Temperature.Min+Dist_To_Shore","s(Depth, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",6254.82954853134,6387.7844045206,0.03281,NA,15.01,0,39.461,28.021,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Depth.te.Dissolved.oxygen.Min+Dist_To_Shore.te.Temperature.Min","Depth.te.Dissolved.oxygen.Min+Dist_To_Shore.te.Temperature.Min","te(Depth, Dissolved.oxygen.Min, k = 4, bs = c(""ts"", ""ts"")) + te(Dist_To_Shore, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",6255.53429331909,6417.26774402087,0.00661,NA,18.53,0,40.166,57.505,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Depth.te.Dist_To_River+Dissolved.oxygen.Min+Dist_To_Shore","Depth.te.Dist_To_River+Dissolved.oxygen.Min+Dist_To_Shore","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + te(Depth, Dist_To_River, k = 4, bs = c(""ts"", ""ts""))",6260.1260262151,6401.29275951944,0.02675,NA,15.69,0,44.758,41.53,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Depth.by.Mud+Dist_To_Shore.te.Dissolved.oxygen.Min+Mud","Depth.by.Mud+Dist_To_Shore.te.Dissolved.oxygen.Min+Mud","s(Depth, by = Mud, k = 4, bs = ""ts"") + te(Dist_To_Shore, Dissolved.oxygen.Min, k = 4, bs = c(""ts"", ""ts"")) + Mud",6263.15707988499,6370.07769129732,0.02659,NA,12.15,0,47.789,10.315,0,0.004,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
