"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Depth","Dist_To_Shore","Dist_To_River","Primary.productivity.Max","Dissolved.oxygen.Min","Temperature.Min","Salinity.Min","BottomVegCover","Latitude","Sand","Mud","Rocks","Seagrass_PA","TH_PA","SY_PA","HA_PA"
"BottomVegCover","BottomVegCover","s(BottomVegCover, k = 4, bs = ""ts"")",2.00078462142247,8.53699581871483,0,NA,2,1,0,0,0.001,0.003,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Latitude","Latitude","s(Latitude, k = 4, bs = ""ts"")",2.00078462142247,8.53699581871486,0,NA,2,1,0,0,0.001,0.003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Salinity.Min","Salinity.Min","s(Salinity.Min, k = 4, bs = ""ts"")",2.00078462142249,8.53699581871494,0,NA,2,1,0,0,0.001,0.003,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Depth","Depth","s(Depth, k = 4, bs = ""ts"")",2.0007846214225,8.536995818715,0,NA,2,1,0,0,0.001,0.003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BottomVegCover+Latitude","BottomVegCover+Latitude","s(BottomVegCover, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"")",2.00078462142251,8.53699581871501,0,NA,3,2,0,0,0.001,0.003,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Dist_To_River+Latitude","Dist_To_River+Latitude","s(Dist_To_River, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"")",2.00078462142251,8.53699581871503,0,NA,3,2,0,0,0.001,0.003,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Temperature.Min.te.BottomVegCover","Temperature.Min.te.BottomVegCover","te(Temperature.Min, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",2.00078462142253,8.5369958187151,0,NA,2,1,0,0,0.001,0.003,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"BottomVegCover+Depth","BottomVegCover+Depth","s(BottomVegCover, k = 4, bs = ""ts"") + s(Depth, k = 4, bs = ""ts"")",2.00078462142254,8.53699581871515,0,NA,3,2,0,0,0.001,0.003,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Depth+Dist_To_River","Depth+Dist_To_River","s(Depth, k = 4, bs = ""ts"") + s(Dist_To_River, k = 4, bs = ""ts"")",2.00078462142254,8.53699581871517,0,NA,3,2,0,0,0.001,0.003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Depth+Latitude","Depth+Latitude","s(Depth, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"")",2.00078462142255,8.53699581871518,0,NA,3,2,0,0,0.001,0.003,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
