"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Depth","Dist_To_Shore","Dist_To_River","Primary.productivity.Max","Dissolved.oxygen.Min","Temperature.Min","Salinity.Min","BottomVegCover","Latitude","Sand","Mud","Rocks","Seagrass_PA","TH_PA","SY_PA","HA_PA","ST_Mangroves","ST_Oysters"
"BottomVegCover.by.Mud+Depth+Latitude+Mud","BottomVegCover.by.Mud+Depth+Latitude+Mud","s(Depth, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"") + s(BottomVegCover, by = Mud, k = 4, bs = ""ts"") + Mud",2589.44383055893,2681.72294362845,0.01382,NA,10.68,0,0,19.56,0.215,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"BottomVegCover+Depth.te.Latitude+Mud","BottomVegCover+Depth.te.Latitude+Mud","s(BottomVegCover, k = 4, bs = ""ts"") + te(Depth, Latitude, k = 4, bs = c(""ts"", ""ts"")) + Mud",2589.67411594092,2701.88736602623,0.01241,NA,12.39,0,0.23,39.724,0.192,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"BottomVegCover.by.Mud+Depth.te.Latitude+Mud","BottomVegCover.by.Mud+Depth.te.Latitude+Mud","s(BottomVegCover, by = Mud, k = 4, bs = ""ts"") + te(Depth, Latitude, k = 4, bs = c(""ts"", ""ts"")) + Mud",2590.56160057184,2712.3611351978,0.01223,NA,13.42,0,1.118,50.198,0.123,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"Dist_To_Shore.te.BottomVegCover+Latitude+Mud","Dist_To_Shore.te.BottomVegCover+Latitude+Mud","s(Latitude, k = 4, bs = ""ts"") + te(Dist_To_Shore, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Mud",2591.08862973601,2689.04243842352,0.01314,NA,10.71,0,1.645,26.879,0.094,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"BottomVegCover+Depth.te.Dist_To_Shore+Latitude","BottomVegCover+Depth.te.Dist_To_Shore+Latitude","s(BottomVegCover, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"") + te(Depth, Dist_To_Shore, k = 4, bs = c(""ts"", ""ts""))",2591.53300402167,2684.19880103109,0.01321,NA,10.08,0,2.089,22.036,0.076,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Depth.te.BottomVegCover+Latitude+Mud","Depth.te.BottomVegCover+Latitude+Mud","s(Latitude, k = 4, bs = ""ts"") + te(Depth, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Mud",2592.50809334688,2696.94216063314,0.01389,NA,11.7,0,3.064,34.779,0.046,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"Depth.te.Latitude+Dist_To_Shore.te.BottomVegCover","Depth.te.Latitude+Dist_To_Shore.te.BottomVegCover","te(Depth, Latitude, k = 4, bs = c(""ts"", ""ts"")) + te(Dist_To_Shore, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",2592.67030048928,2726.75404186232,0.01243,NA,14.11,0,3.226,64.591,0.043,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"BottomVegCover+Depth.te.Latitude+Dist_To_Shore","BottomVegCover+Depth.te.Latitude+Dist_To_Shore","s(BottomVegCover, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + te(Depth, Latitude, k = 4, bs = c(""ts"", ""ts""))",2593.09039453016,2700.24776311077,0.01233,NA,11.73,0,3.647,38.084,0.035,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"BottomVegCover+Dist_To_Shore+Latitude+Mud","BottomVegCover+Dist_To_Shore+Latitude+Mud","s(BottomVegCover, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"") + Mud",2594.53705588176,2662.16328143663,0.01316,NA,7.92,0,5.093,0,0.017,0.491,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"BottomVegCover+Depth+Dist_To_River.te.Latitude","BottomVegCover+Depth+Dist_To_River.te.Latitude","s(BottomVegCover, k = 4, bs = ""ts"") + s(Depth, k = 4, bs = ""ts"") + te(Dist_To_River, Latitude, k = 4, bs = c(""ts"", ""ts""))",2594.69599896349,2705.48922168456,0.01322,NA,12.29,0,5.252,43.326,0.016,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Depth.te.BottomVegCover+Dist_To_Shore+Latitude","Depth.te.BottomVegCover+Dist_To_Shore+Latitude","s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"") + te(Depth, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",2594.70083294468,2697.96238330664,0.01265,NA,11.41,0,5.257,35.799,0.016,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"BottomVegCover.te.Latitude+Depth+Mud","BottomVegCover.te.Latitude+Depth+Mud","s(Depth, k = 4, bs = ""ts"") + te(BottomVegCover, Latitude, k = 4, bs = c(""ts"", ""ts"")) + Mud",2595.14213244083,2701.86595748958,0.01395,NA,12.24,0,5.698,39.703,0.012,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"Dist_To_Shore.te.BottomVegCover+Latitude.by.Mud+Mud","Dist_To_Shore.te.BottomVegCover+Latitude.by.Mud+Mud","s(Latitude, by = Mud, k = 4, bs = ""ts"") + te(Dist_To_Shore, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Mud",2595.28408012433,2704.01270014782,0.01324,NA,11.86,0,5.84,41.849,0.012,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"BottomVegCover+Depth+Latitude.by.Mud+Mud","BottomVegCover+Depth+Latitude.by.Mud+Mud","s(BottomVegCover, k = 4, bs = ""ts"") + s(Depth, k = 4, bs = ""ts"") + s(Latitude, by = Mud, k = 4, bs = ""ts"") + Mud",2595.37633423041,2691.5122723807,0.01416,NA,11.03,0,5.933,29.349,0.011,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"BottomVegCover+Depth+Mud+Temperature.Min","BottomVegCover+Depth+Mud+Temperature.Min","s(BottomVegCover, k = 4, bs = ""ts"") + s(Depth, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"") + Mud",2595.79958164209,2677.89212269556,0.01236,NA,9.53,0,6.356,15.729,0.009,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"Depth+Dist_To_River.te.BottomVegCover+Latitude","Depth+Dist_To_River.te.BottomVegCover+Latitude","s(Depth, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"") + te(Dist_To_River, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",2595.83593539553,2715.56254247269,0.01353,NA,13.17,0,6.392,53.399,0.009,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"BottomVegCover+Dist_To_Shore.te.Latitude+Mud","BottomVegCover+Dist_To_Shore.te.Latitude+Mud","s(BottomVegCover, k = 4, bs = ""ts"") + te(Dist_To_Shore, Latitude, k = 4, bs = c(""ts"", ""ts"")) + Mud",2596.38167900811,2680.34341411629,0.01196,NA,9.34,0,6.938,18.18,0.007,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"BottomVegCover.te.Latitude+Depth.te.Dist_To_Shore","BottomVegCover.te.Latitude+Depth.te.Dist_To_Shore","te(BottomVegCover, Latitude, k = 4, bs = c(""ts"", ""ts"")) + te(Depth, Dist_To_Shore, k = 4, bs = c(""ts"", ""ts""))",2596.41300349826,2710.49488409349,0.01339,NA,12.6,0,6.969,48.332,0.007,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"BottomVegCover+Dist_To_Shore.by.Mud+Latitude+Mud","BottomVegCover+Dist_To_Shore.by.Mud+Latitude+Mud","s(BottomVegCover, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"") + s(Dist_To_Shore, by = Mud, k = 4, bs = ""ts"") + Mud",2596.4872438781,2671.68952045493,0.01325,NA,8.92,0,7.043,9.526,0.006,0.004,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"BottomVegCover.by.Mud+Depth+Latitude.by.Mud+Mud","BottomVegCover.by.Mud+Depth+Latitude.by.Mud+Mud","s(Depth, k = 4, bs = ""ts"") + s(BottomVegCover, by = Mud, k = 4, bs = ""ts"") + s(Latitude, by = Mud, k = 4, bs = ""ts"") + Mud",2596.88907096001,2705.77597365913,0.01403,NA,12.36,0,7.445,43.613,0.005,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"BottomVegCover.by.Mud+Dist_To_Shore+Latitude+Mud","BottomVegCover.by.Mud+Dist_To_Shore+Latitude+Mud","s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"") + s(BottomVegCover, by = Mud, k = 4, bs = ""ts"") + Mud",2596.89453976109,2674.13301397708,0.01304,NA,8.95,0,7.451,11.97,0.005,0.001,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"Depth.te.BottomVegCover+Dist_To_Shore.te.Latitude","Depth.te.BottomVegCover+Dist_To_Shore.te.Latitude","te(Depth, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + te(Dist_To_Shore, Latitude, k = 4, bs = c(""ts"", ""ts""))",2597.41439178235,2717.75697766266,0.01163,NA,12.86,0,7.971,55.594,0.004,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"BottomVegCover.by.Mud+Depth+Mud+Temperature.Min","BottomVegCover.by.Mud+Depth+Mud+Temperature.Min","s(Depth, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"") + s(BottomVegCover, by = Mud, k = 4, bs = ""ts"") + Mud",2597.49346238005,2688.26106462055,0.01225,NA,10.47,0,8.05,26.098,0.004,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"Depth.te.Latitude+Dist_To_River.te.BottomVegCover","Depth.te.Latitude+Dist_To_River.te.BottomVegCover","te(Depth, Latitude, k = 4, bs = c(""ts"", ""ts"")) + te(Dist_To_River, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",2597.97475626519,2742.34182991898,0.01207,NA,15.68,0,8.531,80.179,0.003,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Depth.te.BottomVegCover+Mud+Temperature.Min","Depth.te.BottomVegCover+Mud+Temperature.Min","s(Temperature.Min, k = 4, bs = ""ts"") + te(Depth, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Mud",2598.62003055041,2700.48858939434,0.01245,NA,11.4,0,9.176,38.325,0.002,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
