"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Depth","Dist_To_Shore","Dist_To_River","Primary.productivity.Max","Dissolved.oxygen.Min","Temperature.Min","Salinity.Min","BottomVegCover","Latitude","Sand","Mud","Rocks","Seagrass_PA","TH_PA","SY_PA","HA_PA","ST_Mangroves","ST_Oysters"
"Depth.te.BottomVegCover+Dist_To_Shore.te.Dissolved.oxygen.Min","Depth.te.BottomVegCover+Dist_To_Shore.te.Dissolved.oxygen.Min","te(Depth, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + te(Dist_To_Shore, Dissolved.oxygen.Min, k = 4, bs = c(""ts"", ""ts""))",7253.95302188347,7403.91982172693,0.02633,NA,17.6,0,0,23.957,0.975,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"BottomVegCover+Depth+Dist_To_Shore.te.Dissolved.oxygen.Min","BottomVegCover+Depth+Dist_To_Shore.te.Dissolved.oxygen.Min","s(BottomVegCover, k = 4, bs = ""ts"") + s(Depth, k = 4, bs = ""ts"") + te(Dist_To_Shore, Dissolved.oxygen.Min, k = 4, bs = c(""ts"", ""ts""))",7261.66662953065,7379.96273412584,0.02595,NA,13.77,0,7.714,0,0.021,0.646,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Depth.te.BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min","Depth.te.BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min","te(Depth, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",7265.20570134095,7421.77623382185,0.02528,NA,18.65,0,11.253,41.813,0.004,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"BottomVegCover+Depth+Dissolved.oxygen.Min.te.Temperature.Min","BottomVegCover+Depth+Dissolved.oxygen.Min.te.Temperature.Min","s(BottomVegCover, k = 4, bs = ""ts"") + s(Depth, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",7268.39227866814,7394.23794520185,0.02508,NA,14.88,0,14.439,14.275,0.001,0.001,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Depth+Dissolved.oxygen.Min+Dist_To_Shore.te.BottomVegCover","Depth+Dissolved.oxygen.Min+Dist_To_Shore.te.BottomVegCover","s(Depth, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + te(Dist_To_Shore, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",7271.37041361941,7415.50321388007,0.02903,NA,16.97,0,17.417,35.54,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Depth.te.Dissolved.oxygen.Min+Dist_To_Shore.te.BottomVegCover","Depth.te.Dissolved.oxygen.Min+Dist_To_Shore.te.BottomVegCover","te(Depth, Dissolved.oxygen.Min, k = 4, bs = c(""ts"", ""ts"")) + te(Dist_To_Shore, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",7276.10135834013,7463.08804897998,0.02869,NA,21.83,0,22.148,83.125,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Depth.te.Dist_To_Shore+Dissolved.oxygen.Min.te.BottomVegCover","Depth.te.Dist_To_Shore+Dissolved.oxygen.Min.te.BottomVegCover","te(Depth, Dist_To_Shore, k = 4, bs = c(""ts"", ""ts"")) + te(Dissolved.oxygen.Min, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",7280.13499407377,7434.91793621669,0.03025,NA,18.15,0,26.182,54.955,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Depth+Dissolved.oxygen.Min.te.BottomVegCover+Dist_To_Shore","Depth+Dissolved.oxygen.Min.te.BottomVegCover+Dist_To_Shore","s(Depth, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",7283.85475544208,7420.25638302204,0.02968,NA,16.26,0,29.902,40.294,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Depth.te.BottomVegCover+Dissolved.oxygen.Min+Dist_To_Shore","Depth.te.BottomVegCover+Dissolved.oxygen.Min+Dist_To_Shore","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + te(Depth, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",7284.71119444734,7405.17751583257,0.03011,NA,14.53,0,30.758,25.215,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"BottomVegCover+Depth.te.Dist_To_Shore+Dissolved.oxygen.Min","BottomVegCover+Depth.te.Dist_To_Shore+Dissolved.oxygen.Min","s(BottomVegCover, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + te(Depth, Dist_To_Shore, k = 4, bs = c(""ts"", ""ts""))",7288.74811565158,7396.0018502172,0.02994,NA,12.61,0,34.795,16.039,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
