"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Depth","Dist_To_Shore","Dist_To_River","Primary.productivity.Max","Dissolved.oxygen.Min","Temperature.Min","Salinity.Min","BottomVegCover","Latitude","Sand","Mud","Rocks","Seagrass_PA","TH_PA","SY_PA","HA_PA","ST_Mangroves","ST_Oysters"
"BottomVegCover+Depth.te.Temperature.Min+Dissolved.oxygen.Min","BottomVegCover+Depth.te.Temperature.Min+Dissolved.oxygen.Min","s(BottomVegCover, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + te(Depth, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",888.691668501941,979.708685819673,0.00814,NA,9.72,0,0,33.411,0.066,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Dissolved.oxygen.Min.te.BottomVegCover+Dist_To_Shore+Temperature.Min","Dissolved.oxygen.Min.te.BottomVegCover+Dist_To_Shore+Temperature.Min","s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",889.610213092567,971.189968062199,0.01039,NA,8.69,0,0.919,24.893,0.042,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Dist_To_Shore+Primary.productivity.Max.te.BottomVegCover+Sand","Dist_To_Shore+Primary.productivity.Max.te.BottomVegCover+Sand","s(Dist_To_Shore, k = 4, bs = ""ts"") + te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Sand",890.658626559749,972.167974444713,0.00144,NA,9.23,0,1.967,25.871,0.025,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Dist_To_Shore.by.Sand+Primary.productivity.Max.te.BottomVegCover+Sand","Dist_To_Shore.by.Sand+Primary.productivity.Max.te.BottomVegCover+Sand","s(Dist_To_Shore, by = Sand, k = 4, bs = ""ts"") + te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Sand",890.721207308111,972.479174876109,0.00144,NA,10.23,1,2.03,26.182,0.024,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Dist_To_Shore+Primary.productivity.Max.te.BottomVegCover+Rocks","Dist_To_Shore+Primary.productivity.Max.te.BottomVegCover+Rocks","s(Dist_To_Shore, k = 4, bs = ""ts"") + te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Rocks",890.752139406287,973.59187115683,0.00218,NA,9.34,0,2.06,27.295,0.024,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Dist_To_Shore.by.Rocks+Primary.productivity.Max.te.BottomVegCover+Rocks","Dist_To_Shore.by.Rocks+Primary.productivity.Max.te.BottomVegCover+Rocks","s(Dist_To_Shore, by = Rocks, k = 4, bs = ""ts"") + te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Rocks",890.752139928982,973.5918736758,0.00227,NA,10.34,1,2.06,27.295,0.024,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"BottomVegCover.by.Rocks+Dist_To_Shore.by.Rocks+Primary.productivity.Max+Rocks","BottomVegCover.by.Rocks+Dist_To_Shore.by.Rocks+Primary.productivity.Max+Rocks","s(Primary.productivity.Max, k = 4, bs = ""ts"") + s(BottomVegCover, by = Rocks, k = 4, bs = ""ts"") + s(Dist_To_Shore, by = Rocks, k = 4, bs = ""ts"") + Rocks",890.939518987728,956.604928689591,0.0012,NA,9.53,2,2.248,10.308,0.021,0.001,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"BottomVegCover.by.Rocks+Dist_To_Shore.by.Rocks+Primary.productivity.Max.by.Rocks+Rocks","BottomVegCover.by.Rocks+Dist_To_Shore.by.Rocks+Primary.productivity.Max.by.Rocks+Rocks","s(BottomVegCover, by = Rocks, k = 4, bs = ""ts"") + s(Dist_To_Shore, by = Rocks, k = 4, bs = ""ts"") + s(Primary.productivity.Max, by = Rocks, k = 4, bs = ""ts"") + Rocks",890.939532340086,956.605105028622,0.00132,NA,10.53,3,2.248,10.308,0.021,0.001,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"BottomVegCover.by.Rocks+Dist_To_Shore+Primary.productivity.Max.by.Rocks+Rocks","BottomVegCover.by.Rocks+Dist_To_Shore+Primary.productivity.Max.by.Rocks+Rocks","s(Dist_To_Shore, k = 4, bs = ""ts"") + s(BottomVegCover, by = Rocks, k = 4, bs = ""ts"") + s(Primary.productivity.Max, by = Rocks, k = 4, bs = ""ts"") + Rocks",890.939538328574,956.605091773228,0.00129,NA,9.53,2,2.248,10.308,0.021,0.001,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"BottomVegCover.by.Rocks+Dist_To_Shore+Primary.productivity.Max+Rocks","BottomVegCover.by.Rocks+Dist_To_Shore+Primary.productivity.Max+Rocks","s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Primary.productivity.Max, k = 4, bs = ""ts"") + s(BottomVegCover, by = Rocks, k = 4, bs = ""ts"") + Rocks",890.939538897139,956.605086858946,0.00133,NA,8.53,1,2.248,10.308,0.021,0.001,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"BottomVegCover+Depth.te.Primary.productivity.Max+Dist_To_Shore","BottomVegCover+Depth.te.Primary.productivity.Max+Dist_To_Shore","s(BottomVegCover, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + te(Depth, Primary.productivity.Max, k = 4, bs = c(""ts"", ""ts""))",891.063189792554,984.872242881391,0.00918,NA,10.13,0,2.372,38.575,0.02,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Dist_To_Shore+Primary.productivity.Max.te.BottomVegCover+ST_Oysters","Dist_To_Shore+Primary.productivity.Max.te.BottomVegCover+ST_Oysters","s(Dist_To_Shore, k = 4, bs = ""ts"") + te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + ST_Oysters",891.251964977624,974.167257318777,0.00211,NA,9.34,0,2.56,27.87,0.018,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Dist_To_Shore.by.ST_Oysters+Primary.productivity.Max.te.BottomVegCover+ST_Oysters","Dist_To_Shore.by.ST_Oysters+Primary.productivity.Max.te.BottomVegCover+ST_Oysters","s(Dist_To_Shore, by = ST_Oysters, k = 4, bs = ""ts"") + te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + ST_Oysters",891.251965527149,974.167259920705,0.00211,NA,10.34,1,2.56,27.87,0.018,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"BottomVegCover.by.Rocks+Dissolved.oxygen.Min+Rocks+Temperature.Min.by.Rocks","BottomVegCover.by.Rocks+Dissolved.oxygen.Min+Rocks+Temperature.Min.by.Rocks","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(BottomVegCover, by = Rocks, k = 4, bs = ""ts"") + s(Temperature.Min, by = Rocks, k = 4, bs = ""ts"") + Rocks",891.836283357913,954.154620236368,0.002,NA,9.04,2,3.145,7.857,0.014,0.004,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"BottomVegCover.by.Rocks+Dissolved.oxygen.Min.by.Rocks+Rocks+Temperature.Min.by.Rocks","BottomVegCover.by.Rocks+Dissolved.oxygen.Min.by.Rocks+Rocks+Temperature.Min.by.Rocks","s(BottomVegCover, by = Rocks, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, by = Rocks, k = 4, bs = ""ts"") + s(Temperature.Min, by = Rocks, k = 4, bs = ""ts"") + Rocks",891.836283446932,954.154620937894,0.00201,NA,10.04,3,3.145,7.857,0.014,0.004,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"BottomVegCover.by.Rocks+Dissolved.oxygen.Min.by.Rocks+Rocks+Temperature.Min","BottomVegCover.by.Rocks+Dissolved.oxygen.Min.by.Rocks+Rocks+Temperature.Min","s(Temperature.Min, k = 4, bs = ""ts"") + s(BottomVegCover, by = Rocks, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, by = Rocks, k = 4, bs = ""ts"") + Rocks",891.836283535458,954.154622341058,0.00191,NA,9.04,2,3.145,7.857,0.014,0.004,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
